Destination,SERIES,2018,2019,Average
Albania,VFN,17.0,28.0,22.5
Angola,TFR,0.0,0.0,0.0
Antigua and Barbuda,TFR,95.0,0.0,47.5
Australia,VFR,770.0,0.0,385.0
Azerbaijan,VFR,6.0,10.0,8.0
Bahamas,TFR,249.0,195.0,222.0
Bangladesh,TFN,0.0,0.0,0.0
Barbados,TFR,81.0,0.0,40.5
Belarus,VFN,3.0,22.0,12.5
Belgium,TCER,2175.0,0.0,1087.5
Bhutan,TFN,2.0,0.0,1.0
Botswana,TFR,40.0,0.0,20.0
British Virgin Islands,TFR,0.0,0.0,0.0
Bulgaria,TCER,44.0,42.0,43.0
Cambodia,TFR,93.0,0.0,46.5
Canada,TFR,1156.0,0.0,578.0
Cayman Islands,TFR,30.0,0.0,15.0
Chile,TFN,26.0,34.0,30.0
China,VFN,134.0,0.0,67.0
Colombia,TFR,55.0,0.0,27.5
Costa Rica,TFN,46.0,64.0,55.0
Cuba,VFR,0.0,0.0,0.0
Dominica,TFR,0.0,0.0,0.0
Ecuador,VFR,30.0,0.0,15.0
Egypt,VFN,33.0,0.0,16.5
Finland,TCER,302.0,372.0,337.0
Grenada,TFN,16.0,11.0,13.5
Guinea,TFR,0.0,0.0,0.0
Guyana,TFR,3.0,8.0,5.5
Honduras,TFN,0.0,0.0,0.0
India,TFN,90.0,0.0,45.0
Indonesia,VFN,134.0,92.0,113.0
Israel,TFR,96.0,0.0,48.0
Italy,TFN,71633.0,93297.0,82465.0
Japan,VFN,207.0,188.0,197.5
Jordan,TFN,21.0,0.0,10.5
Kazakhstan,VFR,4.0,3.0,3.5
"Korea, Republic of",VFN,57.0,52.0,54.5
Kuwait,VFN,22.0,0.0,11.0
Latvia,TCER,74.0,140.0,107.0
Lebanon,TFN,40.0,54.0,47.0
Madagascar,TFN,0.0,0.0,0.0
Malaysia,TFN,44.0,47.0,45.5
Maldives,TFN,62.0,0.0,31.0
Mali,TFR,5.0,0.0,2.5
Malta,TFR,0.0,0.0,0.0
Mauritius,TFR,391.0,404.0,397.5
Mexico,TFR,256.0,0.0,128.0
Mongolia,TFN,12.0,5.0,8.5
Morocco,TFN,457.0,0.0,228.5
New Zealand,VFR,183.0,156.0,169.5
Nicaragua,TFN,0.0,2.0,1.0
Norway,TCER,635.0,539.0,587.0
Pakistan,TFN,0.0,0.0,0.0
Panama,VFR,61.0,0.0,30.5
Paraguay,TFN,6.0,0.0,3.0
Poland,TCER,335.0,0.0,167.5
Russian Federation,VFN,0.0,0.0,0.0
Rwanda,VFN,0.0,0.0,0.0
San Marino,VFN,0.0,0.0,0.0
Saudi Arabia,TFN,0.0,0.0,0.0
Seychelles,TFR,165.0,192.0,178.5
Sierra Leone,TFR,201.0,0.0,100.5
South Africa,TFR,120.0,92.0,106.0
Sri Lanka,TFR,61.0,42.0,51.5
Suriname,TFR,0.0,0.0,0.0
"Tanzania, United Republic of",VFR,31.0,0.0,15.5
Thailand,TFR,0.0,0.0,0.0
Trinidad and Tobago,TFN,0.0,0.0,0.0
Turkey,TFN,137.0,0.0,68.5
Uganda,TFR,0.0,0.0,0.0
Ukraine,TFR,44.0,0.0,22.0
United Arab Emirates,THSN,331.0,1714.0,1022.5
United States of America,TFR,4020.0,5084.0,4552.0
"Venezuela, Bolivarian Republic of",TFN,0.0,0.0,0.0
