Destination,SERIES,2018,2019,Average
Albania,VFN,90.0,40.0,65.0
Angola,TFR,0.0,0.0,0.0
Antigua and Barbuda,TFR,1.0,0.0,0.5
Armenia,TFR,68.0,0.0,34.0
Australia,VFR,5880.0,0.0,2940.0
Azerbaijan,VFR,192.0,213.0,202.5
Bahamas,TFR,0.0,14.0,7.0
Bangladesh,TFN,0.0,0.0,0.0
Barbados,TFR,2.0,0.0,1.0
Belarus,VFN,827.0,991.0,909.0
Belgium,TCER,486.0,0.0,243.0
Bhutan,TFN,6.0,25.0,15.5
Botswana,TFR,0.0,0.0,0.0
British Virgin Islands,TFR,0.0,0.0,0.0
Bulgaria,TCER,264.0,342.0,303.0
Cambodia,TFR,726.0,0.0,363.0
Canada,TFR,1148.0,0.0,574.0
Cayman Islands,TFR,26.0,0.0,13.0
Chile,TFN,89.0,86.0,87.5
China,VFN,1915832.0,0.0,957916.0
Colombia,TFR,52.0,0.0,26.0
"Congo, Democratic Republic of the",TFR,0.0,0.0,0.0
Costa Rica,TFN,24.0,33.0,28.5
Cuba,VFR,0.0,0.0,0.0
Dominica,TFR,0.0,0.0,0.0
Ecuador,VFR,24.0,0.0,12.0
Egypt,VFN,216.0,0.0,108.0
Finland,TCER,182.0,173.0,177.5
Grenada,TFN,0.0,0.0,0.0
Guyana,TFR,0.0,0.0,0.0
India,TFN,3136.0,0.0,1568.0
Indonesia,VFN,3679.0,4260.0,3969.5
"Iran, Islamic Republic of",VFN,100.0,0.0,50.0
Israel,TFR,332.0,0.0,166.0
Italy,TFN,67.0,346.0,206.5
Japan,VFN,27647.0,31513.0,29580.0
Jordan,TFN,50.0,0.0,25.0
Kazakhstan,VFR,22104.0,26721.0,24412.5
"Korea, Republic of",VFN,113864.0,113599.0,113731.5
Kuwait,VFN,194.0,0.0,97.0
Latvia,TCER,195.0,146.0,170.5
Lebanon,TFN,81.0,5.0,43.0
Malaysia,TFN,4172.0,5148.0,4660.0
Maldives,TFN,169.0,0.0,84.5
Mali,TFR,12.0,0.0,6.0
Mauritius,TFR,15.0,12.0,13.5
Mexico,TFR,224.0,0.0,112.0
Morocco,TFN,0.0,0.0,0.0
Nepal,TFN,0.0,0.0,0.0
New Zealand,VFR,298.0,248.0,273.0
Nicaragua,TFN,3.0,2.0,2.5
Pakistan,TFN,0.0,0.0,0.0
Panama,VFR,34.0,0.0,17.0
Paraguay,TFN,3.0,0.0,1.5
Poland,TCER,573.0,0.0,286.5
Russian Federation,VFN,387492.0,0.0,193746.0
Rwanda,VFN,0.0,0.0,0.0
San Marino,VFN,0.0,0.0,0.0
Saudi Arabia,TFN,57.0,95.0,76.0
Seychelles,TFR,2.0,18.0,10.0
Sierra Leone,TFR,2.0,0.0,1.0
Singapore,VFR,0.0,0.0,0.0
South Africa,TFR,133.0,119.0,126.0
Sri Lanka,TFR,181.0,167.0,174.0
Suriname,TFR,0.0,0.0,0.0
Tajikistan,VFR,31.0,0.0,15.5
"Tanzania, United Republic of",VFR,166.0,0.0,83.0
Thailand,TFR,0.0,0.0,0.0
Trinidad and Tobago,TFN,2.0,4.0,3.0
Turkey,TFN,15871.0,0.0,7935.5
Turkmenistan,TFN,0.0,0.0,0.0
Uganda,TFR,0.0,0.0,0.0
Ukraine,TFR,856.0,0.0,428.0
United Arab Emirates,THSN,425.0,1610.0,1017.5
United States of America,TFR,13951.0,15450.0,14700.5
Uzbekistan,VFR,226.0,0.0,113.0
"Venezuela, Bolivarian Republic of",TFN,0.0,0.0,0.0
