Destination,SERIES,2018,2019,Average
Albania,VFN,357071.0,366817.0,361944.0
Australia,VFR,280.0,0.0,140.0
Azerbaijan,VFR,159.0,254.0,206.5
Bahamas,TFR,78.0,55.0,66.5
Barbados,TFR,8.0,0.0,4.0
Belarus,VFN,330.0,290.0,310.0
Belgium,TCER,1558.0,0.0,779.0
Benin,TFR,15.0,0.0,7.5
Bhutan,TFN,3.0,2.0,2.5
Bosnia and Herzegovina,TCER,16923.0,0.0,8461.5
Botswana,TFR,0.0,0.0,0.0
Bulgaria,TCER,1691.0,1972.0,1831.5
Canada,TFR,360.0,0.0,180.0
Chile,TFN,0.0,0.0,0.0
China,VFN,9505.0,0.0,4752.5
Colombia,TFR,89.0,0.0,44.5
Costa Rica,TFN,35.0,62.0,48.5
Croatia,TCER,20318.0,21873.0,21095.5
Cuba,VFR,0.0,0.0,0.0
Cyprus,TFR,0.0,0.0,0.0
Dominica,TFR,0.0,0.0,0.0
Ecuador,VFR,28.0,0.0,14.0
Finland,TCER,134.0,270.0,202.0
Indonesia,VFN,235.0,248.0,241.5
"Iran, Islamic Republic of",VFN,42.0,0.0,21.0
Israel,TFR,594.0,0.0,297.0
Italy,TFN,2903.0,15526.0,9214.5
Japan,VFN,154.0,195.0,174.5
"Korea, Republic of",VFN,1832.0,2237.0,2034.5
Kuwait,VFN,97.0,0.0,48.5
Latvia,TCER,223.0,372.0,297.5
Madagascar,TFN,0.0,0.0,0.0
Maldives,TFN,157.0,0.0,78.5
Mauritius,TFR,20.0,11.0,15.5
Mexico,TFR,213.0,0.0,106.5
"Moldova, Republic of",TCEN,36.0,57.0,46.5
Mongolia,TFN,4.0,16.0,10.0
Morocco,TFN,108.0,0.0,54.0
New Zealand,VFR,21.0,39.0,30.0
Nigeria,VFN,0.0,0.0,0.0
North Macedonia,TCEN,6844.0,6938.0,6891.0
Norway,TCER,837.0,1201.0,1019.0
Pakistan,TFN,0.0,0.0,0.0
Paraguay,TFN,15.0,0.0,7.5
Philippines,TFR,0.0,0.0,0.0
Poland,TCER,722.0,0.0,361.0
Romania,TCER,1169.0,966.0,1067.5
Russian Federation,VFN,0.0,0.0,0.0
Rwanda,VFN,0.0,0.0,0.0
San Marino,VFN,342.0,0.0,171.0
Serbia,TCEN,82142.0,90442.0,86292.0
Seychelles,TFR,47.0,56.0,51.5
Sierra Leone,TFR,102.0,0.0,51.0
Slovakia,TCEN,615.0,684.0,649.5
Slovenia,TCEN,12537.0,13305.0,12921.0
South Africa,TFR,92.0,81.0,86.5
Sri Lanka,TFR,231.0,210.0,220.5
"Tanzania, United Republic of",VFR,40.0,0.0,20.0
Thailand,TFR,0.0,0.0,0.0
Trinidad and Tobago,TFN,0.0,0.0,0.0
Turkey,TFN,24023.0,0.0,12011.5
Ukraine,TFR,1211.0,0.0,605.5
United Arab Emirates,THSN,339.0,1720.0,1029.5
United States of America,TFR,6331.0,5765.0,6048.0
Uzbekistan,VFR,23.0,0.0,11.5
