Destination,SERIES,2018,2019,Average
Antigua and Barbuda,TFR,1156.0,0.0,578.0
Australia,VFR,30.0,0.0,15.0
Azerbaijan,VFR,0.0,0.0,0.0
Bahamas,TFR,6.0,12.0,9.0
Barbados,TFR,160.0,0.0,80.0
Belarus,VFN,0.0,1.0,0.5
Belgium,TCER,4.0,0.0,2.0
Bonaire,TFR,0.0,0.0,0.0
Botswana,TFR,0.0,0.0,0.0
British Virgin Islands,TFR,0.0,0.0,0.0
Canada,TFR,76.0,0.0,38.0
Cayman Islands,TFR,8.0,0.0,4.0
Colombia,TFR,0.0,0.0,0.0
Costa Rica,TFN,0.0,0.0,0.0
Dominica,TFR,82.0,0.0,41.0
Ecuador,VFR,0.0,0.0,0.0
Finland,TCER,4.0,9.0,6.5
Grenada,TFN,42.0,34.0,38.0
Guyana,TFR,153.0,154.0,153.5
India,TFN,0.0,0.0,0.0
Israel,TFR,0.0,0.0,0.0
Italy,TFN,0.0,0.0,0.0
Jamaica,TFR,143.0,148.0,145.5
"Korea, Republic of",VFN,0.0,0.0,0.0
Malaysia,TFN,0.0,0.0,0.0
Mauritius,TFR,0.0,1.0,0.5
Mexico,TFR,11.0,0.0,5.5
Mongolia,TFN,0.0,0.0,0.0
New Zealand,VFR,0.0,2.0,1.0
Nicaragua,TFN,0.0,0.0,0.0
Panama,VFR,0.0,0.0,0.0
Poland,TCER,0.0,0.0,0.0
Saint Kitts and Nevis,TFR,0.0,0.0,0.0
Saint Lucia,TFR,102.0,0.0,51.0
Saudi Arabia,TFN,0.0,199.0,99.5
Suriname,TFR,0.0,0.0,0.0
Thailand,TFR,0.0,0.0,0.0
Trinidad and Tobago,TFN,49.0,56.0,52.5
Turks and Caicos Islands,TFR,0.0,0.0,0.0
Uganda,TFR,0.0,0.0,0.0
Ukraine,TFR,0.0,0.0,0.0
United Arab Emirates,THSN,133.0,256.0,194.5
United States of America,TFR,315.0,404.0,359.5
