Destination,SERIES,2018,2019,Average
Albania,VFN,667.0,19421.0,10044.0
Algeria,VFN,80317.0,79505.0,79911.0
Angola,TFR,342.0,392.0,367.0
Antigua and Barbuda,TFR,18.0,0.0,9.0
Armenia,TFR,74.0,0.0,37.0
Australia,VFR,630.0,0.0,315.0
Azerbaijan,VFR,1124.0,1465.0,1294.5
Bahamas,TFR,139.0,174.0,156.5
Bangladesh,TFN,0.0,0.0,0.0
Barbados,TFR,15.0,0.0,7.5
Belarus,VFN,704.0,372.0,538.0
Belgium,TCER,14844.0,0.0,7422.0
Benin,TFR,615.0,0.0,307.5
Bhutan,TFN,5.0,5.0,5.0
Botswana,TFR,81.0,0.0,40.5
Brazil,TFR,5241.0,4596.0,4918.5
British Virgin Islands,TFR,0.0,0.0,0.0
Bulgaria,TCER,970.0,839.0,904.5
Cambodia,TFR,868.0,0.0,434.0
Canada,TFR,19258.0,0.0,9629.0
Cayman Islands,TFR,4.0,0.0,2.0
Chile,TFN,251.0,223.0,237.0
China,VFN,23498.0,0.0,11749.0
Colombia,TFR,367.0,0.0,183.5
"Congo, Democratic Republic of the",TFR,0.0,0.0,0.0
Costa Rica,TFN,260.0,312.0,286.0
Dominica,TFR,44.0,0.0,22.0
Ecuador,VFR,132.0,0.0,66.0
Egypt,VFN,56581.0,0.0,28290.5
El Salvador,TFN,61.0,63.0,62.0
Finland,TCER,856.0,920.0,888.0
Grenada,TFN,18.0,9.0,13.5
Guadeloupe,TFR,0.0,0.0,0.0
Guinea,TFR,0.0,0.0,0.0
Guinea-Bissau,TFN,0.0,0.0,0.0
Guyana,TFR,0.0,0.0,0.0
Honduras,TFN,0.0,0.0,0.0
India,TFN,7601.0,0.0,3800.5
Indonesia,VFN,7920.0,11371.0,9645.5
"Iran, Islamic Republic of",VFN,490.0,0.0,245.0
Iraq,VFN,0.0,0.0,0.0
Israel,TFR,2989.0,0.0,1494.5
Italy,TFN,64291.0,45682.0,54986.5
Japan,VFN,2615.0,2708.0,2661.5
Jordan,TFN,7262.0,0.0,3631.0
Kazakhstan,VFR,184.0,212.0,198.0
"Korea, Republic of",VFN,4284.0,5009.0,4646.5
Kuwait,VFN,19039.0,0.0,9519.5
Latvia,TCER,368.0,231.0,299.5
Lebanon,TFN,9426.0,9163.0,9294.5
Libya,VFN,0.0,0.0,0.0
Madagascar,TFN,491.0,0.0,245.5
Malaysia,TFN,9324.0,14679.0,12001.5
Maldives,TFN,1686.0,0.0,843.0
Mali,TFR,7363.0,0.0,3681.5
Malta,TFR,0.0,0.0,0.0
Mauritius,TFR,901.0,1053.0,977.0
Mexico,TFR,1743.0,0.0,871.5
Mongolia,TFN,30.0,35.0,32.5
Nepal,TFN,0.0,0.0,0.0
New Zealand,VFR,119.0,152.0,135.5
Nicaragua,TFN,34.0,34.0,34.0
Nigeria,VFN,0.0,0.0,0.0
Oman,VFR,2532.0,0.0,1266.0
Pakistan,TFN,0.0,0.0,0.0
Panama,VFR,124.0,0.0,62.0
Paraguay,TFN,20.0,0.0,10.0
Peru,TFR,347.0,0.0,173.5
Poland,TCER,1746.0,0.0,873.0
Portugal,TCER,0.0,0.0,0.0
Russian Federation,VFN,0.0,0.0,0.0
Rwanda,VFN,0.0,0.0,0.0
San Marino,VFN,0.0,0.0,0.0
Sao Tome and Principe,TFN,0.0,0.0,0.0
Saudi Arabia,TFN,216518.0,155454.0,185986.0
Seychelles,TFR,632.0,374.0,503.0
Sierra Leone,TFR,1204.0,0.0,602.0
South Africa,TFR,1902.0,2143.0,2022.5
Spain,TFR,675265.357813255,741854.0076840045,708559.6827486297
Sri Lanka,TFR,1036.0,1031.0,1033.5
Suriname,TFR,0.0,0.0,0.0
Syrian Arab Republic,VFN,666.0,792.0,729.0
"Tanzania, United Republic of",VFR,1606.0,0.0,803.0
Thailand,TFR,0.0,0.0,0.0
Togo,THSR,18547.0,27495.0,23021.0
Trinidad and Tobago,TFN,27.0,23.0,25.0
Tunisia,TFN,57550.0,65691.0,61620.5
Turkey,TFN,176340.0,0.0,88170.0
Uganda,TFR,0.0,0.0,0.0
Ukraine,TFR,12568.0,0.0,6284.0
United Arab Emirates,THSN,73916.0,242592.0,158254.0
United States of America,TFR,28374.0,33901.0,31137.5
Uzbekistan,VFR,123.0,0.0,61.5
"Venezuela, Bolivarian Republic of",TFN,0.0,0.0,0.0
Yemen,TFN,0.0,0.0,0.0
