Destination,SERIES,2018,2019,Average
Angola,TFR,716.0,789.0,752.5
Antigua and Barbuda,TFR,1.0,0.0,0.5
Australia,VFR,410.0,0.0,205.0
Azerbaijan,VFR,18.0,20.0,19.0
Bahamas,TFR,10.0,7.0,8.5
Bangladesh,TFN,0.0,0.0,0.0
Barbados,TFR,0.0,0.0,0.0
Belarus,VFN,23.0,9.0,16.0
Belgium,TCER,213.0,0.0,106.5
Benin,TFR,198.0,0.0,99.0
Bhutan,TFN,1.0,4.0,2.5
Botswana,TFR,4810.0,0.0,2405.0
Brazil,TFR,4563.0,5663.0,5113.0
Bulgaria,TCER,13.0,27.0,20.0
Canada,TFR,270.0,0.0,135.0
Cayman Islands,TFR,0.0,0.0,0.0
China,VFN,8329.0,0.0,4164.5
Colombia,TFR,48.0,0.0,24.0
"Congo, Democratic Republic of the",TFR,0.0,0.0,0.0
Costa Rica,TFN,18.0,34.0,26.0
Ecuador,VFR,21.0,0.0,10.5
Egypt,VFN,303.0,0.0,151.5
El Salvador,TFN,8.0,1.0,4.5
Eritrea,VFN,0.0,0.0,0.0
Eswatini,THSR,12668.0,0.0,6334.0
Finland,TCER,136.0,183.0,159.5
Guinea,TFR,0.0,0.0,0.0
Guinea-Bissau,TFN,0.0,0.0,0.0
Guyana,TFR,0.0,0.0,0.0
Honduras,TFN,0.0,0.0,0.0
India,TFN,4744.0,0.0,2372.0
Indonesia,VFN,422.0,507.0,464.5
Israel,TFR,161.0,0.0,80.5
Italy,TFN,46.0,1048.0,547.0
Japan,VFN,480.0,494.0,487.0
Jordan,TFN,16.0,0.0,8.0
Kazakhstan,VFR,12.0,9.0,10.5
"Korea, Republic of",VFN,267.0,287.0,277.0
Kuwait,VFN,47.0,0.0,23.5
Lebanon,TFN,287.0,361.0,324.0
Lesotho,VFR,1640.0,1715.0,1677.5
Madagascar,TFN,138.0,0.0,69.0
Malawi,TFR,263146.0,0.0,131573.0
Malaysia,TFN,324.0,285.0,304.5
Maldives,TFN,97.0,0.0,48.5
Mali,TFR,254.0,0.0,127.0
Malta,TFR,0.0,0.0,0.0
Mauritius,TFR,809.0,1151.0,980.0
Mexico,TFR,99.0,0.0,49.5
Mongolia,TFN,0.0,7.0,3.5
Morocco,TFN,306.0,0.0,153.0
New Zealand,VFR,112.0,103.0,107.5
Nicaragua,TFN,0.0,6.0,3.0
Nigeria,VFN,0.0,0.0,0.0
Pakistan,TFN,0.0,0.0,0.0
Panama,VFR,8.0,0.0,4.0
Paraguay,TFN,3.0,0.0,1.5
Poland,TCER,29.0,0.0,14.5
Russian Federation,VFN,0.0,0.0,0.0
Rwanda,VFN,0.0,0.0,0.0
San Marino,VFN,0.0,0.0,0.0
Sao Tome and Principe,TFN,0.0,0.0,0.0
Saudi Arabia,TFN,1516.0,1169.0,1342.5
Seychelles,TFR,240.0,196.0,218.0
Sierra Leone,TFR,97.0,0.0,48.5
South Africa,TFR,1360896.0,1333195.0,1347045.5
Sri Lanka,TFR,52.0,42.0,47.0
Suriname,TFR,0.0,0.0,0.0
"Tanzania, United Republic of",VFR,39841.0,0.0,19920.5
Thailand,TFR,0.0,0.0,0.0
Togo,THSR,193.0,360.0,276.5
Trinidad and Tobago,TFN,10.0,4.0,7.0
Turkey,TFN,708.0,0.0,354.0
Uganda,TFR,0.0,0.0,0.0
Ukraine,TFR,28.0,0.0,14.0
United Arab Emirates,THSN,320.0,1780.0,1050.0
United States of America,TFR,2378.0,2255.0,2316.5
"Venezuela, Bolivarian Republic of",TFN,0.0,0.0,0.0
Zambia,TFR,0.0,0.0,0.0
Zimbabwe,VFR,257943.0,0.0,128971.5
