Destination,SERIES,2018,2019,Average
Albania,VFN,9.0,36.0,22.5
Angola,TFR,37.0,53.0,45.0
Antigua and Barbuda,TFR,1.0,0.0,0.5
Armenia,TFR,50.0,0.0,25.0
Australia,VFR,7110.0,0.0,3555.0
Azerbaijan,VFR,19.0,92.0,55.5
Bahamas,TFR,18.0,20.0,19.0
Bangladesh,TFN,0.0,0.0,0.0
Barbados,TFR,3.0,0.0,1.5
Belarus,VFN,98.0,60.0,79.0
Belgium,TCER,455.0,0.0,227.5
Benin,TFR,0.0,0.0,0.0
Bhutan,TFN,104.0,216.0,160.0
Botswana,TFR,75.0,0.0,37.5
Brunei Darussalam,TFN,667.0,872.0,769.5
Bulgaria,TCER,23.0,63.0,43.0
Cambodia,TFR,22518.0,0.0,11259.0
Canada,TFR,380.0,0.0,190.0
Cayman Islands,TFR,1.0,0.0,0.5
Chile,TFN,19.0,30.0,24.5
China,VFN,12379845.0,0.0,6189922.5
Colombia,TFR,105.0,0.0,52.5
"Congo, Democratic Republic of the",TFR,0.0,0.0,0.0
Costa Rica,TFN,53.0,44.0,48.5
Cuba,VFR,0.0,0.0,0.0
Dominica,TFR,0.0,0.0,0.0
Ecuador,VFR,589.0,0.0,294.5
Egypt,VFN,1225.0,0.0,612.5
Finland,TCER,239.0,327.0,283.0
Guyana,TFR,0.0,0.0,0.0
India,TFN,75773.0,0.0,37886.5
Indonesia,VFN,28612.0,46381.0,37496.5
Israel,TFR,913.0,0.0,456.5
Italy,TFN,3854.0,1708.0,2781.0
Japan,VFN,24418.0,30977.0,27697.5
Jordan,TFN,1126.0,0.0,563.0
Kazakhstan,VFR,17.0,39.0,28.0
"Korea, Republic of",VFN,71094.0,73722.0,72408.0
Kuwait,VFN,313.0,0.0,156.5
Lao People's Democratic Republic,VFN,22132.0,22524.0,22328.0
Lebanon,TFN,56.0,44.0,50.0
Madagascar,TFN,0.0,0.0,0.0
Malaysia,TFN,38513.0,46257.0,42385.0
Maldives,TFN,1084.0,0.0,542.0
Mauritius,TFR,135.0,205.0,170.0
Mexico,TFR,189.0,0.0,94.5
Mongolia,TFN,86.0,143.0,114.5
Morocco,TFN,360.0,0.0,180.0
Nepal,TFN,0.0,36274.0,18137.0
New Zealand,VFR,654.0,640.0,647.0
Nicaragua,TFN,17.0,6.0,11.5
Nigeria,VFN,0.0,0.0,0.0
Pakistan,TFN,0.0,0.0,0.0
Panama,VFR,454.0,0.0,227.0
Paraguay,TFN,0.0,0.0,0.0
Philippines,TFR,9630.0,13978.0,11804.0
Poland,TCER,94.0,0.0,47.0
Russian Federation,VFN,0.0,0.0,0.0
Rwanda,VFN,0.0,0.0,0.0
San Marino,VFN,0.0,0.0,0.0
Saudi Arabia,TFN,8705.0,2793.0,5749.0
Seychelles,TFR,18.0,20.0,19.0
Singapore,VFR,145610.0,155993.0,150801.5
South Africa,TFR,305.0,257.0,281.0
Sri Lanka,TFR,3241.0,3124.0,3182.5
Suriname,TFR,0.0,0.0,0.0
"Tanzania, United Republic of",VFR,447.0,0.0,223.5
Thailand,TFR,379880.0,0.0,189940.0
Trinidad and Tobago,TFN,1.0,0.0,0.5
Turkey,TFN,1349.0,0.0,674.5
Uganda,TFR,0.0,0.0,0.0
Ukraine,TFR,247.0,0.0,123.5
United Arab Emirates,THSN,2035.0,6203.0,4119.0
United States of America,TFR,9611.0,10908.0,10259.5
Uzbekistan,VFR,43.0,0.0,21.5
Viet Nam,VFR,0.0,0.0,0.0
