Destination,SERIES,2018,2019,Average
Albania,VFN,136.0,29.0,82.5
Angola,TFR,6180.0,6876.0,6528.0
Antigua and Barbuda,TFR,2.0,0.0,1.0
Armenia,TFR,7.0,0.0,3.5
Australia,VFR,890.0,0.0,445.0
Azerbaijan,VFR,15.0,35.0,25.0
Bahamas,TFR,33.0,18.0,25.5
Bangladesh,TFN,0.0,0.0,0.0
Barbados,TFR,7.0,0.0,3.5
Belarus,VFN,11.0,8.0,9.5
Belgium,TCER,281.0,0.0,140.5
Benin,TFR,12.0,0.0,6.0
Bhutan,TFN,1.0,2.0,1.5
Botswana,TFR,91947.0,0.0,45973.5
British Virgin Islands,TFR,0.0,0.0,0.0
Bulgaria,TCER,56.0,51.0,53.5
Canada,TFR,439.0,0.0,219.5
Cayman Islands,TFR,22.0,0.0,11.0
Chile,TFN,0.0,0.0,0.0
China,VFN,3203.0,0.0,1601.5
Colombia,TFR,15.0,0.0,7.5
"Congo, Democratic Republic of the",TFR,0.0,0.0,0.0
Costa Rica,TFN,30.0,32.0,31.0
Dominica,TFR,5.0,0.0,2.5
Ecuador,VFR,26.0,0.0,13.0
Egypt,VFN,453.0,0.0,226.5
Eritrea,VFN,0.0,0.0,0.0
Finland,TCER,244.0,228.0,236.0
Guinea,TFR,0.0,0.0,0.0
Guyana,TFR,0.0,0.0,0.0
India,TFN,697.0,0.0,348.5
Indonesia,VFN,534.0,598.0,566.0
Iraq,VFN,0.0,0.0,0.0
Israel,TFR,224.0,0.0,112.0
Italy,TFN,1407.0,114.0,760.5
Japan,VFN,164.0,433.0,298.5
Kazakhstan,VFR,8.0,18.0,13.0
"Korea, Republic of",VFN,140.0,164.0,152.0
Kuwait,VFN,13.0,0.0,6.5
Latvia,TCER,18.0,55.0,36.5
Lebanon,TFN,24.0,33.0,28.5
Madagascar,TFN,26.0,0.0,13.0
Malaysia,TFN,275.0,289.0,282.0
Maldives,TFN,96.0,0.0,48.0
Mali,TFR,203.0,0.0,101.5
Malta,TFR,0.0,0.0,0.0
Mauritius,TFR,1358.0,1365.0,1361.5
Mexico,TFR,1026.0,0.0,513.0
Mongolia,TFN,1.0,4.0,2.5
Morocco,TFN,150.0,0.0,75.0
New Zealand,VFR,203.0,192.0,197.5
Nicaragua,TFN,6.0,15.0,10.5
Nigeria,VFN,0.0,0.0,0.0
Pakistan,TFN,0.0,0.0,0.0
Panama,VFR,27.0,0.0,13.5
Paraguay,TFN,3.0,0.0,1.5
Poland,TCER,452.0,0.0,226.0
Russian Federation,VFN,0.0,0.0,0.0
Rwanda,VFN,0.0,0.0,0.0
San Marino,VFN,0.0,0.0,0.0
Saudi Arabia,TFN,37.0,25.0,31.0
Seychelles,TFR,202.0,162.0,182.0
Sierra Leone,TFR,0.0,0.0,0.0
South Africa,TFR,200367.0,184431.0,192399.0
Sri Lanka,TFR,71.0,27.0,49.0
Suriname,TFR,0.0,0.0,0.0
"Tanzania, United Republic of",VFR,1859.0,0.0,929.5
Thailand,TFR,0.0,0.0,0.0
Togo,THSR,97.0,203.0,150.0
Trinidad and Tobago,TFN,10.0,9.0,9.5
Turkey,TFN,0.0,0.0,0.0
Uganda,TFR,0.0,0.0,0.0
Ukraine,TFR,320.0,0.0,160.0
United Arab Emirates,THSN,314.0,2701.0,1507.5
United States of America,TFR,2294.0,2428.0,2361.0
Uzbekistan,VFR,2.0,0.0,1.0
Zimbabwe,VFR,36455.0,0.0,18227.5
