Destination,SERIES,2018,2019,Average
Antigua and Barbuda,TFR,0.0,0.0,0.0
Australia,VFR,5540.0,0.0,2770.0
Azerbaijan,VFR,3.0,1.0,2.0
Bahamas,TFR,0.0,0.0,0.0
Barbados,TFR,0.0,0.0,0.0
Belarus,VFN,0.0,16.0,8.0
Belgium,TCER,70.0,0.0,35.0
Botswana,TFR,0.0,0.0,0.0
Bulgaria,TCER,15.0,0.0,7.5
Canada,TFR,41.0,0.0,20.5
Cayman Islands,TFR,0.0,0.0,0.0
China,VFN,211.0,0.0,105.5
Colombia,TFR,0.0,0.0,0.0
Costa Rica,TFN,0.0,0.0,0.0
Ecuador,VFR,1.0,0.0,0.5
Finland,TCER,26.0,29.0,27.5
Guam,TFR,0.0,0.0,0.0
India,TFN,35.0,0.0,17.5
Indonesia,VFN,78.0,23.0,50.5
Italy,TFN,0.0,0.0,0.0
Japan,VFN,46.0,45.0,45.5
Kiribati,TFN,0.0,0.0,0.0
"Korea, Republic of",VFN,40.0,37.0,38.5
Lebanon,TFN,0.0,0.0,0.0
Malaysia,TFN,87.0,77.0,82.0
Maldives,TFN,0.0,0.0,0.0
Mali,TFR,1.0,0.0,0.5
Marshall Islands,TFR,0.0,0.0,0.0
Mauritius,TFR,3.0,3.0,3.0
Mexico,TFR,92.0,0.0,46.0
Mongolia,TFN,4.0,3.0,3.5
Morocco,TFN,1.0,0.0,0.5
New Zealand,VFR,121.0,138.0,129.5
Nicaragua,TFN,1.0,0.0,0.5
Philippines,TFR,38.0,93.0,65.5
Poland,TCER,0.0,0.0,0.0
Russian Federation,VFN,0.0,0.0,0.0
Saudi Arabia,TFN,0.0,0.0,0.0
Seychelles,TFR,5.0,0.0,2.5
Singapore,VFR,0.0,0.0,0.0
South Africa,TFR,12.0,2.0,7.0
Sri Lanka,TFR,1.0,1.0,1.0
Suriname,TFR,0.0,0.0,0.0
Thailand,TFR,0.0,0.0,0.0
Togo,THSR,0.0,98.0,49.0
Trinidad and Tobago,TFN,0.0,0.0,0.0
Turkey,TFN,0.0,0.0,0.0
Ukraine,TFR,0.0,0.0,0.0
United Arab Emirates,THSN,43.0,356.0,199.5
United States of America,TFR,105.0,79.0,92.0
Uzbekistan,VFR,2.0,0.0,1.0
