Destination,SERIES,2018,2019,Average
Albania,VFN,45.0,62.0,53.5
American Samoa,TFN,0.0,0.0,0.0
Angola,TFR,87.0,74.0,80.5
Antigua and Barbuda,TFR,3.0,0.0,1.5
Armenia,TFR,35.0,0.0,17.5
Australia,VFR,29170.0,0.0,14585.0
Azerbaijan,VFR,1701.0,1618.0,1659.5
Bahamas,TFR,9.0,11.0,10.0
Bangladesh,TFN,0.0,0.0,0.0
Barbados,TFR,29.0,0.0,14.5
Belarus,VFN,91.0,197.0,144.0
Belgium,TCER,627.0,0.0,313.5
Benin,TFR,8.0,0.0,4.0
Bhutan,TFN,371.0,1438.0,904.5
Botswana,TFR,19.0,0.0,9.5
British Virgin Islands,TFR,0.0,0.0,0.0
Brunei Darussalam,TFN,2308.0,1926.0,2117.0
Bulgaria,TCER,158.0,124.0,141.0
Cambodia,TFR,3102.0,0.0,1551.0
Canada,TFR,2848.0,0.0,1424.0
Cayman Islands,TFR,10.0,0.0,5.0
Chile,TFN,122.0,54.0,88.0
China,VFN,157543.0,0.0,78771.5
Colombia,TFR,87.0,0.0,43.5
"Congo, Democratic Republic of the",TFR,0.0,0.0,0.0
Costa Rica,TFN,139.0,134.0,136.5
Cuba,VFR,0.0,0.0,0.0
Dominica,TFR,15.0,0.0,7.5
Ecuador,VFR,147.0,0.0,73.5
Egypt,VFN,1785.0,0.0,892.5
Finland,TCER,353.0,458.0,405.5
Guinea,TFR,0.0,0.0,0.0
Guyana,TFR,0.0,0.0,0.0
Honduras,TFN,0.0,0.0,0.0
India,TFN,174096.0,0.0,87048.0
Indonesia,VFN,14968.0,18977.0,16972.5
"Iran, Islamic Republic of",VFN,516.0,0.0,258.0
Iraq,VFN,0.0,0.0,0.0
Israel,TFR,1363.0,0.0,681.5
Italy,TFN,1456.0,481.0,968.5
Japan,VFN,44297.0,51577.0,47937.0
Jordan,TFN,1258.0,0.0,629.0
Kazakhstan,VFR,156.0,195.0,175.5
"Korea, Republic of",VFN,25926.0,26313.0,26119.5
Kuwait,VFN,56258.0,0.0,28129.0
Lao People's Democratic Republic,VFN,0.0,0.0,0.0
Latvia,TCER,61.0,134.0,97.5
Lebanon,TFN,3373.0,1947.0,2660.0
Libya,VFN,0.0,0.0,0.0
Madagascar,TFN,43.0,0.0,21.5
Malaysia,TFN,19914.0,20437.0,20175.5
Maldives,TFN,834.0,0.0,417.0
Mali,TFR,55.0,0.0,27.5
Malta,TFR,0.0,0.0,0.0
Mauritius,TFR,557.0,336.0,446.5
Mexico,TFR,347.0,0.0,173.5
Mongolia,TFN,331.0,396.0,363.5
Morocco,TFN,423.0,0.0,211.5
New Zealand,VFR,992.0,1032.0,1012.0
Nicaragua,TFN,3.0,9.0,6.0
Nigeria,VFN,0.0,0.0,0.0
Northern Mariana Islands,VFN,0.0,0.0,0.0
Oman,VFR,205.0,0.0,102.5
Pakistan,TFN,0.0,0.0,0.0
Panama,VFR,42.0,0.0,21.0
Paraguay,TFN,5.0,0.0,2.5
Philippines,TFR,8696.0,6018.0,7357.0
Poland,TCER,1140.0,0.0,570.0
Russian Federation,VFN,0.0,0.0,0.0
Rwanda,VFN,0.0,0.0,0.0
San Marino,VFN,0.0,0.0,0.0
Saudi Arabia,TFN,7270.0,12171.0,9720.5
Seychelles,TFR,128.0,109.0,118.5
Sierra Leone,TFR,33.0,0.0,16.5
Singapore,VFR,0.0,0.0,0.0
South Africa,TFR,531.0,697.0,614.0
Sri Lanka,TFR,5302.0,5414.0,5358.0
Suriname,TFR,0.0,0.0,0.0
Tajikistan,VFR,32.0,0.0,16.0
"Tanzania, United Republic of",VFR,628.0,0.0,314.0
Thailand,TFR,55482.0,0.0,27741.0
Trinidad and Tobago,TFN,21.0,16.0,18.5
Turkey,TFN,7719.0,0.0,3859.5
Turkmenistan,TFN,0.0,0.0,0.0
Uganda,TFR,0.0,0.0,0.0
Ukraine,TFR,200.0,0.0,100.0
United Arab Emirates,THSN,36697.0,71633.0,54165.0
United States of America,TFR,32077.0,33760.0,32918.5
Uzbekistan,VFR,136.0,0.0,68.0
"Venezuela, Bolivarian Republic of",TFN,0.0,0.0,0.0
Yemen,TFN,0.0,0.0,0.0
