Destination,SERIES,2018,2019,Average
Albania,VFN,35943.0,40797.0,38370.0
Algeria,VFN,3274.0,2640.0,2957.0
American Samoa,TFN,0.0,0.0,0.0
Angola,TFR,1899.0,1531.0,1715.0
Antigua and Barbuda,TFR,285.0,0.0,142.5
Argentina,TFR,36468.0,0.0,18234.0
Armenia,TFR,11898.0,0.0,5949.0
Aruba,TFR,40231.0,0.0,20115.5
Australia,VFR,59790.0,0.0,29895.0
Austria,TCER,2001096.0,2074446.0,2037771.0
Azerbaijan,VFR,5884.0,6103.0,5993.5
Bahamas,TFR,2669.0,2867.0,2768.0
Bangladesh,TFN,0.0,0.0,0.0
Barbados,TFR,2025.0,0.0,1012.5
Belarus,VFN,10699.0,11740.0,11219.5
Belgium,TCER,2033067.0,0.0,1016533.5
Belize,TFN,5968.0,0.0,2984.0
Benin,TFR,10915.0,0.0,5457.5
Bhutan,TFN,807.0,981.0,894.0
"Bolivia, Plurinational State of",TFN,8826.0,0.0,4413.0
Bonaire,TFR,0.0,0.0,0.0
Bosnia and Herzegovina,TCER,15740.0,0.0,7870.0
Botswana,TFR,13282.0,0.0,6641.0
Brazil,TFR,62651.0,59752.0,61201.5
British Virgin Islands,TFR,0.0,0.0,0.0
Brunei Darussalam,TFN,1218.0,1360.0,1289.0
Bulgaria,TCER,53139.0,47344.0,50241.5
Burkina Faso,THSR,1178.0,0.0,589.0
Cambodia,TFR,28911.0,0.0,14455.5
Cameroon,THSN,5992.0,0.0,2996.0
Canada,TFR,136566.0,0.0,68283.0
Cayman Islands,TFR,519.0,0.0,259.5
Chile,TFN,22497.0,22696.0,22596.5
China,VFN,196183.0,0.0,98091.5
Colombia,TFR,55339.0,0.0,27669.5
"Congo, Democratic Republic of the",TFR,0.0,0.0,0.0
Cook Islands,TFR,392.0,417.0,404.5
Costa Rica,TFN,32561.0,34712.0,33636.5
Croatia,TCER,486349.0,484317.0,485333.0
Cuba,VFR,37751.0,0.0,18875.5
Curaçao,TFR,177044.0,0.0,88522.0
Cyprus,TFR,42217.0,0.0,21108.5
Czech Republic,TCEN,256559.0,248898.0,252728.5
Denmark,TCER,487518.0,521602.0,504560.0
Dominica,TFR,146.0,0.0,73.0
Dominican Republic,TFR,27222.0,33797.0,30509.5
Ecuador,VFR,17571.0,0.0,8785.5
Egypt,VFN,189679.0,0.0,94839.5
El Salvador,TFN,1348.0,1188.0,1268.0
Eritrea,VFN,0.0,0.0,0.0
Estonia,TCER,25368.0,0.0,12684.0
Ethiopia,TFR,15341.0,0.0,7670.5
Fiji,TFR,1770.0,1835.0,1802.5
Finland,TCER,94931.0,102374.0,98652.5
France,TFR,4730077.0,0.0,2365038.5
French Polynesia,TFR,706.0,667.0,686.5
Gambia,TFN,31509.0,0.0,15754.5
Georgia,THSR,16530.0,0.0,8265.0
Germany,TCER,4716906.0,4820118.0,4768512.0
Ghana,TFN,0.0,0.0,0.0
Greece,TFR,1014998.0,817847.0,916422.5
Grenada,TFN,381.0,321.0,351.0
Guinea,TFR,0.0,0.0,0.0
Guinea-Bissau,TFN,0.0,0.0,0.0
Guyana,TFR,1487.0,1143.0,1315.0
Honduras,TFN,0.0,0.0,0.0
"Hong Kong, China",TFR,70290.0,63230.0,66760.0
Hungary,TFN,301022.0,302593.0,301807.5
Iceland,TFN,44379.0,43329.0,43854.0
India,TFN,81615.0,0.0,40807.5
Indonesia,VFN,209978.0,215287.0,212632.5
"Iran, Islamic Republic of",VFN,14724.0,0.0,7362.0
Iraq,VFN,0.0,0.0,0.0
Ireland,TFR,229000.0,0.0,114500.0
