Destination,SERIES,2018,2019,Average
American Samoa,TFN,0.0,0.0,0.0
Antigua and Barbuda,TFR,0.0,0.0,0.0
Australia,VFR,53810.0,0.0,26905.0
Barbados,TFR,0.0,0.0,0.0
Belgium,TCER,110.0,0.0,55.0
Botswana,TFR,13.0,0.0,6.5
Canada,TFR,708.0,0.0,354.0
Cayman Islands,TFR,0.0,0.0,0.0
Colombia,TFR,5.0,0.0,2.5
Cuba,VFR,0.0,0.0,0.0
Dominica,TFR,0.0,0.0,0.0
Ecuador,VFR,111.0,0.0,55.5
Finland,TCER,87.0,70.0,78.5
French Polynesia,TFR,5684.0,6522.0,6103.0
Guinea,TFR,0.0,0.0,0.0
Guyana,TFR,0.0,0.0,0.0
India,TFN,0.0,0.0,0.0
Indonesia,VFN,0.0,0.0,0.0
Israel,TFR,0.0,0.0,0.0
Italy,TFN,3.0,0.0,1.5
"Korea, Republic of",VFN,0.0,0.0,0.0
Lebanon,TFN,0.0,0.0,0.0
Mali,TFR,6.0,0.0,3.0
Mauritius,TFR,114.0,100.0,107.0
Mexico,TFR,52.0,0.0,26.0
Mongolia,TFN,0.0,0.0,0.0
New Zealand,VFR,20595.0,20744.0,20669.5
Nicaragua,TFN,0.0,0.0,0.0
Northern Mariana Islands,VFN,0.0,0.0,0.0
Poland,TCER,295.0,0.0,147.5
Russian Federation,VFN,0.0,0.0,0.0
Seychelles,TFR,10.0,12.0,11.0
Singapore,VFR,0.0,0.0,0.0
South Africa,TFR,0.0,0.0,0.0
Suriname,TFR,0.0,0.0,0.0
Thailand,TFR,0.0,0.0,0.0
Uganda,TFR,0.0,0.0,0.0
Ukraine,TFR,0.0,0.0,0.0
United Arab Emirates,THSN,26.0,125.0,75.5
United States of America,TFR,1008.0,1135.0,1071.5
Vanuatu,TFR,15105.0,14738.0,14921.5
