Destination,SERIES,2018,2019,Average
Albania,VFN,3365.0,3496.0,3430.5
Algeria,VFN,241.0,147.0,194.0
American Samoa,TFN,0.0,0.0,0.0
Angola,TFR,106.0,128.0,117.0
Antigua and Barbuda,TFR,230.0,0.0,115.0
Argentina,TFR,19884.0,0.0,9942.0
Armenia,TFR,497.0,0.0,248.5
Australia,VFR,1384910.0,0.0,692455.0
Austria,TCER,22419.0,24803.0,23611.0
Azerbaijan,VFR,869.0,813.0,841.0
Bahamas,TFR,747.0,889.0,818.0
Bangladesh,TFN,0.0,0.0,0.0
Barbados,TFR,558.0,0.0,279.0
Belarus,VFN,419.0,542.0,480.5
Belgium,TCER,9059.0,0.0,4529.5
Benin,TFR,19.0,0.0,9.5
Bhutan,TFN,375.0,446.0,410.5
Bosnia and Herzegovina,TCER,1298.0,0.0,649.0
Botswana,TFR,2828.0,0.0,1414.0
Brazil,TFR,12320.0,13536.0,12928.0
British Virgin Islands,TFR,0.0,0.0,0.0
Brunei Darussalam,TFN,1385.0,1272.0,1328.5
Bulgaria,TCER,1738.0,2261.0,1999.5
Cambodia,TFR,24520.0,0.0,12260.0
Canada,TFR,62440.0,0.0,31220.0
Cayman Islands,TFR,312.0,0.0,156.0
Chile,TFN,10704.0,10897.0,10800.5
China,VFN,146403.0,0.0,73201.5
Colombia,TFR,3364.0,0.0,1682.0
"Congo, Democratic Republic of the",TFR,0.0,0.0,0.0
Cook Islands,TFR,113341.0,114977.0,114159.0
Costa Rica,TFN,2784.0,2643.0,2713.5
Croatia,TCER,38207.0,41657.0,39932.0
Cuba,VFR,0.0,0.0,0.0
Cyprus,TFR,0.0,0.0,0.0
Czech Republic,TCEN,13633.0,12644.0,13138.5
Dominica,TFR,64.0,0.0,32.0
Ecuador,VFR,2168.0,0.0,1084.0
Egypt,VFN,6111.0,0.0,3055.5
El Salvador,TFN,170.0,121.0,145.5
Eritrea,VFN,0.0,0.0,0.0
Estonia,TCER,0.0,0.0,0.0
Ethiopia,TFR,1118.0,0.0,559.0
Fiji,TFR,198718.0,205998.0,202358.0
Finland,TCER,3084.0,3427.0,3255.5
French Polynesia,TFR,8947.0,7960.0,8453.5
Georgia,THSR,226.0,0.0,113.0
Grenada,TFN,99.0,90.0,94.5
Guinea,TFR,0.0,0.0,0.0
Guyana,TFR,0.0,0.0,0.0
Honduras,TFN,0.0,0.0,0.0
"Hong Kong, China",TFR,74140.0,62330.0,68235.0
India,TFN,60664.0,0.0,30332.0
Indonesia,VFN,128366.0,149010.0,138688.0
"Iran, Islamic Republic of",VFN,1239.0,0.0,619.5
Iraq,VFN,0.0,0.0,0.0
