Destination,SERIES,2018,2019,Average
Albania,VFN,42.0,43.0,42.5
Angola,TFR,282.0,17.0,149.5
Antigua and Barbuda,TFR,17.0,0.0,8.5
Argentina,TFR,1453.0,0.0,726.5
Armenia,TFR,5.0,0.0,2.5
Australia,VFR,60.0,0.0,30.0
Azerbaijan,VFR,16.0,11.0,13.5
Bahamas,TFR,307.0,320.0,313.5
Bangladesh,TFN,0.0,0.0,0.0
Barbados,TFR,54.0,0.0,27.0
Belarus,VFN,20.0,38.0,29.0
Belgium,TCER,274.0,0.0,137.0
Benin,TFR,45.0,0.0,22.5
Bhutan,TFN,0.0,2.0,1.0
Botswana,TFR,0.0,0.0,0.0
Brazil,TFR,1335.0,1350.0,1342.5
British Virgin Islands,TFR,0.0,0.0,0.0
Bulgaria,TCER,90.0,123.0,106.5
Canada,TFR,1516.0,0.0,758.0
Cayman Islands,TFR,301.0,0.0,150.5
Chile,TFN,1087.0,1015.0,1051.0
China,VFN,673.0,0.0,336.5
Colombia,TFR,4121.0,0.0,2060.5
"Congo, Democratic Republic of the",TFR,0.0,0.0,0.0
Costa Rica,TFN,416915.0,414983.0,415949.0
Cuba,VFR,0.0,0.0,0.0
Dominica,TFR,28.0,0.0,14.0
Dominican Republic,TFR,0.0,0.0,0.0
Ecuador,VFR,1154.0,0.0,577.0
Egypt,VFN,123.0,0.0,61.5
El Salvador,TFN,38845.0,29817.0,34331.0
Finland,TCER,390.0,644.0,517.0
Grenada,TFN,9.0,17.0,13.0
Guinea,TFR,0.0,0.0,0.0
Guinea-Bissau,TFN,0.0,0.0,0.0
Guyana,TFR,63.0,101.0,82.0
Haiti,TFR,0.0,128.0,64.0
Honduras,TFN,0.0,0.0,0.0
India,TFN,145.0,0.0,72.5
Indonesia,VFN,142.0,165.0,153.5
Israel,TFR,507.0,0.0,253.5
Italy,TFN,0.0,1141.0,570.5
Jamaica,TFR,179.0,303.0,241.0
Japan,VFN,274.0,408.0,341.0
Jordan,TFN,125.0,0.0,62.5
Kazakhstan,VFR,5.0,1.0,3.0
"Korea, Republic of",VFN,332.0,382.0,357.0
Kuwait,VFN,59.0,0.0,29.5
Lebanon,TFN,19.0,35.0,27.0
Libya,VFN,0.0,0.0,0.0
Madagascar,TFN,0.0,0.0,0.0
Malaysia,TFN,128.0,114.0,121.0
Maldives,TFN,10.0,0.0,5.0
Mali,TFR,9.0,0.0,4.5
Mauritius,TFR,4.0,9.0,6.5
Mongolia,TFN,2.0,0.0,1.0
Morocco,TFN,248.0,0.0,124.0
New Zealand,VFR,8.0,46.0,27.0
Nigeria,VFN,0.0,0.0,0.0
Pakistan,TFN,0.0,0.0,0.0
Panama,VFR,37904.0,0.0,18952.0
Paraguay,TFN,243.0,0.0,121.5
Peru,TFR,1667.0,0.0,833.5
Poland,TCER,232.0,0.0,116.0
Russian Federation,VFN,0.0,0.0,0.0
Rwanda,VFN,0.0,0.0,0.0
San Marino,VFN,0.0,0.0,0.0
Saudi Arabia,TFN,7.0,18.0,12.5
Seychelles,TFR,3.0,1.0,2.0
South Africa,TFR,59.0,75.0,67.0
Sri Lanka,TFR,28.0,11.0,19.5
Suriname,TFR,0.0,0.0,0.0
"Tanzania, United Republic of",VFR,25.0,0.0,12.5
Thailand,TFR,0.0,0.0,0.0
Trinidad and Tobago,TFN,157.0,147.0,152.0
Turkey,TFN,495.0,0.0,247.5
Uganda,TFR,0.0,0.0,0.0
Ukraine,TFR,54.0,0.0,27.0
United Arab Emirates,THSN,483.0,7028.0,3755.5
United States of America,TFR,67477.0,67485.0,67481.0
United States Virgin Islands,THSN,0.0,0.0,0.0
Uzbekistan,VFR,5.0,0.0,2.5
"Venezuela, Bolivarian Republic of",TFN,0.0,0.0,0.0
