Destination,SERIES,2018,2019,Average
Algeria,VFN,4879.0,4584.0,4731.5
Angola,TFR,25.0,28.0,26.5
Antigua and Barbuda,TFR,1.0,0.0,0.5
Armenia,TFR,47.0,0.0,23.5
Australia,VFR,190.0,0.0,95.0
Azerbaijan,VFR,9.0,11.0,10.0
Bahamas,TFR,2.0,1.0,1.5
Bangladesh,TFN,0.0,0.0,0.0
Barbados,TFR,0.0,0.0,0.0
Belarus,VFN,0.0,18.0,9.0
Belgium,TCER,1634.0,0.0,817.0
Benin,TFR,16920.0,0.0,8460.0
Bhutan,TFN,0.0,1.0,0.5
Botswana,TFR,15.0,0.0,7.5
Bulgaria,TCER,19.0,29.0,24.0
Burkina Faso,THSR,7503.0,0.0,3751.5
Canada,TFR,382.0,0.0,191.0
Cayman Islands,TFR,0.0,0.0,0.0
China,VFN,8140.0,0.0,4070.0
Colombia,TFR,6.0,0.0,3.0
"Congo, Democratic Republic of the",TFR,0.0,0.0,0.0
Costa Rica,TFN,1.0,8.0,4.5
Dominica,TFR,0.0,0.0,0.0
Ecuador,VFR,9.0,0.0,4.5
Egypt,VFN,971.0,0.0,485.5
Finland,TCER,176.0,154.0,165.0
Ghana,TFN,0.0,0.0,0.0
Guinea,TFR,0.0,0.0,0.0
Guinea-Bissau,TFN,0.0,0.0,0.0
India,TFN,897.0,0.0,448.5
Indonesia,VFN,75.0,55.0,65.0
Israel,TFR,30.0,0.0,15.0
Italy,TFN,359.0,21.0,190.0
Japan,VFN,72.0,155.0,113.5
Jordan,TFN,13.0,0.0,6.5
Kazakhstan,VFR,11.0,8.0,9.5
"Korea, Republic of",VFN,43.0,64.0,53.5
Kuwait,VFN,373.0,0.0,186.5
Latvia,TCER,59.0,123.0,91.0
Lebanon,TFN,57.0,97.0,77.0
Libya,VFN,0.0,0.0,0.0
Madagascar,TFN,39.0,0.0,19.5
Malaysia,TFN,52.0,47.0,49.5
Maldives,TFN,8.0,0.0,4.0
Mali,TFR,3076.0,0.0,1538.0
Malta,TFR,0.0,0.0,0.0
Mauritius,TFR,160.0,217.0,188.5
Mexico,TFR,57.0,0.0,28.5
Mongolia,TFN,10.0,7.0,8.5
Morocco,TFN,9201.0,0.0,4600.5
New Zealand,VFR,19.0,11.0,15.0
Nicaragua,TFN,0.0,1.0,0.5
Nigeria,VFN,0.0,0.0,0.0
Pakistan,TFN,0.0,0.0,0.0
Panama,VFR,13.0,0.0,6.5
Poland,TCER,589.0,0.0,294.5
Russian Federation,VFN,0.0,0.0,0.0
Rwanda,VFN,0.0,0.0,0.0
San Marino,VFN,0.0,0.0,0.0
Saudi Arabia,TFN,15995.0,4327.0,10161.0
Senegal,THSN,0.0,0.0,0.0
Seychelles,TFR,4.0,11.0,7.5
Sierra Leone,TFR,10.0,0.0,5.0
South Africa,TFR,320.0,316.0,318.0
Sri Lanka,TFR,6.0,6.0,6.0
Suriname,TFR,0.0,0.0,0.0
"Tanzania, United Republic of",VFR,114.0,0.0,57.0
Thailand,TFR,0.0,0.0,0.0
Togo,THSR,5168.0,9278.0,7223.0
Trinidad and Tobago,TFN,0.0,0.0,0.0
Turkey,TFN,1549.0,0.0,774.5
Uganda,TFR,0.0,0.0,0.0
Ukraine,TFR,33.0,0.0,16.5
United Arab Emirates,THSN,1601.0,12011.0,6806.0
United States of America,TFR,1345.0,1184.0,1264.5
Uzbekistan,VFR,1.0,0.0,0.5
