Destination,SERIES,2018,2019,Average
Albania,VFN,368.0,189.0,278.5
Angola,TFR,2119.0,2325.0,2222.0
Antigua and Barbuda,TFR,97.0,0.0,48.5
Armenia,TFR,54.0,0.0,27.0
Australia,VFR,2230.0,0.0,1115.0
Azerbaijan,VFR,350.0,783.0,566.5
Bahamas,TFR,90.0,162.0,126.0
Bangladesh,TFN,0.0,0.0,0.0
Barbados,TFR,681.0,0.0,340.5
Belarus,VFN,764.0,607.0,685.5
Belgium,TCER,1629.0,0.0,814.5
Benin,TFR,29085.0,0.0,14542.5
Bhutan,TFN,1.0,13.0,7.0
Botswana,TFR,926.0,0.0,463.0
Brazil,TFR,1687.0,1589.0,1638.0
British Virgin Islands,TFR,0.0,0.0,0.0
Bulgaria,TCER,723.0,783.0,753.0
Burkina Faso,THSR,2191.0,0.0,1095.5
Cambodia,TFR,535.0,0.0,267.5
Canada,TFR,23662.0,0.0,11831.0
Cayman Islands,TFR,17.0,0.0,8.5
Central African Republic,TFN,0.0,0.0,0.0
Chile,TFN,62.0,106.0,84.0
China,VFN,45367.0,0.0,22683.5
Colombia,TFR,210.0,0.0,105.0
Congo,THSR,1001.0,0.0,500.5
"Congo, Democratic Republic of the",TFR,0.0,0.0,0.0
Costa Rica,TFN,200.0,273.0,236.5
Dominica,TFR,209.0,0.0,104.5
Ecuador,VFR,48.0,0.0,24.0
Egypt,VFN,49121.0,0.0,24560.5
El Salvador,TFN,4.0,3.0,3.5
Ethiopia,TFR,27422.0,0.0,13711.0
Finland,TCER,546.0,445.0,495.5
Gambia,TFN,5389.0,0.0,2694.5
Ghana,TFN,0.0,0.0,0.0
Grenada,TFN,165.0,167.0,166.0
Guinea,TFR,0.0,0.0,0.0
Guinea-Bissau,TFN,0.0,0.0,0.0
Guyana,TFR,0.0,0.0,0.0
Honduras,TFN,0.0,0.0,0.0
India,TFN,12067.0,0.0,6033.5
Indonesia,VFN,4736.0,3262.0,3999.0
"Iran, Islamic Republic of",VFN,1206.0,0.0,603.0
Iraq,VFN,0.0,0.0,0.0
Israel,TFR,10007.0,0.0,5003.5
Italy,TFN,4502.0,8595.0,6548.5
Japan,VFN,1666.0,2269.0,1967.5
Jordan,TFN,1106.0,0.0,553.0
Kazakhstan,VFR,202.0,259.0,230.5
"Korea, Republic of",VFN,2555.0,3029.0,2792.0
Kuwait,VFN,1848.0,0.0,924.0
Latvia,TCER,150.0,164.0,157.0
Lebanon,TFN,3295.0,6990.0,5142.5
Lesotho,VFR,2405.0,1595.0,2000.0
Libya,VFN,0.0,0.0,0.0
Madagascar,TFN,368.0,0.0,184.0
Malaysia,TFN,8825.0,7543.0,8184.0
Maldives,TFN,594.0,0.0,297.0
Mali,TFR,1044.0,0.0,522.0
Malta,TFR,0.0,0.0,0.0
Mauritius,TFR,2157.0,3614.0,2885.5
Mexico,TFR,1059.0,0.0,529.5
Mongolia,TFN,42.0,24.0,33.0
Morocco,TFN,4440.0,0.0,2220.0
Nepal,TFN,0.0,0.0,0.0
New Zealand,VFR,184.0,175.0,179.5
Nicaragua,TFN,21.0,15.0,18.0
Oman,VFR,410.0,0.0,205.0
Pakistan,TFN,0.0,0.0,0.0
Panama,VFR,130.0,0.0,65.0
Paraguay,TFN,12.0,0.0,6.0
Philippines,TFR,2104.0,3439.0,2771.5
Poland,TCER,1493.0,0.0,746.5
Portugal,TCER,0.0,0.0,0.0
Russian Federation,VFN,0.0,0.0,0.0
Rwanda,VFN,0.0,0.0,0.0
San Marino,VFN,0.0,0.0,0.0
Sao Tome and Principe,TFN,0.0,0.0,0.0
Saudi Arabia,TFN,134495.0,92552.0,113523.5
Seychelles,TFR,1218.0,1732.0,1475.0
Sierra Leone,TFR,3114.0,0.0,1557.0
South Africa,TFR,53769.0,39041.0,46405.0
Sri Lanka,TFR,412.0,172.0,292.0
Suriname,TFR,0.0,0.0,0.0
Taiwan Province of China,TCER,0.0,0.0,0.0
"Tanzania, United Republic of",VFR,6176.0,0.0,3088.0
Thailand,TFR,0.0,0.0,0.0
Togo,THSR,17548.0,40785.0,29166.5
Trinidad and Tobago,TFN,796.0,686.0,741.0
Turkey,TFN,28502.0,0.0,14251.0
Uganda,TFR,0.0,0.0,0.0
Ukraine,TFR,5253.0,0.0,2626.5
United Arab Emirates,THSN,196418.0,276738.0,236578.0
United Kingdom,VFR,203226.0,208367.0,205796.5
United States of America,TFR,187057.0,150108.0,168582.5
Uzbekistan,VFR,144.0,0.0,72.0
"Venezuela, Bolivarian Republic of",TFN,0.0,0.0,0.0
Yemen,TFN,0.0,0.0,0.0
Zambia,TFR,0.0,0.0,0.0
Zimbabwe,VFR,1625.0,0.0,812.5
