Destination,SERIES,2018,2019,Average
Australia,VFR,120.0,0.0,60.0
Belarus,VFN,0.0,1.0,0.5
Belgium,TCER,3.0,0.0,1.5
Botswana,TFR,0.0,0.0,0.0
Cayman Islands,TFR,0.0,0.0,0.0
Colombia,TFR,1.0,0.0,0.5
Costa Rica,TFN,0.0,1.0,0.5
Finland,TCER,2.0,6.0,4.0
Guinea,TFR,0.0,0.0,0.0
India,TFN,0.0,0.0,0.0
"Korea, Republic of",VFN,0.0,0.0,0.0
Mexico,TFR,45.0,0.0,22.5
Mongolia,TFN,0.0,0.0,0.0
New Zealand,VFR,2424.0,2701.0,2562.5
Poland,TCER,0.0,0.0,0.0
Saudi Arabia,TFN,0.0,0.0,0.0
Seychelles,TFR,0.0,1.0,0.5
South Africa,TFR,1.0,0.0,0.5
Uganda,TFR,0.0,0.0,0.0
Ukraine,TFR,0.0,0.0,0.0
United Arab Emirates,THSN,5.0,44.0,24.5
United States of America,TFR,34.0,23.0,28.5
