Destination,SERIES,2018,2019,Average
Albania,VFN,680780.0,753533.0,717156.5
Angola,TFR,0.0,0.0,0.0
Armenia,TFR,323.0,0.0,161.5
Australia,VFR,2130.0,0.0,1065.0
Azerbaijan,VFR,325.0,356.0,340.5
Bahamas,TFR,153.0,160.0,156.5
Barbados,TFR,8.0,0.0,4.0
Belarus,VFN,0.0,1686.0,843.0
Belgium,TCER,2767.0,0.0,1383.5
Bhutan,TFN,0.0,1.0,0.5
Bosnia and Herzegovina,TCER,8891.0,0.0,4445.5
Botswana,TFR,11.0,0.0,5.5
Bulgaria,TCER,93376.0,95661.0,94518.5
Canada,TFR,1156.0,0.0,578.0
Cayman Islands,TFR,0.0,0.0,0.0
Chile,TFN,77.0,88.0,82.5
China,VFN,3476.0,0.0,1738.0
Colombia,TFR,0.0,0.0,0.0
"Congo, Democratic Republic of the",TFR,0.0,0.0,0.0
Costa Rica,TFN,47.0,59.0,53.0
Croatia,TCER,35573.0,35384.0,35478.5
Dominica,TFR,1.0,0.0,0.5
Ecuador,VFR,50.0,0.0,25.0
Finland,TCER,257.0,492.0,374.5
Greece,TFR,1187239.0,947649.0,1067444.0
Guyana,TFR,7.0,15.0,11.0
Indonesia,VFN,1001.0,1144.0,1072.5
Israel,TFR,1568.0,0.0,784.0
Italy,TFN,171122.0,179298.0,175210.0
Jordan,TFN,493.0,0.0,246.5
"Korea, Republic of",VFN,39.0,36.0,37.5
Kuwait,VFN,2909.0,0.0,1454.5
Latvia,TCER,575.0,494.0,534.5
Lebanon,TFN,323.0,358.0,340.5
Libya,VFN,0.0,0.0,0.0
Maldives,TFN,603.0,0.0,301.5
Mali,TFR,86.0,0.0,43.0
Malta,TFR,0.0,0.0,0.0
Mauritius,TFR,122.0,177.0,149.5
Mexico,TFR,369.0,0.0,184.5
Mongolia,TFN,23.0,34.0,28.5
Montenegro,TCEN,28738.0,0.0,14369.0
Morocco,TFN,13682.0,0.0,6841.0
Nepal,TFN,0.0,0.0,0.0
New Zealand,VFR,91.0,85.0,88.0
Nicaragua,TFN,7.0,3.0,5.0
Norway,TCER,903.0,695.0,799.0
Pakistan,TFN,0.0,0.0,0.0
Panama,VFR,55.0,0.0,27.5
Paraguay,TFN,3.0,0.0,1.5
Poland,TCER,1800.0,0.0,900.0
Russian Federation,VFN,0.0,0.0,0.0
San Marino,VFN,88.0,0.0,44.0
Saudi Arabia,TFN,0.0,2601.0,1300.5
Serbia,TCEN,65557.0,72760.0,69158.5
Seychelles,TFR,96.0,122.0,109.0
Sierra Leone,TFR,2.0,0.0,1.0
Slovakia,TCEN,3192.0,3443.0,3317.5
Slovenia,TCEN,22435.0,22515.0,22475.0
South Africa,TFR,191.0,193.0,192.0
Sri Lanka,TFR,310.0,166.0,238.0
Suriname,TFR,0.0,0.0,0.0
Tajikistan,VFR,20.0,0.0,10.0
"Tanzania, United Republic of",VFR,267.0,0.0,133.5
Thailand,TFR,0.0,0.0,0.0
Togo,THSR,13.0,8.0,10.5
Trinidad and Tobago,TFN,6.0,9.0,7.5
Turkey,TFN,209357.0,0.0,104678.5
Uganda,TFR,0.0,0.0,0.0
Ukraine,TFR,4445.0,0.0,2222.5
United Arab Emirates,THSN,730.0,2747.0,1738.5
United States of America,TFR,7871.0,7731.0,7801.0
Uzbekistan,VFR,40.0,0.0,20.0
"Venezuela, Bolivarian Republic of",TFN,0.0,0.0,0.0
