Destination,SERIES,2018,2019,Average
Australia,VFR,0.0,0.0,0.0
Belgium,TCER,14.0,0.0,7.0
Canada,TFR,68.0,0.0,34.0
Colombia,TFR,0.0,0.0,0.0
Finland,TCER,2.0,8.0,5.0
Guam,TFR,20770.0,23148.0,21959.0
Mali,TFR,18.0,0.0,9.0
Mexico,TFR,5.0,0.0,2.5
Mongolia,TFN,0.0,0.0,0.0
New Zealand,VFR,60.0,45.0,52.5
Palau,TFN,0.0,0.0,0.0
Russian Federation,VFN,0.0,0.0,0.0
Saudi Arabia,TFN,0.0,0.0,0.0
South Africa,TFR,41.0,34.0,37.5
Suriname,TFR,0.0,0.0,0.0
Thailand,TFR,0.0,0.0,0.0
Uganda,TFR,0.0,0.0,0.0
Ukraine,TFR,0.0,0.0,0.0
United Arab Emirates,THSN,8.0,209.0,108.5
