Destination,SERIES,2018,2019,Average
Albania,VFN,22067.0,23361.0,22714.0
Algeria,VFN,1731.0,990.0,1360.5
American Samoa,TFN,0.0,0.0,0.0
Angola,TFR,854.0,788.0,821.0
Antigua and Barbuda,TFR,333.0,0.0,166.5
Argentina,TFR,8829.0,0.0,4414.5
Armenia,TFR,2222.0,0.0,1111.0
Aruba,TFR,1104.0,0.0,552.0
Australia,VFR,24260.0,0.0,12130.0
Austria,TCER,101443.0,110978.0,106210.5
Azerbaijan,VFR,2363.0,2658.0,2510.5
Bahamas,TFR,1315.0,1583.0,1449.0
Bangladesh,TFN,0.0,0.0,0.0
Barbados,TFR,923.0,0.0,461.5
Belarus,VFN,3328.0,3840.0,3584.0
Belgium,TCER,41612.0,0.0,20806.0
Benin,TFR,420.0,0.0,210.0
Bhutan,TFN,191.0,345.0,268.0
Bonaire,TFR,0.0,0.0,0.0
Bosnia and Herzegovina,TCER,4752.0,0.0,2376.0
Botswana,TFR,1790.0,0.0,895.0
Brazil,TFR,18249.0,17132.0,17690.5
British Virgin Islands,TFR,0.0,0.0,0.0
Brunei Darussalam,TFN,266.0,280.0,273.0
Bulgaria,TCER,51429.0,37624.0,44526.5
Cambodia,TFR,9463.0,0.0,4731.5
Canada,TFR,25870.0,0.0,12935.0
Cayman Islands,TFR,259.0,0.0,129.5
Chile,TFN,5880.0,5941.0,5910.5
China,VFN,38743.0,0.0,19371.5
Colombia,TFR,4678.0,0.0,2339.0
"Congo, Democratic Republic of the",TFR,0.0,0.0,0.0
Cook Islands,TFR,234.0,182.0,208.0
Costa Rica,TFN,3784.0,4007.0,3895.5
Croatia,TCER,179913.0,176696.0,178304.5
Cuba,VFR,0.0,0.0,0.0
Curaçao,TFR,915.0,0.0,457.5
Cyprus,TFR,55273.0,0.0,27636.5
Czech Republic,TCEN,68741.0,62317.0,65529.0
Denmark,TCER,1886428.0,1891508.0,1888968.0
Dominica,TFR,66.0,0.0,33.0
Dominican Republic,TFR,1816.0,1430.0,1623.0
Ecuador,VFR,2025.0,0.0,1012.5
Egypt,VFN,16206.0,0.0,8103.0
El Salvador,TFN,260.0,180.0,220.0
Estonia,TCER,32794.0,0.0,16397.0
Ethiopia,TFR,7713.0,0.0,3856.5
Fiji,TFR,996.0,905.0,950.5
Finland,TCER,102708.0,102446.0,102577.0
France,TFR,0.0,0.0,0.0
French Polynesia,TFR,292.0,309.0,300.5
Gambia,TFN,2366.0,0.0,1183.0
Georgia,THSR,5885.0,0.0,2942.5
Germany,TCER,410820.0,412938.0,411879.0
Greece,TFR,0.0,0.0,0.0
Grenada,TFN,176.0,207.0,191.5
Guadeloupe,TFR,0.0,0.0,0.0
Guinea,TFR,0.0,0.0,0.0
Guinea-Bissau,TFN,0.0,0.0,0.0
Guyana,TFR,69.0,256.0,162.5
Honduras,TFN,0.0,0.0,0.0
"Hong Kong, China",TFR,17866.0,13329.0,15597.5
Iceland,TFN,43735.0,39134.0,41434.5
India,TFN,22631.0,0.0,11315.5
Indonesia,VFN,24906.0,23886.0,24396.0
"Iran, Islamic Republic of",VFN,3776.0,0.0,1888.0
Iraq,VFN,0.0,0.0,0.0
Ireland,TFR,0.0,0.0,0.0
Israel,TFR,16066.0,0.0,8033.0
Italy,TFN,334559.0,232319.0,283439.0
Jamaica,TFR,925.0,1002.0,963.5
Japan,VFN,22569.0,24838.0,23703.5
Jordan,TFN,3495.0,0.0,1747.5
Kazakhstan,VFR,1375.0,1833.0,1604.0
Kenya,VFR,0.0,0.0,0.0
"Korea, Republic of",VFN,13615.0,11770.0,12692.5
Kuwait,VFN,1779.0,0.0,889.5
Kyrgyzstan,VFR,1007.0,0.0,503.5
Lao People's Democratic Republic,VFN,2913.0,2248.0,2580.5
Latvia,TCER,66733.0,62821.0,64777.0
Lebanon,TFN,6616.0,6355.0,6485.5
Libya,VFN,0.0,0.0,0.0
Liechtenstein,TCER,773.0,1088.0,930.5
Lithuania,TFR,77700.0,0.0,38850.0
Luxembourg,TCER,3035.0,0.0,1517.5
Madagascar,TFN,640.0,0.0,320.0
Malaysia,TFN,15202.0,14585.0,14893.5
Maldives,TFN,5585.0,0.0,2792.5
Mali,TFR,241.0,0.0,120.5
Malta,TFR,15257.0,16548.0,15902.5
Mauritius,TFR,5332.0,5703.0,5517.5
Mexico,TFR,11687.0,0.0,5843.5
"Moldova, Republic of",TCEN,649.0,1152.0,900.5
Monaco,THSN,2659.0,1934.0,2296.5
Mongolia,TFN,752.0,574.0,663.0
Montenegro,TCEN,13923.0,0.0,6961.5
Morocco,TFN,24846.0,0.0,12423.0
Nepal,TFN,3654.0,3385.0,3519.5
Netherlands,TCER,0.0,0.0,0.0
New Zealand,VFR,5604.0,5650.0,5627.0
Nicaragua,TFN,1013.0,536.0,774.5
Nigeria,VFN,0.0,0.0,0.0
North Macedonia,TCEN,4619.0,5116.0,4867.5
Northern Mariana Islands,VFN,0.0,0.0,0.0
Oman,VFR,4366.0,0.0,2183.0
Pakistan,TFN,0.0,0.0,0.0
Palau,TFN,50.0,0.0,25.0
Panama,VFR,2044.0,0.0,1022.0
Paraguay,TFN,405.0,0.0,202.5
Peru,TFR,5499.0,0.0,2749.5
Philippines,TFR,23571.0,23464.0,23517.5
Poland,TCER,183507.0,0.0,91753.5
Portugal,TCER,99575.0,95124.0,97349.5
Romania,TCER,15369.0,14685.0,15027.0
Russian Federation,VFN,48863.0,0.0,24431.5
Rwanda,VFN,0.0,0.0,0.0
Saint Kitts and Nevis,TFR,0.0,0.0,0.0
Saint Vincent and the Grenadines,TFR,0.0,0.0,0.0
San Marino,VFN,147.0,0.0,73.5
Sao Tome and Principe,TFN,0.0,0.0,0.0
Saudi Arabia,TFN,3937.0,5775.0,4856.0
Senegal,THSN,0.0,0.0,0.0
Serbia,TCEN,6876.0,7598.0,7237.0
Seychelles,TFR,1735.0,1702.0,1718.5
Sierra Leone,TFR,456.0,0.0,228.0
Singapore,VFR,33961.0,33930.0,33945.5
Slovakia,TCEN,8144.0,9554.0,8849.0
Slovenia,TCEN,13110.0,14433.0,13771.5
South Africa,TFR,19282.0,17408.0,18345.0
Spain,TFR,1520398.537179822,1480843.1150358815,1500620.8261078517
Sri Lanka,TFR,17217.0,13446.0,15331.5
Suriname,TFR,0.0,0.0,0.0
Sweden,TCER,1446236.0,0.0,723118.0
Switzerland,TCER,47914.0,47135.0,47524.5
Syrian Arab Republic,VFN,544.0,681.0,612.5
Tajikistan,VFR,386.0,0.0,193.0
"Tanzania, United Republic of",VFR,11567.0,0.0,5783.5
Thailand,TFR,133020.0,0.0,66510.0
Togo,THSR,0.0,90.0,45.0
Trinidad and Tobago,TFN,982.0,755.0,868.5
Tunisia,TFN,2124.0,2368.0,2246.0
Turkey,TFN,160291.0,0.0,80145.5
Turkmenistan,TFN,0.0,0.0,0.0
Turks and Caicos Islands,TFR,0.0,0.0,0.0
Uganda,TFR,0.0,0.0,0.0
Ukraine,TFR,14476.0,0.0,7238.0
United Arab Emirates,THSN,11613.0,39525.0,25569.0
United Kingdom,VFR,647814.0,647461.0,647637.5
United States of America,TFR,280565.0,267930.0,274247.5
United States Virgin Islands,THSN,81.0,157.0,119.0
Uruguay,VFN,1944.0,0.0,972.0
Uzbekistan,VFR,1119.0,0.0,559.5
"Venezuela, Bolivarian Republic of",TFN,0.0,0.0,0.0
Viet Nam,VFR,26134.0,28037.0,27085.5
Yemen,TFN,0.0,0.0,0.0
Zambia,TFR,0.0,0.0,0.0
