Destination,SERIES,2018,2019,Average
Angola,TFR,0.0,0.0,0.0
Antigua and Barbuda,TFR,0.0,0.0,0.0
Armenia,TFR,1142.0,0.0,571.0
Australia,VFR,2980.0,0.0,1490.0
Azerbaijan,VFR,24413.0,18205.0,21309.0
Bahamas,TFR,8.0,14.0,11.0
Bangladesh,TFN,0.0,0.0,0.0
Barbados,TFR,7.0,0.0,3.5
Belarus,VFN,407.0,560.0,483.5
Belgium,TCER,1590.0,0.0,795.0
Bhutan,TFN,4.0,30.0,17.0
Bosnia and Herzegovina,TCER,11397.0,0.0,5698.5
Botswana,TFR,27.0,0.0,13.5
Brunei Darussalam,TFN,277.0,218.0,247.5
Bulgaria,TCER,192.0,215.0,203.5
Cambodia,TFR,259.0,0.0,129.5
Canada,TFR,1945.0,0.0,972.5
Cayman Islands,TFR,7.0,0.0,3.5
Chile,TFN,12.0,20.0,16.0
China,VFN,7863.0,0.0,3931.5
Colombia,TFR,27.0,0.0,13.5
"Congo, Democratic Republic of the",TFR,0.0,0.0,0.0
Costa Rica,TFN,56.0,65.0,60.5
Cuba,VFR,0.0,0.0,0.0
Dominica,TFR,0.0,0.0,0.0
Ecuador,VFR,91.0,0.0,45.5
Egypt,VFN,16801.0,0.0,8400.5
Finland,TCER,377.0,476.0,426.5
Guyana,TFR,0.0,0.0,0.0
India,TFN,95160.0,0.0,47580.0
Indonesia,VFN,25704.0,24051.0,24877.5
"Iran, Islamic Republic of",VFN,26098.0,0.0,13049.0
Israel,TFR,58.0,0.0,29.0
Italy,TFN,4631.0,4042.0,4336.5
Japan,VFN,840.0,878.0,859.0
Jordan,TFN,13773.0,0.0,6886.5
Kazakhstan,VFR,204.0,378.0,291.0
"Korea, Republic of",VFN,1085.0,1271.0,1178.0
Kuwait,VFN,42603.0,0.0,21301.5
Lebanon,TFN,4301.0,3969.0,4135.0
Libya,VFN,0.0,0.0,0.0
Malaysia,TFN,22295.0,23911.0,23103.0
Maldives,TFN,978.0,0.0,489.0
Mali,TFR,26.0,0.0,13.0
Malta,TFR,0.0,0.0,0.0
Mauritius,TFR,240.0,253.0,246.5
Mexico,TFR,2030.0,0.0,1015.0
Mongolia,TFN,25.0,39.0,32.0
Morocco,TFN,9316.0,0.0,4658.0
Nepal,TFN,0.0,0.0,0.0
New Zealand,VFR,805.0,769.0,787.0
Nicaragua,TFN,0.0,1.0,0.5
Nigeria,VFN,0.0,0.0,0.0
Pakistan,TFN,0.0,0.0,0.0
Panama,VFR,20.0,0.0,10.0
Paraguay,TFN,1.0,0.0,0.5
Philippines,TFR,0.0,2526.0,1263.0
Poland,TCER,480.0,0.0,240.0
Portugal,TCER,0.0,0.0,0.0
Qatar,VFN,55231.0,66697.0,60964.0
Russian Federation,VFN,0.0,0.0,0.0
Rwanda,VFN,0.0,0.0,0.0
San Marino,VFN,0.0,0.0,0.0
Saudi Arabia,TFN,184657.0,236137.0,210397.0
Seychelles,TFR,239.0,200.0,219.5
Sierra Leone,TFR,33.0,0.0,16.5
South Africa,TFR,561.0,633.0,597.0
Sri Lanka,TFR,6846.0,4117.0,5481.5
Suriname,TFR,0.0,0.0,0.0
Syrian Arab Republic,VFN,829.0,1126.0,977.5
Tajikistan,VFR,0.0,0.0,0.0
"Tanzania, United Republic of",VFR,15277.0,0.0,7638.5
Thailand,TFR,0.0,0.0,0.0
Trinidad and Tobago,TFN,5.0,3.0,4.0
Tunisia,TFN,1518.0,1845.0,1681.5
Turkey,TFN,53219.0,0.0,26609.5
Uganda,TFR,0.0,0.0,0.0
Ukraine,TFR,780.0,0.0,390.0
United Arab Emirates,THSN,725277.0,759375.0,742326.0
United Kingdom,VFR,37002.0,39829.0,38415.5
United States of America,TFR,11747.0,11564.0,11655.5
Uzbekistan,VFR,209.0,0.0,104.5
Yemen,TFN,0.0,0.0,0.0
