Destination,SERIES,2018,2019,Average
Albania,VFN,306.0,371.0,338.5
American Samoa,TFN,0.0,0.0,0.0
Angola,TFR,496.0,528.0,512.0
Antigua and Barbuda,TFR,28.0,0.0,14.0
Armenia,TFR,77.0,0.0,38.5
Australia,VFR,19660.0,0.0,9830.0
Azerbaijan,VFR,41268.0,46586.0,43927.0
Bahamas,TFR,50.0,22.0,36.0
Bangladesh,TFN,0.0,0.0,0.0
Barbados,TFR,71.0,0.0,35.5
Belarus,VFN,977.0,850.0,913.5
Belgium,TCER,3386.0,0.0,1693.0
Benin,TFR,17.0,0.0,8.5
Bhutan,TFN,8.0,62.0,35.0
Botswana,TFR,274.0,0.0,137.0
Brazil,TFR,1306.0,1071.0,1188.5
British Virgin Islands,TFR,0.0,0.0,0.0
Brunei Darussalam,TFN,881.0,853.0,867.0
Bulgaria,TCER,1214.0,890.0,1052.0
Cambodia,TFR,3567.0,0.0,1783.5
Canada,TFR,23465.0,0.0,11732.5
Cayman Islands,TFR,6.0,0.0,3.0
Chile,TFN,412.0,258.0,335.0
China,VFN,130944.0,0.0,65472.0
Colombia,TFR,242.0,0.0,121.0
"Congo, Democratic Republic of the",TFR,0.0,0.0,0.0
Costa Rica,TFN,317.0,354.0,335.5
Cuba,VFR,0.0,0.0,0.0
Dominica,TFR,3.0,0.0,1.5
Ecuador,VFR,109.0,0.0,54.5
Egypt,VFN,12002.0,0.0,6001.0
El Salvador,TFN,15.0,9.0,12.0
Ethiopia,TFR,3293.0,0.0,1646.5
Finland,TCER,934.0,870.0,902.0
Guinea,TFR,0.0,0.0,0.0
Guinea-Bissau,TFN,0.0,0.0,0.0
Guyana,TFR,0.0,0.0,0.0
Honduras,TFN,0.0,0.0,0.0
India,TFN,41659.0,0.0,20829.5
Indonesia,VFN,13448.0,14663.0,14055.5
"Iran, Islamic Republic of",VFN,294086.0,0.0,147043.0
Iraq,VFN,0.0,0.0,0.0
Israel,TFR,49.0,0.0,24.5
Italy,TFN,33035.0,29420.0,31227.5
Jamaica,TFR,35.0,31.0,33.0
Japan,VFN,15802.0,17208.0,16505.0
Jordan,TFN,27240.0,0.0,13620.0
Kazakhstan,VFR,1499.0,1942.0,1720.5
"Korea, Republic of",VFN,14188.0,13721.0,13954.5
Kuwait,VFN,197438.0,0.0,98719.0
Kyrgyzstan,VFR,3215.0,0.0,1607.5
Lao People's Democratic Republic,VFN,0.0,0.0,0.0
Latvia,TCER,313.0,341.0,327.0
Lebanon,TFN,11634.0,13151.0,12392.5
Libya,VFN,0.0,0.0,0.0
Madagascar,TFN,735.0,0.0,367.5
Malaysia,TFN,74458.0,105757.0,90107.5
Maldives,TFN,5340.0,0.0,2670.0
Mali,TFR,226.0,0.0,113.0
Malta,TFR,0.0,0.0,0.0
Mauritius,TFR,1207.0,932.0,1069.5
Mexico,TFR,978.0,0.0,489.0
Mongolia,TFN,292.0,315.0,303.5
Morocco,TFN,3371.0,0.0,1685.5
Myanmar,TFN,1528.0,1620.0,1574.0
Nepal,TFN,4956.0,4923.0,4939.5
New Zealand,VFR,1065.0,1055.0,1060.0
Nicaragua,TFN,20.0,19.0,19.5
Nigeria,VFN,0.0,0.0,0.0
Northern Mariana Islands,VFN,0.0,0.0,0.0
Oman,VFR,1229.0,0.0,614.5
Panama,VFR,201.0,0.0,100.5
Paraguay,TFN,27.0,0.0,13.5
Peru,TFR,0.0,0.0,0.0
Philippines,TFR,4999.0,5793.0,5396.0
Poland,TCER,2431.0,0.0,1215.5
Portugal,TCER,0.0,0.0,0.0
Qatar,VFN,49576.0,68216.0,58896.0
Reunion,TFR,0.0,0.0,0.0
Russian Federation,VFN,0.0,0.0,0.0
Rwanda,VFN,0.0,0.0,0.0
San Marino,VFN,147.0,0.0,73.5
Saudi Arabia,TFN,2177306.0,1902694.0,2040000.0
Seychelles,TFR,428.0,296.0,362.0
Sierra Leone,TFR,107.0,0.0,53.5
Singapore,VFR,25330.0,19974.0,22652.0
South Africa,TFR,15003.0,13753.0,14378.0
Sri Lanka,TFR,19116.0,14655.0,16885.5
Sudan,TFN,0.0,0.0,0.0
Suriname,TFR,0.0,0.0,0.0
Syrian Arab Republic,VFN,13659.0,14935.0,14297.0
Tajikistan,VFR,418.0,0.0,209.0
"Tanzania, United Republic of",VFR,4406.0,0.0,2203.0
Thailand,TFR,78256.0,0.0,39128.0
Timor-Leste,TFR,109.0,127.0,118.0
Togo,THSR,490.0,1313.0,901.5
Trinidad and Tobago,TFN,246.0,205.0,225.5
Turkey,TFN,113268.0,0.0,56634.0
Turkmenistan,TFN,0.0,0.0,0.0
Uganda,TFR,0.0,0.0,0.0
Ukraine,TFR,1809.0,0.0,904.5
United Arab Emirates,THSN,715947.0,764316.0,740131.5
United Kingdom,VFR,94928.0,89674.0,92301.0
United States of America,TFR,95465.0,96580.0,96022.5
Uzbekistan,VFR,5568.0,0.0,2784.0
"Venezuela, Bolivarian Republic of",TFN,0.0,0.0,0.0
Viet Nam,VFR,0.0,0.0,0.0
Yemen,TFN,0.0,0.0,0.0
Zambia,TFR,0.0,0.0,0.0
Zimbabwe,VFR,714.0,0.0,357.0
