Destination,SERIES,2018,2019,Average
American Samoa,TFN,0.0,0.0,0.0
Armenia,TFR,0.0,0.0,0.0
Australia,VFR,120.0,0.0,60.0
Azerbaijan,VFR,0.0,1.0,0.5
Bahamas,TFR,2.0,0.0,1.0
Barbados,TFR,0.0,0.0,0.0
Belarus,VFN,0.0,0.0,0.0
Belgium,TCER,7.0,0.0,3.5
Bhutan,TFN,0.0,1.0,0.5
Cayman Islands,TFR,0.0,0.0,0.0
China,VFN,89.0,0.0,44.5
Colombia,TFR,0.0,0.0,0.0
Costa Rica,TFN,1.0,5.0,3.0
Ecuador,VFR,1.0,0.0,0.5
Finland,TCER,4.0,6.0,5.0
Guam,TFR,4031.0,4331.0,4181.0
Indonesia,VFN,69.0,690.0,379.5
Israel,TFR,21.0,0.0,10.5
Japan,VFN,524.0,511.0,517.5
"Korea, Republic of",VFN,333.0,359.0,346.0
Kuwait,VFN,10.0,0.0,5.0
Malaysia,TFN,21.0,13.0,17.0
Maldives,TFN,7.0,0.0,3.5
Marshall Islands,TFR,0.0,0.0,0.0
Mauritius,TFR,1.0,0.0,0.5
Mexico,TFR,116.0,0.0,58.0
Mongolia,TFN,3.0,4.0,3.5
New Zealand,VFR,65.0,45.0,55.0
Nicaragua,TFN,0.0,0.0,0.0
Northern Mariana Islands,VFN,410.0,0.0,205.0
Poland,TCER,0.0,0.0,0.0
Russian Federation,VFN,0.0,0.0,0.0
Seychelles,TFR,0.0,0.0,0.0
South Africa,TFR,0.0,0.0,0.0
Sri Lanka,TFR,5.0,0.0,2.5
Suriname,TFR,0.0,0.0,0.0
Thailand,TFR,0.0,0.0,0.0
Trinidad and Tobago,TFN,0.0,0.0,0.0
Turkey,TFN,0.0,0.0,0.0
Uganda,TFR,0.0,0.0,0.0
Ukraine,TFR,0.0,0.0,0.0
United Arab Emirates,THSN,486.0,969.0,727.5
United States of America,TFR,171.0,141.0,156.0
