Destination,SERIES,2018,2019,Average
Angola,TFR,16.0,5.0,10.5
Antigua and Barbuda,TFR,177.0,0.0,88.5
Argentina,TFR,7309.0,0.0,3654.5
Australia,VFR,570.0,0.0,285.0
Azerbaijan,VFR,20.0,27.0,23.5
Bahamas,TFR,1737.0,1484.0,1610.5
Bangladesh,TFN,0.0,0.0,0.0
Barbados,TFR,1218.0,0.0,609.0
Belarus,VFN,95.0,67.0,81.0
Belgium,TCER,2361.0,0.0,1180.5
Bhutan,TFN,4.0,4.0,4.0
Bonaire,TFR,0.0,0.0,0.0
Botswana,TFR,24.0,0.0,12.0
Brazil,TFR,9448.0,9264.0,9356.0
British Virgin Islands,TFR,0.0,0.0,0.0
Bulgaria,TCER,106.0,129.0,117.5
Canada,TFR,7774.0,0.0,3887.0
Cayman Islands,TFR,282.0,0.0,141.0
Chile,TFN,4712.0,4343.0,4527.5
China,VFN,11777.0,0.0,5888.5
Colombia,TFR,118073.0,0.0,59036.5
"Congo, Democratic Republic of the",TFR,0.0,0.0,0.0
Costa Rica,TFN,92802.0,92072.0,92437.0
Cuba,VFR,0.0,0.0,0.0
Curaçao,TFR,1688.0,0.0,844.0
Dominica,TFR,110.0,0.0,55.0
Dominican Republic,TFR,22795.0,20204.0,21499.5
Ecuador,VFR,26491.0,0.0,13245.5
Egypt,VFN,509.0,0.0,254.5
El Salvador,TFN,15742.0,13427.0,14584.5
Finland,TCER,249.0,188.0,218.5
Grenada,TFN,72.0,71.0,71.5
Guinea,TFR,0.0,0.0,0.0
Guinea-Bissau,TFN,0.0,0.0,0.0
Guyana,TFR,535.0,662.0,598.5
Haiti,TFR,0.0,139.0,69.5
Honduras,TFN,0.0,0.0,0.0
India,TFN,1547.0,0.0,773.5
Indonesia,VFN,526.0,522.0,524.0
"Iran, Islamic Republic of",VFN,10.0,0.0,5.0
Israel,TFR,3131.0,0.0,1565.5
Italy,TFN,12545.0,21648.0,17096.5
Jamaica,TFR,2328.0,2500.0,2414.0
Japan,VFN,1304.0,1463.0,1383.5
Kazakhstan,VFR,6.0,26.0,16.0
"Korea, Republic of",VFN,937.0,1298.0,1117.5
Kuwait,VFN,33.0,0.0,16.5
Latvia,TCER,100.0,49.0,74.5
Lebanon,TFN,885.0,838.0,861.5
Madagascar,TFN,5.0,0.0,2.5
Malaysia,TFN,326.0,437.0,381.5
Maldives,TFN,108.0,0.0,54.0
Mali,TFR,1.0,0.0,0.5
Mauritius,TFR,49.0,25.0,37.0
Mongolia,TFN,5.0,9.0,7.0
Morocco,TFN,386.0,0.0,193.0
New Zealand,VFR,273.0,292.0,282.5
Nicaragua,TFN,15933.0,14256.0,15094.5
Nigeria,VFN,0.0,0.0,0.0
Pakistan,TFN,0.0,0.0,0.0
Paraguay,TFN,1294.0,0.0,647.0
Peru,TFR,22036.0,0.0,11018.0
Poland,TCER,446.0,0.0,223.0
Russian Federation,VFN,0.0,0.0,0.0
Rwanda,VFN,0.0,0.0,0.0
San Marino,VFN,0.0,0.0,0.0
Saudi Arabia,TFN,415.0,185.0,300.0
Seychelles,TFR,17.0,16.0,16.5
South Africa,TFR,505.0,342.0,423.5
Sri Lanka,TFR,54.0,45.0,49.5
Suriname,TFR,0.0,0.0,0.0
"Tanzania, United Republic of",VFR,47.0,0.0,23.5
Thailand,TFR,0.0,0.0,0.0
Togo,THSR,39.0,15.0,27.0
Trinidad and Tobago,TFN,975.0,1098.0,1036.5
Turkey,TFN,3658.0,0.0,1829.0
Uganda,TFR,0.0,0.0,0.0
Ukraine,TFR,166.0,0.0,83.0
United Arab Emirates,THSN,1123.0,5122.0,3122.5
United States of America,TFR,174826.0,196709.0,185767.5
United States Virgin Islands,THSN,31.0,23.0,27.0
Uzbekistan,VFR,1.0,0.0,0.5
"Venezuela, Bolivarian Republic of",TFN,0.0,0.0,0.0
