Destination,SERIES,2018,2019,Average
American Samoa,TFN,0.0,0.0,0.0
Antigua and Barbuda,TFR,1.0,0.0,0.5
Australia,VFR,48820.0,0.0,24410.0
Azerbaijan,VFR,7.0,5.0,6.0
Bahamas,TFR,2.0,2.0,2.0
Bangladesh,TFN,0.0,0.0,0.0
Barbados,TFR,1.0,0.0,0.5
Belarus,VFN,0.0,0.0,0.0
Belgium,TCER,142.0,0.0,71.0
Bhutan,TFN,2.0,3.0,2.5
Bulgaria,TCER,2.0,1.0,1.5
Canada,TFR,262.0,0.0,131.0
Cayman Islands,TFR,0.0,0.0,0.0
China,VFN,1903.0,0.0,951.5
Colombia,TFR,5.0,0.0,2.5
Costa Rica,TFN,3.0,2.0,2.5
Cuba,VFR,0.0,0.0,0.0
Dominica,TFR,0.0,0.0,0.0
Ecuador,VFR,12.0,0.0,6.0
El Salvador,TFN,1.0,3.0,2.0
Finland,TCER,18.0,24.0,21.0
Guyana,TFR,0.0,0.0,0.0
India,TFN,219.0,0.0,109.5
Indonesia,VFN,142648.0,78433.0,110540.5
Israel,TFR,221.0,0.0,110.5
Italy,TFN,0.0,0.0,0.0
Japan,VFN,806.0,891.0,848.5
Jordan,TFN,15.0,0.0,7.5
Kazakhstan,VFR,8.0,9.0,8.5
"Korea, Republic of",VFN,271.0,307.0,289.0
Kuwait,VFN,0.0,0.0,0.0
Lebanon,TFN,1.0,5.0,3.0
Malaysia,TFN,1215.0,1272.0,1243.5
Maldives,TFN,5.0,0.0,2.5
Mali,TFR,1.0,0.0,0.5
Mauritius,TFR,4.0,1.0,2.5
Mexico,TFR,40.0,0.0,20.0
Mongolia,TFN,2.0,12.0,7.0
New Zealand,VFR,2543.0,2683.0,2613.0
Nicaragua,TFN,0.0,0.0,0.0
Northern Mariana Islands,VFN,0.0,0.0,0.0
Pakistan,TFN,0.0,0.0,0.0
Panama,VFR,40.0,0.0,20.0
Paraguay,TFN,6.0,0.0,3.0
Philippines,TFR,8481.0,8828.0,8654.5
Poland,TCER,47.0,0.0,23.5
Russian Federation,VFN,0.0,0.0,0.0
Rwanda,VFN,0.0,0.0,0.0
Saudi Arabia,TFN,3.0,234.0,118.5
Seychelles,TFR,0.0,1.0,0.5
Sierra Leone,TFR,25.0,0.0,12.5
Singapore,VFR,0.0,0.0,0.0
Solomon Islands,TFR,1804.0,1649.0,1726.5
South Africa,TFR,37.0,52.0,44.5
Sri Lanka,TFR,84.0,98.0,91.0
Suriname,TFR,0.0,0.0,0.0
"Tanzania, United Republic of",VFR,57.0,0.0,28.5
Thailand,TFR,0.0,0.0,0.0
Togo,THSR,0.0,68.0,34.0
Trinidad and Tobago,TFN,3.0,6.0,4.5
Turkey,TFN,22.0,0.0,11.0
Uganda,TFR,0.0,0.0,0.0
Ukraine,TFR,3.0,0.0,1.5
United Arab Emirates,THSN,98.0,658.0,378.0
United States of America,TFR,826.0,1140.0,983.0
Vanuatu,TFR,0.0,0.0,0.0
