Destination,SERIES,2018,2019,Average
Albania,VFN,43.0,62.0,52.5
Angola,TFR,56.0,61.0,58.5
Antigua and Barbuda,TFR,10.0,0.0,5.0
Argentina,TFR,899365.0,0.0,449682.5
Aruba,TFR,1315.0,0.0,657.5
Australia,VFR,420.0,0.0,210.0
Azerbaijan,VFR,33.0,23.0,28.0
Bahamas,TFR,376.0,245.0,310.5
Bangladesh,TFN,0.0,0.0,0.0
Barbados,TFR,16.0,0.0,8.0
Belarus,VFN,38.0,10.0,24.0
Belgium,TCER,656.0,0.0,328.0
Bhutan,TFN,0.0,12.0,6.0
"Bolivia, Plurinational State of",TFN,21906.0,0.0,10953.0
Bonaire,TFR,0.0,0.0,0.0
Botswana,TFR,27.0,0.0,13.5
Brazil,TFR,356897.0,406526.0,381711.5
British Virgin Islands,TFR,0.0,0.0,0.0
Bulgaria,TCER,15.0,52.0,33.5
Canada,TFR,1979.0,0.0,989.5
Cayman Islands,TFR,27.0,0.0,13.5
Chile,TFN,24967.0,21064.0,23015.5
China,VFN,1382.0,0.0,691.0
Colombia,TFR,8952.0,0.0,4476.0
"Congo, Democratic Republic of the",TFR,0.0,0.0,0.0
Costa Rica,TFN,1005.0,1603.0,1304.0
Cuba,VFR,0.0,0.0,0.0
Dominica,TFR,0.0,0.0,0.0
Ecuador,VFR,1806.0,0.0,903.0
Egypt,VFN,380.0,0.0,190.0
El Salvador,TFN,340.0,390.0,365.0
Finland,TCER,74.0,101.0,87.5
French Polynesia,TFR,0.0,0.0,0.0
Grenada,TFN,23.0,8.0,15.5
Guinea,TFR,0.0,0.0,0.0
Guinea-Bissau,TFN,0.0,0.0,0.0
Guyana,TFR,19.0,33.0,26.0
Haiti,TFR,0.0,0.0,0.0
Honduras,TFN,0.0,0.0,0.0
India,TFN,349.0,0.0,174.5
Indonesia,VFN,233.0,287.0,260.0
Israel,TFR,1440.0,0.0,720.0
Italy,TFN,917.0,1417.0,1167.0
Jamaica,TFR,494.0,597.0,545.5
Japan,VFN,669.0,675.0,672.0
Jordan,TFN,135.0,0.0,67.5
Kazakhstan,VFR,17.0,14.0,15.5
"Korea, Republic of",VFN,530.0,644.0,587.0
Kuwait,VFN,127.0,0.0,63.5
Lebanon,TFN,646.0,592.0,619.0
Madagascar,TFN,5.0,0.0,2.5
Malaysia,TFN,178.0,175.0,176.5
Maldives,TFN,126.0,0.0,63.0
Mali,TFR,0.0,0.0,0.0
Mauritius,TFR,42.0,27.0,34.5
Mexico,TFR,22856.0,0.0,11428.0
Mongolia,TFN,11.0,5.0,8.0
Morocco,TFN,365.0,0.0,182.5
New Zealand,VFR,45.0,125.0,85.0
Nicaragua,TFN,151.0,162.0,156.5
Nigeria,VFN,0.0,0.0,0.0
Pakistan,TFN,0.0,0.0,0.0
Panama,VFR,5204.0,0.0,2602.0
Peru,TFR,11560.0,0.0,5780.0
Poland,TCER,175.0,0.0,87.5
Russian Federation,VFN,0.0,0.0,0.0
Rwanda,VFN,0.0,0.0,0.0
San Marino,VFN,0.0,0.0,0.0
Saudi Arabia,TFN,36.0,55.0,45.5
Seychelles,TFR,23.0,15.0,19.0
Sierra Leone,TFR,2.0,0.0,1.0
South Africa,TFR,704.0,705.0,704.5
Sri Lanka,TFR,22.0,22.0,22.0
Suriname,TFR,0.0,0.0,0.0
"Tanzania, United Republic of",VFR,71.0,0.0,35.5
Thailand,TFR,0.0,0.0,0.0
Trinidad and Tobago,TFN,26.0,28.0,27.0
Turkey,TFN,991.0,0.0,495.5
Uganda,TFR,0.0,0.0,0.0
Ukraine,TFR,128.0,0.0,64.0
United Arab Emirates,THSN,455.0,1290.0,872.5
United States of America,TFR,35643.0,34295.0,34969.0
United States Virgin Islands,THSN,0.0,0.0,0.0
Uruguay,VFN,38685.0,0.0,19342.5
Uzbekistan,VFR,3.0,0.0,1.5
"Venezuela, Bolivarian Republic of",TFN,0.0,0.0,0.0
