Destination,SERIES,2018,2019,Average
Albania,VFN,391.0,473.0,432.0
Angola,TFR,378.0,296.0,337.0
Antigua and Barbuda,TFR,40.0,0.0,20.0
Argentina,TFR,194934.0,0.0,97467.0
Armenia,TFR,112.0,0.0,56.0
Aruba,TFR,4482.0,0.0,2241.0
Australia,VFR,4680.0,0.0,2340.0
Azerbaijan,VFR,274.0,190.0,232.0
Bahamas,TFR,1731.0,1438.0,1584.5
Bangladesh,TFN,0.0,0.0,0.0
Barbados,TFR,176.0,0.0,88.0
Belarus,VFN,997.0,396.0,696.5
Belgium,TCER,5666.0,0.0,2833.0
Bhutan,TFN,25.0,28.0,26.5
"Bolivia, Plurinational State of",TFN,190950.0,0.0,95475.0
Bonaire,TFR,0.0,0.0,0.0
Botswana,TFR,130.0,0.0,65.0
Brazil,TFR,121326.0,135880.0,128603.0
British Virgin Islands,TFR,0.0,0.0,0.0
Bulgaria,TCER,387.0,398.0,392.5
Cambodia,TFR,1939.0,0.0,969.5
Canada,TFR,18289.0,0.0,9144.5
Cayman Islands,TFR,208.0,0.0,104.0
Chile,TFN,388942.0,410692.0,399817.0
China,VFN,21128.0,0.0,10564.0
Colombia,TFR,151499.0,0.0,75749.5
"Congo, Democratic Republic of the",TFR,0.0,0.0,0.0
Costa Rica,TFN,14865.0,17007.0,15936.0
Cuba,VFR,28173.0,0.0,14086.5
Curaçao,TFR,460.0,0.0,230.0
Dominica,TFR,22.0,0.0,11.0
Dominican Republic,TFR,37062.0,39278.0,38170.0
Ecuador,VFR,144562.0,0.0,72281.0
Egypt,VFN,3632.0,0.0,1816.0
El Salvador,TFN,9658.0,9946.0,9802.0
Finland,TCER,802.0,990.0,896.0
French Polynesia,TFR,0.0,0.0,0.0
Grenada,TFN,25.0,17.0,21.0
Guinea,TFR,0.0,0.0,0.0
Guinea-Bissau,TFN,0.0,0.0,0.0
Guyana,TFR,488.0,536.0,512.0
Haiti,TFR,0.0,106.0,53.0
Honduras,TFN,0.0,0.0,0.0
India,TFN,3607.0,0.0,1803.5
Indonesia,VFN,2614.0,2848.0,2731.0
"Iran, Islamic Republic of",VFN,76.0,0.0,38.0
Israel,TFR,6783.0,0.0,3391.5
Italy,TFN,44859.0,53426.0,49142.5
Jamaica,TFR,2223.0,3623.0,2923.0
Japan,VFN,5048.0,6022.0,5535.0
Jordan,TFN,1824.0,0.0,912.0
Kazakhstan,VFR,62.0,114.0,88.0
"Korea, Republic of",VFN,4140.0,4745.0,4442.5
Kuwait,VFN,143.0,0.0,71.5
Latvia,TCER,266.0,168.0,217.0
Lebanon,TFN,412.0,413.0,412.5
Libya,VFN,0.0,0.0,0.0
Madagascar,TFN,9.0,0.0,4.5
Malaysia,TFN,1887.0,1657.0,1772.0
Maldives,TFN,322.0,0.0,161.0
Mali,TFR,17.0,0.0,8.5
Mauritius,TFR,122.0,204.0,163.0
Mexico,TFR,231232.0,0.0,115616.0
Mongolia,TFN,76.0,80.0,78.0
Morocco,TFN,3862.0,0.0,1931.0
Nepal,TFN,0.0,0.0,0.0
New Zealand,VFR,752.0,790.0,771.0
Nicaragua,TFN,1725.0,1795.0,1760.0
Nigeria,VFN,0.0,0.0,0.0
Pakistan,TFN,0.0,0.0,0.0
Panama,VFR,59326.0,0.0,29663.0
Paraguay,TFN,9909.0,0.0,4954.5
Philippines,TFR,1038.0,1660.0,1349.0
Poland,TCER,1373.0,0.0,686.5
Russian Federation,VFN,30589.0,0.0,15294.5
Rwanda,VFN,0.0,0.0,0.0
San Marino,VFN,0.0,0.0,0.0
Saudi Arabia,TFN,204.0,385.0,294.5
Seychelles,TFR,51.0,68.0,59.5
Sierra Leone,TFR,1.0,0.0,0.5
South Africa,TFR,2420.0,3919.0,3169.5
Sri Lanka,TFR,301.0,300.0,300.5
Suriname,TFR,0.0,0.0,0.0
"Tanzania, United Republic of",VFR,251.0,0.0,125.5
Thailand,TFR,0.0,0.0,0.0
Togo,THSR,52.0,158.0,105.0
Trinidad and Tobago,TFN,392.0,416.0,404.0
Turkey,TFN,8275.0,0.0,4137.5
Turkmenistan,TFN,0.0,0.0,0.0
Turks and Caicos Islands,TFR,0.0,0.0,0.0
Uganda,TFR,0.0,0.0,0.0
Ukraine,TFR,840.0,0.0,420.0
United Arab Emirates,THSN,1466.0,6205.0,3835.5
United States of America,TFR,303980.0,331905.0,317942.5
United States Virgin Islands,THSN,2.0,2.0,2.0
Uruguay,VFN,19102.0,0.0,9551.0
Uzbekistan,VFR,31.0,0.0,15.5
"Venezuela, Bolivarian Republic of",TFN,0.0,0.0,0.0
