Destination,SERIES,2018,2019,Average
Albania,VFN,1777.0,1651.0,1714.0
American Samoa,TFN,0.0,0.0,0.0
Angola,TFR,3095.0,4096.0,3595.5
Antigua and Barbuda,TFR,166.0,0.0,83.0
Argentina,TFR,2828.0,0.0,1414.0
Armenia,TFR,20363.0,0.0,10181.5
Australia,VFR,143740.0,0.0,71870.0
Azerbaijan,VFR,3693.0,4605.0,4149.0
Bahamas,TFR,2566.0,1713.0,2139.5
Bangladesh,TFN,0.0,0.0,0.0
Barbados,TFR,475.0,0.0,237.5
Belarus,VFN,245.0,527.0,386.0
Belgium,TCER,6755.0,0.0,3377.5
Benin,TFR,19.0,0.0,9.5
Bhutan,TFN,476.0,689.0,582.5
Botswana,TFR,249.0,0.0,124.5
Brazil,TFR,5627.0,6718.0,6172.5
British Virgin Islands,TFR,0.0,0.0,0.0
Brunei Darussalam,TFN,22319.0,24584.0,23451.5
Bulgaria,TCER,2701.0,2328.0,2514.5
Cambodia,TFR,92451.0,0.0,46225.5
Canada,TFR,80689.0,0.0,40344.5
Cayman Islands,TFR,139.0,0.0,69.5
Chile,TFN,678.0,867.0,772.5
China,VFN,1202966.0,0.0,601483.0
Colombia,TFR,3604.0,0.0,1802.0
Congo,THSR,1355.0,0.0,677.5
"Congo, Democratic Republic of the",TFR,0.0,0.0,0.0
Cook Islands,TFR,118.0,177.0,147.5
Costa Rica,TFN,2461.0,2631.0,2546.0
Cuba,VFR,73864.0,0.0,36932.0
Dominica,TFR,51.0,0.0,25.5
Ecuador,VFR,15181.0,0.0,7590.5
Egypt,VFN,47974.0,0.0,23987.0
El Salvador,TFN,226.0,300.0,263.0
Eritrea,VFN,0.0,0.0,0.0
Ethiopia,TFR,2576.0,0.0,1288.0
Finland,TCER,5212.0,7412.0,6312.0
French Polynesia,TFR,201.0,238.0,219.5
Grenada,TFN,76.0,1.0,38.5
Guam,TFR,19923.0,20879.0,20401.0
Guinea,TFR,0.0,0.0,0.0
Guinea-Bissau,TFN,0.0,0.0,0.0
Guyana,TFR,0.0,0.0,0.0
Honduras,TFN,0.0,0.0,0.0
"Hong Kong, China",TFR,764536.0,729981.0,747258.5
India,TFN,53473.0,0.0,26736.5
Indonesia,VFN,217874.0,260980.0,239427.0
"Iran, Islamic Republic of",VFN,3840.0,0.0,1920.0
Iraq,VFN,0.0,0.0,0.0
Israel,TFR,28623.0,0.0,14311.5
Italy,TFN,18162.0,16837.0,17499.5
Jamaica,TFR,343.0,301.0,322.0
Japan,VFN,503976.0,613114.0,558545.0
Jordan,TFN,10798.0,0.0,5399.0
Kazakhstan,VFR,1011.0,1656.0,1333.5
"Korea, Republic of",VFN,460168.0,503867.0,482017.5
Kuwait,VFN,203566.0,0.0,101783.0
Lao People's Democratic Republic,VFN,10826.0,17187.0,14006.5
Latvia,TCER,558.0,544.0,551.0
Lebanon,TFN,32321.0,31265.0,31793.0
Libya,VFN,0.0,0.0,0.0
"Macao, China",THSR,52876.0,65806.0,59341.0
Madagascar,TFN,307.0,0.0,153.5
Malaysia,TFN,396062.0,421908.0,408985.0
Maldives,TFN,11035.0,0.0,5517.5
Mali,TFR,256.0,0.0,128.0
Marshall Islands,TFR,0.0,0.0,0.0
Mauritius,TFR,2872.0,3299.0,3085.5
Mexico,TFR,8027.0,0.0,4013.5
"Micronesia, Federated States of",TFR,0.0,0.0,0.0
Mongolia,TFN,1169.0,1204.0,1186.5
Morocco,TFN,14629.0,0.0,7314.5
Myanmar,TFN,16748.0,17398.0,17073.0
Nepal,TFN,0.0,0.0,0.0
New Zealand,VFR,28822.0,27505.0,28163.5
Nicaragua,TFN,1168.0,710.0,939.0
Nigeria,VFN,0.0,0.0,0.0
Northern Mariana Islands,VFN,736.0,0.0,368.0
Oman,VFR,1092.0,0.0,546.0
Pakistan,TFN,0.0,0.0,0.0
Palau,TFN,1033.0,0.0,516.5
Panama,VFR,6905.0,0.0,3452.5
Papua New Guinea,VFR,13943.0,19075.0,16509.0
Paraguay,TFN,33.0,0.0,16.5
Peru,TFR,3405.0,0.0,1702.5
Poland,TCER,3890.0,0.0,1945.0
Portugal,TCER,0.0,0.0,0.0
Russian Federation,VFN,0.0,0.0,0.0
Rwanda,VFN,0.0,0.0,0.0
San Marino,VFN,440.0,0.0,220.0
Sao Tome and Principe,TFN,0.0,0.0,0.0
Saudi Arabia,TFN,59171.0,41709.0,50440.0
Seychelles,TFR,603.0,825.0,714.0
Sierra Leone,TFR,102.0,0.0,51.0
Singapore,VFR,778141.0,829325.0,803733.0
South Africa,TFR,7610.0,7802.0,7706.0
Spain,TFR,86266.83431745291,88991.45293860821,87629.14362803056
Sri Lanka,TFR,19303.0,14590.0,16946.5
