Destination,SERIES,2018,2019,Average
Albania,VFN,5588.0,6312.0,5950.0
Algeria,VFN,9091.0,6380.0,7735.5
American Samoa,TFN,0.0,0.0,0.0
Angola,TFR,59709.0,65701.0,62705.0
Antigua and Barbuda,TFR,159.0,0.0,79.5
Argentina,TFR,16109.0,0.0,8054.5
Armenia,TFR,1363.0,0.0,681.5
Aruba,TFR,403.0,0.0,201.5
Australia,VFR,7580.0,0.0,3790.0
Austria,TCER,51353.0,60430.0,55891.5
Azerbaijan,VFR,1323.0,1760.0,1541.5
Bahamas,TFR,1130.0,1148.0,1139.0
Bangladesh,TFN,0.0,0.0,0.0
Barbados,TFR,309.0,0.0,154.5
Belarus,VFN,2614.0,2038.0,2326.0
Belgium,TCER,67755.0,0.0,33877.5
Benin,TFR,600.0,0.0,300.0
Bhutan,TFN,322.0,385.0,353.5
Bonaire,TFR,0.0,0.0,0.0
Bosnia and Herzegovina,TCER,2981.0,0.0,1490.5
Botswana,TFR,1616.0,0.0,808.0
Brazil,TFR,145816.0,176229.0,161022.5
British Virgin Islands,TFR,0.0,0.0,0.0
Brunei Darussalam,TFN,325.0,387.0,356.0
Bulgaria,TCER,13095.0,13080.0,13087.5
Cabo Verde,THSR,70974.0,80012.0,75493.0
Cambodia,TFR,7164.0,0.0,3582.0
Canada,TFR,29970.0,0.0,14985.0
Cayman Islands,TFR,107.0,0.0,53.5
Chile,TFN,8686.0,9278.0,8982.0
China,VFN,56314.0,0.0,28157.0
Colombia,TFR,8930.0,0.0,4465.0
"Congo, Democratic Republic of the",TFR,0.0,0.0,0.0
Costa Rica,TFN,5808.0,5953.0,5880.5
Croatia,TCER,55065.0,64411.0,59738.0
Cuba,VFR,31798.0,0.0,15899.0
Curaçao,TFR,664.0,0.0,332.0
Cyprus,TFR,0.0,0.0,0.0
Czech Republic,TCEN,41177.0,43217.0,42197.0
Denmark,TCER,24081.0,26299.0,25190.0
Dominica,TFR,38.0,0.0,19.0
Dominican Republic,TFR,40545.0,35766.0,38155.5
Ecuador,VFR,2271.0,0.0,1135.5
Egypt,VFN,11006.0,0.0,5503.0
El Salvador,TFN,593.0,1552.0,1072.5
Estonia,TCER,5109.0,0.0,2554.5
Eswatini,THSR,0.0,0.0,0.0
Finland,TCER,13256.0,14883.0,14069.5
France,TFR,1350787.0,0.0,675393.5
French Polynesia,TFR,267.0,316.0,291.5
Georgia,THSR,805.0,0.0,402.5
Germany,TCER,195302.0,207003.0,201152.5
Greece,TFR,0.0,0.0,0.0
Grenada,TFN,36.0,45.0,40.5
Guinea,TFR,0.0,0.0,0.0
Guinea-Bissau,TFN,0.0,0.0,0.0
Guyana,TFR,52.0,100.0,76.0
Honduras,TFN,0.0,0.0,0.0
"Hong Kong, China",TFR,16252.0,14055.0,15153.5
India,TFN,74492.0,0.0,37246.0
Indonesia,VFN,36804.0,35434.0,36119.0
"Iran, Islamic Republic of",VFN,1802.0,0.0,901.0
Iraq,VFN,0.0,0.0,0.0
Ireland,TFR,0.0,0.0,0.0
Israel,TFR,13179.0,0.0,6589.5
Italy,TFN,348738.0,304284.0,326511.0
Jamaica,TFR,3373.0,3604.0,3488.5
Japan,VFN,26506.0,32349.0,29427.5
Jordan,TFN,2492.0,0.0,1246.0
Kazakhstan,VFR,1321.0,1292.0,1306.5
Kenya,VFR,0.0,0.0,0.0
"Korea, Republic of",VFN,10794.0,11425.0,11109.5
Kuwait,VFN,4640.0,0.0,2320.0
Latvia,TCER,6028.0,6173.0,6100.5
Lebanon,TFN,2754.0,2602.0,2678.0
Libya,VFN,0.0,0.0,0.0
Liechtenstein,TCER,299.0,306.0,302.5
Lithuania,TFR,7700.0,0.0,3850.0
Luxembourg,TCER,10405.0,0.0,5202.5
"Macao, China",THSR,10026.0,12454.0,11240.0
Madagascar,TFN,447.0,0.0,223.5
Malaysia,TFN,12236.0,12185.0,12210.5
Maldives,TFN,8342.0,0.0,4171.0
Mali,TFR,528.0,0.0,264.0
Malta,TFR,21782.0,35374.0,28578.0
Mauritius,TFR,4912.0,5236.0,5074.0
Mexico,TFR,37453.0,0.0,18726.5
"Moldova, Republic of",TCEN,477.0,682.0,579.5
Monaco,THSN,1476.0,1903.0,1689.5
Mongolia,TFN,406.0,541.0,473.5
Montenegro,TCEN,2944.0,0.0,1472.0
Morocco,TFN,102633.0,0.0,51316.5
Mozambique,VFR,57007.0,78784.0,67895.5
Namibia,TFN,8352.0,11273.0,9812.5
Nepal,TFN,0.0,0.0,0.0
New Zealand,VFR,2210.0,2346.0,2278.0
Nicaragua,TFN,872.0,617.0,744.5
Nigeria,VFN,0.0,0.0,0.0
North Macedonia,TCEN,1580.0,2179.0,1879.5
Northern Mariana Islands,VFN,0.0,0.0,0.0
Norway,TCER,18913.0,22473.0,20693.0
Oman,VFR,2115.0,0.0,1057.5
Pakistan,TFN,0.0,0.0,0.0
Palau,TFN,54.0,0.0,27.0
Panama,VFR,6597.0,0.0,3298.5
Paraguay,TFN,950.0,0.0,475.0
Peru,TFR,8838.0,0.0,4419.0
Philippines,TFR,5549.0,8113.0,6831.0
Poland,TCER,30306.0,0.0,15153.0
Reunion,TFR,0.0,0.0,0.0
Romania,TCER,19914.0,18087.0,19000.5
Russian Federation,VFN,19750.0,0.0,9875.0
Rwanda,VFN,0.0,0.0,0.0
Saint Kitts and Nevis,TFR,0.0,0.0,0.0
San Marino,VFN,1603.0,0.0,801.5
Sao Tome and Principe,TFN,0.0,0.0,0.0
Saudi Arabia,TFN,4219.0,6787.0,5503.0
Senegal,THSN,0.0,0.0,0.0
Serbia,TCEN,4228.0,5655.0,4941.5
Seychelles,TFR,1189.0,1445.0,1317.0
Sierra Leone,TFR,346.0,0.0,173.0
Singapore,VFR,0.0,0.0,0.0
Slovakia,TCEN,6437.0,7806.0,7121.5
Slovenia,TCEN,14417.0,16286.0,15351.5
South Africa,TFR,31754.0,29737.0,30745.5
Spain,TFR,2344322.3231499293,2428789.6431527687,2386555.9831513492
Sri Lanka,TFR,5933.0,5193.0,5563.0
Suriname,TFR,0.0,0.0,0.0
Sweden,TCER,18854.0,0.0,9427.0
Switzerland,TCER,66570.0,67395.0,66982.5
Tajikistan,VFR,114.0,0.0,57.0
"Tanzania, United Republic of",VFR,4969.0,0.0,2484.5
Thailand,TFR,0.0,0.0,0.0
Timor-Leste,TFR,7719.0,6559.0,7139.0
Togo,THSR,1270.0,1928.0,1599.0
Trinidad and Tobago,TFN,304.0,409.0,356.5
Tunisia,TFN,26309.0,28157.0,27233.0
Turkey,TFN,37541.0,0.0,18770.5
Turkmenistan,TFN,0.0,0.0,0.0
Turks and Caicos Islands,TFR,0.0,0.0,0.0
Uganda,TFR,0.0,0.0,0.0
Ukraine,TFR,21699.0,0.0,10849.5
United Arab Emirates,THSN,12370.0,33200.0,22785.0
United Kingdom,VFR,452923.0,612689.0,532806.0
United States of America,TFR,147012.0,155287.0,151149.5
United States Virgin Islands,THSN,2.0,4.0,3.0
Uruguay,VFN,3323.0,0.0,1661.5
Uzbekistan,VFR,633.0,0.0,316.5
"Venezuela, Bolivarian Republic of",TFN,0.0,0.0,0.0
Viet Nam,VFR,0.0,0.0,0.0
Zambia,TFR,0.0,0.0,0.0
Zimbabwe,VFR,6161.0,0.0,3080.5
