Destination,SERIES,2018,2019,Average
Angola,TFR,1.0,0.0,0.5
Anguilla,TFR,219.0,384.0,301.5
Antigua and Barbuda,TFR,792.0,0.0,396.0
Armenia,TFR,0.0,0.0,0.0
Aruba,TFR,80.0,0.0,40.0
Australia,VFR,380.0,0.0,190.0
Azerbaijan,VFR,0.0,0.0,0.0
Bahamas,TFR,1032.0,1365.0,1198.5
Barbados,TFR,403.0,0.0,201.5
Belarus,VFN,0.0,12.0,6.0
Belgium,TCER,499.0,0.0,249.5
Bonaire,TFR,0.0,0.0,0.0
Botswana,TFR,0.0,0.0,0.0
Brazil,TFR,0.0,0.0,0.0
British Virgin Islands,TFR,0.0,0.0,0.0
Canada,TFR,4590.0,0.0,2295.0
Cayman Islands,TFR,47.0,0.0,23.5
Chile,TFN,36.0,30.0,33.0
China,VFN,4.0,0.0,2.0
Colombia,TFR,7939.0,0.0,3969.5
Costa Rica,TFN,7.0,5.0,6.0
Cuba,VFR,0.0,0.0,0.0
Curaçao,TFR,361.0,0.0,180.5
Dominica,TFR,257.0,0.0,128.5
Dominican Republic,TFR,108643.0,114068.0,111355.5
Ecuador,VFR,2117.0,0.0,1058.5
Finland,TCER,169.0,241.0,205.0
Grenada,TFN,132.0,65.0,98.5
Guinea,TFR,0.0,0.0,0.0
Guyana,TFR,123.0,162.0,142.5
Haiti,TFR,0.0,36.0,18.0
Honduras,TFN,0.0,0.0,0.0
India,TFN,0.0,0.0,0.0
Israel,TFR,0.0,0.0,0.0
Italy,TFN,5453.0,3711.0,4582.0
Jamaica,TFR,1494.0,1502.0,1498.0
Jordan,TFN,2.0,0.0,1.0
Kazakhstan,VFR,4.0,9.0,6.5
"Korea, Republic of",VFN,0.0,0.0,0.0
Kuwait,VFN,0.0,0.0,0.0
Lebanon,TFN,0.0,3.0,1.5
Malaysia,TFN,0.0,0.0,0.0
Mali,TFR,11.0,0.0,5.5
Mauritius,TFR,1.0,0.0,0.5
Mongolia,TFN,0.0,0.0,0.0
Morocco,TFN,219.0,0.0,109.5
New Zealand,VFR,141.0,212.0,176.5
Nicaragua,TFN,0.0,0.0,0.0
Pakistan,TFN,0.0,0.0,0.0
Panama,VFR,840.0,0.0,420.0
Paraguay,TFN,10.0,0.0,5.0
Peru,TFR,861.0,0.0,430.5
Poland,TCER,608.0,0.0,304.0
Russian Federation,VFN,0.0,0.0,0.0
Saint Kitts and Nevis,TFR,0.0,0.0,0.0
Saint Lucia,TFR,172.0,0.0,86.0
San Marino,VFN,0.0,0.0,0.0
Saudi Arabia,TFN,1.0,0.0,0.5
Seychelles,TFR,9.0,2.0,5.5
South Africa,TFR,0.0,0.0,0.0
Suriname,TFR,0.0,0.0,0.0
Thailand,TFR,0.0,0.0,0.0
Togo,THSR,13.0,120.0,66.5
Turks and Caicos Islands,TFR,0.0,0.0,0.0
Uganda,TFR,0.0,0.0,0.0
Ukraine,TFR,0.0,0.0,0.0
United Arab Emirates,THSN,28.0,0.0,14.0
United States Virgin Islands,THSN,23686.0,22683.0,23184.5
"Venezuela, Bolivarian Republic of",TFN,0.0,0.0,0.0
