Destination,SERIES,2018,2019,Average
Angola,TFR,0.0,0.0,0.0
Antigua and Barbuda,TFR,1.0,0.0,0.5
Armenia,TFR,219.0,0.0,109.5
Australia,VFR,6680.0,0.0,3340.0
Azerbaijan,VFR,12459.0,10472.0,11465.5
Bahamas,TFR,93.0,69.0,81.0
Bangladesh,TFN,0.0,0.0,0.0
Barbados,TFR,19.0,0.0,9.5
Belarus,VFN,283.0,621.0,452.0
Belgium,TCER,3964.0,0.0,1982.0
Benin,TFR,200.0,0.0,100.0
Bhutan,TFN,5.0,9.0,7.0
Bosnia and Herzegovina,TCER,3880.0,0.0,1940.0
Botswana,TFR,36.0,0.0,18.0
British Virgin Islands,TFR,0.0,0.0,0.0
Brunei Darussalam,TFN,29.0,41.0,35.0
Bulgaria,TCER,647.0,418.0,532.5
Cambodia,TFR,117.0,0.0,58.5
Canada,TFR,6178.0,0.0,3089.0
Cayman Islands,TFR,31.0,0.0,15.5
Chile,TFN,12.0,16.0,14.0
China,VFN,3451.0,0.0,1725.5
Colombia,TFR,87.0,0.0,43.5
"Congo, Democratic Republic of the",TFR,0.0,0.0,0.0
Costa Rica,TFN,32.0,31.0,31.5
Cuba,VFR,0.0,0.0,0.0
Dominica,TFR,2.0,0.0,1.0
Ecuador,VFR,341.0,0.0,170.5
Egypt,VFN,4701.0,0.0,2350.5
Finland,TCER,2343.0,2676.0,2509.5
Guinea,TFR,0.0,0.0,0.0
Honduras,TFN,0.0,0.0,0.0
India,TFN,7353.0,0.0,3676.5
Indonesia,VFN,2104.0,1989.0,2046.5
"Iran, Islamic Republic of",VFN,4876.0,0.0,2438.0
Israel,TFR,90.0,0.0,45.0
Italy,TFN,12980.0,26739.0,19859.5
Japan,VFN,2343.0,3019.0,2681.0
Jordan,TFN,23585.0,0.0,11792.5
Kazakhstan,VFR,270.0,302.0,286.0
"Korea, Republic of",VFN,1855.0,2155.0,2005.0
Kuwait,VFN,130810.0,0.0,65405.0
Latvia,TCER,75.0,159.0,117.0
Lebanon,TFN,12256.0,15317.0,13786.5
Libya,VFN,0.0,0.0,0.0
Madagascar,TFN,0.0,0.0,0.0
Malaysia,TFN,4428.0,4089.0,4258.5
Maldives,TFN,3087.0,0.0,1543.5
Mali,TFR,124.0,0.0,62.0
Malta,TFR,0.0,0.0,0.0
Mauritius,TFR,250.0,360.0,305.0
Mexico,TFR,1985.0,0.0,992.5
Mongolia,TFN,418.0,864.0,641.0
Morocco,TFN,8123.0,0.0,4061.5
Nepal,TFN,0.0,0.0,0.0
New Zealand,VFR,1839.0,1834.0,1836.5
Nicaragua,TFN,1.0,1.0,1.0
Norway,TCER,5523.0,7509.0,6516.0
Oman,VFR,65484.0,0.0,32742.0
Pakistan,TFN,0.0,0.0,0.0
Panama,VFR,27.0,0.0,13.5
Paraguay,TFN,19.0,0.0,9.5
Philippines,TFR,3781.0,2491.0,3136.0
Poland,TCER,1663.0,0.0,831.5
Russian Federation,VFN,0.0,0.0,0.0
Rwanda,VFN,0.0,0.0,0.0
San Marino,VFN,0.0,0.0,0.0
Saudi Arabia,TFN,119287.0,38896.0,79091.5
Seychelles,TFR,3935.0,4298.0,4116.5
Sierra Leone,TFR,56.0,0.0,28.0
South Africa,TFR,500.0,835.0,667.5
Sri Lanka,TFR,1676.0,1063.0,1369.5
Suriname,TFR,0.0,0.0,0.0
Syrian Arab Republic,VFN,98.0,175.0,136.5
"Tanzania, United Republic of",VFR,463.0,0.0,231.5
Thailand,TFR,0.0,0.0,0.0
Trinidad and Tobago,TFN,2.0,2.0,2.0
Tunisia,TFN,1250.0,1454.0,1352.0
Turkey,TFN,96321.0,0.0,48160.5
Turkmenistan,TFN,0.0,0.0,0.0
Uganda,TFR,0.0,0.0,0.0
Ukraine,TFR,733.0,0.0,366.5
United Arab Emirates,THSN,1823.0,2374.0,2098.5
United Kingdom,VFR,148718.0,175057.0,161887.5
United States of America,TFR,32086.0,33146.0,32616.0
Uzbekistan,VFR,160.0,0.0,80.0
Yemen,TFN,0.0,0.0,0.0
