Destination,SERIES,2018,2019,Average
Antigua and Barbuda,TFR,0.0,0.0,0.0
Australia,VFR,2320.0,0.0,1160.0
Azerbaijan,VFR,1.0,1.0,1.0
Belarus,VFN,0.0,7.0,3.5
Belgium,TCER,2538.0,0.0,1269.0
Botswana,TFR,0.0,0.0,0.0
Canada,TFR,110.0,0.0,55.0
Cayman Islands,TFR,0.0,0.0,0.0
Colombia,TFR,0.0,0.0,0.0
Comoros,TFN,3785.0,3411.0,3598.0
"Congo, Democratic Republic of the",TFR,0.0,0.0,0.0
Costa Rica,TFN,0.0,0.0,0.0
Dominica,TFR,0.0,0.0,0.0
Ecuador,VFR,10.0,0.0,5.0
Finland,TCER,37.0,51.0,44.0
Guinea,TFR,0.0,0.0,0.0
India,TFN,6.0,0.0,3.0
Israel,TFR,0.0,0.0,0.0
Italy,TFN,0.0,27.0,13.5
Kazakhstan,VFR,33.0,39.0,36.0
"Korea, Republic of",VFN,0.0,0.0,0.0
Madagascar,TFN,0.0,0.0,0.0
Malaysia,TFN,0.0,0.0,0.0
Maldives,TFN,0.0,0.0,0.0
Mali,TFR,0.0,0.0,0.0
Mauritius,TFR,138439.0,137570.0,138004.5
Mexico,TFR,3016.0,0.0,1508.0
Mongolia,TFN,1.0,0.0,0.5
Morocco,TFN,7.0,0.0,3.5
New Caledonia,TFR,1178.0,777.0,977.5
New Zealand,VFR,348.0,211.0,279.5
Pakistan,TFN,0.0,0.0,0.0
Panama,VFR,0.0,0.0,0.0
Poland,TCER,0.0,0.0,0.0
Rwanda,VFN,0.0,0.0,0.0
Saudi Arabia,TFN,0.0,0.0,0.0
Seychelles,TFR,6203.0,5791.0,5997.0
South Africa,TFR,24.0,13.0,18.5
Suriname,TFR,0.0,0.0,0.0
Thailand,TFR,0.0,0.0,0.0
Togo,THSR,32.0,0.0,16.0
Trinidad and Tobago,TFN,0.0,0.0,0.0
Uganda,TFR,0.0,0.0,0.0
Ukraine,TFR,0.0,0.0,0.0
United Arab Emirates,THSN,61.0,123.0,92.0
United States of America,TFR,1508.0,2004.0,1756.0
