Destination,SERIES,2018,2019,Average
Albania,VFN,29342.0,34362.0,31852.0
Angola,TFR,588.0,694.0,641.0
Antigua and Barbuda,TFR,150.0,0.0,75.0
Argentina,TFR,5691.0,0.0,2845.5
Armenia,TFR,1721.0,0.0,860.5
Australia,VFR,2750.0,0.0,1375.0
Austria,TCER,339869.0,371559.0,355714.0
Azerbaijan,VFR,1601.0,2642.0,2121.5
Bahamas,TFR,2411.0,1672.0,2041.5
Bangladesh,TFN,0.0,0.0,0.0
Barbados,TFR,352.0,0.0,176.0
Belarus,VFN,2130.0,2815.0,2472.5
Belgium,TCER,68795.0,0.0,34397.5
Bhutan,TFN,94.0,106.0,100.0
Bosnia and Herzegovina,TCER,6508.0,0.0,3254.0
Botswana,TFR,249.0,0.0,124.5
Brazil,TFR,5927.0,9749.0,7838.0
British Virgin Islands,TFR,0.0,0.0,0.0
Bulgaria,TCER,502204.0,650822.0,576513.0
Cambodia,TFR,3866.0,0.0,1933.0
Canada,TFR,22194.0,0.0,11097.0
Cayman Islands,TFR,46.0,0.0,23.0
Chile,TFN,2115.0,2481.0,2298.0
China,VFN,45630.0,0.0,22815.0
Colombia,TFR,2316.0,0.0,1158.0
"Congo, Democratic Republic of the",TFR,0.0,0.0,0.0
Costa Rica,TFN,2032.0,2091.0,2061.5
Croatia,TCER,113652.0,123806.0,118729.0
Cuba,VFR,0.0,0.0,0.0
Cyprus,TFR,66969.0,0.0,33484.5
Czech Republic,TCEN,90798.0,97357.0,94077.5
Dominica,TFR,41.0,0.0,20.5
Dominican Republic,TFR,5248.0,7760.0,6504.0
Ecuador,VFR,1122.0,0.0,561.0
Egypt,VFN,66457.0,0.0,33228.5
El Salvador,TFN,102.0,89.0,95.5
Estonia,TCER,4426.0,0.0,2213.0
Finland,TCER,9243.0,10248.0,9745.5
Georgia,THSR,3678.0,0.0,1839.0
Germany,TCER,338150.0,347189.0,342669.5
Greece,TFR,1389398.0,1378128.0,1383763.0
Grenada,TFN,30.0,47.0,38.5
Guinea,TFR,0.0,0.0,0.0
Guinea-Bissau,TFN,0.0,0.0,0.0
Guyana,TFR,97.0,196.0,146.5
Honduras,TFN,0.0,0.0,0.0
Hungary,TFN,2369980.0,1570879.0,1970429.5
India,TFN,12920.0,0.0,6460.0
Indonesia,VFN,14092.0,18650.0,16371.0
"Iran, Islamic Republic of",VFN,1458.0,0.0,729.0
Iraq,VFN,0.0,0.0,0.0
Israel,TFR,106887.0,0.0,53443.5
Italy,TFN,1013923.0,1309499.0,1161711.0
Japan,VFN,12250.0,14837.0,13543.5
Jordan,TFN,11639.0,0.0,5819.5
Kazakhstan,VFR,1840.0,1879.0,1859.5
"Korea, Republic of",VFN,11372.0,12781.0,12076.5
Kuwait,VFN,8097.0,0.0,4048.5
Latvia,TCER,6067.0,6222.0,6144.5
Lebanon,TFN,8587.0,8364.0,8475.5
Libya,VFN,0.0,0.0,0.0
Liechtenstein,TCER,338.0,243.0,290.5
Luxembourg,TCER,4128.0,0.0,2064.0
Madagascar,TFN,198.0,0.0,99.0
Malaysia,TFN,8465.0,9506.0,8985.5
Maldives,TFN,8520.0,0.0,4260.0
Mali,TFR,243.0,0.0,121.5
Malta,TFR,32709.0,32969.0,32839.0
Mauritius,TFR,4368.0,4817.0,4592.5
Mexico,TFR,10120.0,0.0,5060.0
"Moldova, Republic of",TCEN,44903.0,47031.0,45967.0
Mongolia,TFN,304.0,370.0,337.0
Montenegro,TCEN,21576.0,0.0,10788.0
Morocco,TFN,26429.0,0.0,13214.5
Nepal,TFN,0.0,0.0,0.0
New Zealand,VFR,1599.0,1705.0,1652.0
Nicaragua,TFN,282.0,245.0,263.5
Nigeria,VFN,0.0,0.0,0.0
North Macedonia,TCEN,16727.0,18984.0,17855.5
Norway,TCER,22284.0,24561.0,23422.5
Oman,VFR,2115.0,0.0,1057.5
Pakistan,TFN,0.0,0.0,0.0
Panama,VFR,1955.0,0.0,977.5
Paraguay,TFN,263.0,0.0,131.5
Peru,TFR,3336.0,0.0,1668.0
Poland,TCER,50141.0,0.0,25070.5
