Destination,SERIES,2018,2019,Average
Albania,VFN,24915.0,34146.0,29530.5
American Samoa,TFN,0.0,0.0,0.0
Angola,TFR,4035.0,3149.0,3592.0
Antigua and Barbuda,TFR,418.0,0.0,209.0
Argentina,TFR,15711.0,0.0,7855.5
Aruba,TFR,594.0,0.0,297.0
Australia,VFR,16270.0,0.0,8135.0
Austria,TCER,349565.0,364825.0,357195.0
Azerbaijan,VFR,878391.0,932198.0,905294.5
Bahamas,TFR,2007.0,1931.0,1969.0
Bangladesh,TFN,0.0,0.0,0.0
Barbados,TFR,803.0,0.0,401.5
Belarus,VFN,6971053.0,7098942.0,7034997.5
Belgium,TCER,97633.0,0.0,48816.5
Bhutan,TFN,482.0,503.0,492.5
Bosnia and Herzegovina,TCER,5680.0,0.0,2840.0
Botswana,TFR,1472.0,0.0,736.0
Brazil,TFR,19224.0,24931.0,22077.5
British Virgin Islands,TFR,0.0,0.0,0.0
Brunei Darussalam,TFN,615.0,810.0,712.5
Bulgaria,TCER,181948.0,165085.0,173516.5
Cambodia,TFR,64726.0,0.0,32363.0
Cameroon,THSN,9832.0,0.0,4916.0
Canada,TFR,22752.0,0.0,11376.0
Cayman Islands,TFR,67.0,0.0,33.5
Chile,TFN,7621.0,9450.0,8535.5
China,VFN,2414301.0,0.0,1207150.5
Colombia,TFR,5202.0,0.0,2601.0
Congo,THSR,199.0,0.0,99.5
"Congo, Democratic Republic of the",TFR,0.0,0.0,0.0
Costa Rica,TFN,4765.0,5562.0,5163.5
Croatia,TCER,122691.0,139147.0,130919.0
Cuba,VFR,189813.0,0.0,94906.5
Cyprus,TFR,783631.0,0.0,391815.5
Czech Republic,TCEN,544216.0,564083.0,554149.5
Denmark,TCER,47899.0,44531.0,46215.0
Dominica,TFR,78.0,0.0,39.0
Dominican Republic,TFR,218941.0,208959.0,213950.0
Ecuador,VFR,5604.0,0.0,2802.0
Egypt,VFN,145642.0,0.0,72821.0
El Salvador,TFN,600.0,273.0,436.5
Estonia,TCER,247251.0,0.0,123625.5
Ethiopia,TFR,2962.0,0.0,1481.0
Fiji,TFR,863.0,1116.0,989.5
Finland,TCER,377633.0,387415.0,382524.0
French Polynesia,TFR,526.0,486.0,506.0
Georgia,THSR,516409.0,0.0,258204.5
Germany,TCER,789263.0,846405.0,817834.0
Greece,TFR,520182.0,582878.0,551530.0
Grenada,TFN,181.0,191.0,186.0
