Destination,SERIES,2018,2019,Average
Albania,VFN,9.0,63.0,36.0
Angola,TFR,112.0,341.0,226.5
Antigua and Barbuda,TFR,5.0,0.0,2.5
Australia,VFR,490.0,0.0,245.0
Azerbaijan,VFR,15.0,46.0,30.5
Bahamas,TFR,6.0,8.0,7.0
Bangladesh,TFN,0.0,0.0,0.0
Barbados,TFR,6.0,0.0,3.0
Belarus,VFN,34.0,115.0,74.5
Belgium,TCER,1142.0,0.0,571.0
Benin,TFR,661.0,0.0,330.5
Bhutan,TFN,0.0,1.0,0.5
Botswana,TFR,117.0,0.0,58.5
Bulgaria,TCER,29.0,12.0,20.5
Canada,TFR,1209.0,0.0,604.5
Cayman Islands,TFR,0.0,0.0,0.0
Central African Republic,TFN,0.0,0.0,0.0
China,VFN,5427.0,0.0,2713.5
Colombia,TFR,23.0,0.0,11.5
"Congo, Democratic Republic of the",TFR,0.0,0.0,0.0
Costa Rica,TFN,31.0,30.0,30.5
Dominica,TFR,0.0,0.0,0.0
Ecuador,VFR,26.0,0.0,13.0
Egypt,VFN,678.0,0.0,339.0
Ethiopia,TFR,6627.0,0.0,3313.5
Finland,TCER,45.0,41.0,43.0
Guinea,TFR,0.0,0.0,0.0
India,TFN,3439.0,0.0,1719.5
Indonesia,VFN,153.0,151.0,152.0
Israel,TFR,493.0,0.0,246.5
Italy,TFN,209.0,14.0,111.5
Japan,VFN,233.0,472.0,352.5
Jordan,TFN,33.0,0.0,16.5
Kazakhstan,VFR,15.0,10.0,12.5
"Korea, Republic of",VFN,478.0,489.0,483.5
Kuwait,VFN,170.0,0.0,85.0
Lebanon,TFN,112.0,102.0,107.0
Libya,VFN,0.0,0.0,0.0
Madagascar,TFN,140.0,0.0,70.0
Malaysia,TFN,124.0,104.0,114.0
Maldives,TFN,10.0,0.0,5.0
Mali,TFR,560.0,0.0,280.0
Malta,TFR,0.0,0.0,0.0
Mauritius,TFR,217.0,297.0,257.0
Mexico,TFR,53.0,0.0,26.5
Mongolia,TFN,2.0,1.0,1.5
Morocco,TFN,455.0,0.0,227.5
New Zealand,VFR,12.0,38.0,25.0
Nicaragua,TFN,0.0,1.0,0.5
Nigeria,VFN,0.0,0.0,0.0
Pakistan,TFN,0.0,0.0,0.0
Panama,VFR,8.0,0.0,4.0
Paraguay,TFN,2.0,0.0,1.0
Poland,TCER,212.0,0.0,106.0
Russian Federation,VFN,0.0,0.0,0.0
Saudi Arabia,TFN,179.0,81.0,130.0
Seychelles,TFR,268.0,225.0,246.5
Sierra Leone,TFR,24.0,0.0,12.0
South Africa,TFR,1068.0,1159.0,1113.5
Sri Lanka,TFR,18.0,25.0,21.5
Suriname,TFR,0.0,0.0,0.0
"Tanzania, United Republic of",VFR,61231.0,0.0,30615.5
Thailand,TFR,0.0,0.0,0.0
Togo,THSR,1025.0,1988.0,1506.5
Trinidad and Tobago,TFN,8.0,13.0,10.5
Turkey,TFN,675.0,0.0,337.5
Uganda,TFR,0.0,0.0,0.0
Ukraine,TFR,61.0,0.0,30.5
United Arab Emirates,THSN,913.0,3053.0,1983.0
United States of America,TFR,5542.0,6197.0,5869.5
Uzbekistan,VFR,8.0,0.0,4.0
"Venezuela, Bolivarian Republic of",TFN,0.0,0.0,0.0
