Destination,SERIES,2018,2019,Average
Antigua and Barbuda,TFR,2252.0,0.0,1126.0
Australia,VFR,30.0,0.0,15.0
Azerbaijan,VFR,53.0,55.0,54.0
Bahamas,TFR,128.0,125.0,126.5
Barbados,TFR,3242.0,0.0,1621.0
Belarus,VFN,8.0,29.0,18.5
Belgium,TCER,68.0,0.0,34.0
Bhutan,TFN,5.0,4.0,4.5
Botswana,TFR,17.0,0.0,8.5
British Virgin Islands,TFR,0.0,0.0,0.0
Canada,TFR,893.0,0.0,446.5
Cayman Islands,TFR,51.0,0.0,25.5
China,VFN,889.0,0.0,444.5
Colombia,TFR,104.0,0.0,52.0
Costa Rica,TFN,98.0,94.0,96.0
Dominica,TFR,451.0,0.0,225.5
Ecuador,VFR,20.0,0.0,10.0
Finland,TCER,24.0,23.0,23.5
Grenada,TFN,300.0,334.0,317.0
Guyana,TFR,614.0,572.0,593.0
India,TFN,359.0,0.0,179.5
Indonesia,VFN,175.0,243.0,209.0
Israel,TFR,89.0,0.0,44.5
Jamaica,TFR,1118.0,1183.0,1150.5
Japan,VFN,194.0,200.0,197.0
Jordan,TFN,440.0,0.0,220.0
Kazakhstan,VFR,8.0,7.0,7.5
"Korea, Republic of",VFN,258.0,370.0,314.0
Kuwait,VFN,552.0,0.0,276.0
Lebanon,TFN,790.0,960.0,875.0
Malaysia,TFN,329.0,494.0,411.5
Maldives,TFN,92.0,0.0,46.0
Mauritius,TFR,19.0,9.0,14.0
Mexico,TFR,87.0,0.0,43.5
Mongolia,TFN,12.0,10.0,11.0
New Zealand,VFR,22.0,11.0,16.5
Nicaragua,TFN,1.0,7.0,4.0
Panama,VFR,168.0,0.0,84.0
Paraguay,TFN,0.0,0.0,0.0
Poland,TCER,1.0,0.0,0.5
Russian Federation,VFN,0.0,0.0,0.0
Rwanda,VFN,0.0,0.0,0.0
Saint Lucia,TFR,723.0,0.0,361.5
Seychelles,TFR,7.0,4.0,5.5
Sint Maarten (Dutch part),TFN,2257.0,0.0,1128.5
Sri Lanka,TFR,47.0,44.0,45.5
Suriname,TFR,0.0,0.0,0.0
"Tanzania, United Republic of",VFR,0.0,0.0,0.0
Thailand,TFR,0.0,0.0,0.0
Togo,THSR,13.0,195.0,104.0
Trinidad and Tobago,TFN,982.0,1051.0,1016.5
Turkey,TFN,3396.0,0.0,1698.0
Turks and Caicos Islands,TFR,0.0,0.0,0.0
Uganda,TFR,0.0,0.0,0.0
Ukraine,TFR,118.0,0.0,59.0
United Arab Emirates,THSN,1164.0,2625.0,1894.5
United States of America,TFR,11277.0,13019.0,12148.0
Uzbekistan,VFR,11.0,0.0,5.5
"Venezuela, Bolivarian Republic of",TFN,0.0,0.0,0.0
