Destination,SERIES,2018,2019,Average
Albania,VFN,12.0,358.0,185.0
Antigua and Barbuda,TFR,1838.0,0.0,919.0
Australia,VFR,70.0,0.0,35.0
Azerbaijan,VFR,3.0,1.0,2.0
Bahamas,TFR,254.0,233.0,243.5
Bangladesh,TFN,0.0,0.0,0.0
Barbados,TFR,9810.0,0.0,4905.0
Belarus,VFN,1.0,3.0,2.0
Belgium,TCER,39.0,0.0,19.5
Bonaire,TFR,0.0,0.0,0.0
Botswana,TFR,10.0,0.0,5.0
British Virgin Islands,TFR,0.0,0.0,0.0
Canada,TFR,1966.0,0.0,983.0
Cayman Islands,TFR,117.0,0.0,58.5
Chile,TFN,49.0,38.0,43.5
China,VFN,238.0,0.0,119.0
Colombia,TFR,105.0,0.0,52.5
Costa Rica,TFN,57.0,60.0,58.5
Cuba,VFR,0.0,0.0,0.0
Dominica,TFR,4284.0,0.0,2142.0
Ecuador,VFR,18.0,0.0,9.0
El Salvador,TFN,17.0,38.0,27.5
Finland,TCER,9.0,11.0,10.0
Grenada,TFN,1482.0,1621.0,1551.5
Guyana,TFR,1241.0,1075.0,1158.0
Haiti,TFR,0.0,24.0,12.0
Honduras,TFN,0.0,0.0,0.0
India,TFN,103.0,0.0,51.5
Indonesia,VFN,87.0,38.0,62.5
Israel,TFR,55.0,0.0,27.5
Italy,TFN,0.0,0.0,0.0
Jamaica,TFR,966.0,1025.0,995.5
Japan,VFN,50.0,81.0,65.5
Jordan,TFN,12.0,0.0,6.0
Kazakhstan,VFR,2.0,8.0,5.0
"Korea, Republic of",VFN,65.0,245.0,155.0
Kuwait,VFN,30.0,0.0,15.0
Lebanon,TFN,14.0,6.0,10.0
Malaysia,TFN,45.0,76.0,60.5
Maldives,TFN,4.0,0.0,2.0
Martinique,TFR,3578.0,0.0,1789.0
Mauritius,TFR,10.0,8.0,9.0
Mexico,TFR,193.0,0.0,96.5
Mongolia,TFN,0.0,2.0,1.0
New Zealand,VFR,6.0,21.0,13.5
Nicaragua,TFN,9.0,15.0,12.0
Panama,VFR,318.0,0.0,159.0
Paraguay,TFN,1.0,0.0,0.5
Poland,TCER,0.0,0.0,0.0
Russian Federation,VFN,0.0,0.0,0.0
Rwanda,VFN,0.0,0.0,0.0
Saint Kitts and Nevis,TFR,0.0,0.0,0.0
Saint Vincent and the Grenadines,TFR,0.0,0.0,0.0
Saudi Arabia,TFN,13.0,49.0,31.0
Seychelles,TFR,1.0,1.0,1.0
Sierra Leone,TFR,3.0,0.0,1.5
South Africa,TFR,28.0,36.0,32.0
Sri Lanka,TFR,7.0,9.0,8.0
Suriname,TFR,0.0,0.0,0.0
"Tanzania, United Republic of",VFR,0.0,0.0,0.0
Thailand,TFR,0.0,0.0,0.0
Trinidad and Tobago,TFN,4481.0,4415.0,4448.0
Turkey,TFN,127.0,0.0,63.5
Turks and Caicos Islands,TFR,0.0,0.0,0.0
Uganda,TFR,0.0,0.0,0.0
Ukraine,TFR,5.0,0.0,2.5
United Arab Emirates,THSN,48.0,273.0,160.5
United States of America,TFR,15300.0,16933.0,16116.5
"Venezuela, Bolivarian Republic of",TFN,0.0,0.0,0.0
