Destination,SERIES,2018,2019,Average
Antigua and Barbuda,TFR,1162.0,0.0,581.0
Australia,VFR,80.0,0.0,40.0
Azerbaijan,VFR,3.0,2.0,2.5
Bahamas,TFR,122.0,127.0,124.5
Barbados,TFR,10858.0,0.0,5429.0
Belarus,VFN,0.0,3.0,1.5
Belgium,TCER,12.0,0.0,6.0
Bonaire,TFR,0.0,0.0,0.0
Botswana,TFR,0.0,0.0,0.0
British Virgin Islands,TFR,0.0,0.0,0.0
Canada,TFR,1412.0,0.0,706.0
Cayman Islands,TFR,37.0,0.0,18.5
Chile,TFN,48.0,48.0,48.0
China,VFN,545.0,0.0,272.5
Colombia,TFR,140.0,0.0,70.0
Costa Rica,TFN,42.0,50.0,46.0
Cuba,VFR,0.0,0.0,0.0
Dominica,TFR,370.0,0.0,185.0
Ecuador,VFR,7.0,0.0,3.5
El Salvador,TFN,19.0,25.0,22.0
Finland,TCER,10.0,9.0,9.5
Grenada,TFN,1363.0,1319.0,1341.0
Guyana,TFR,557.0,547.0,552.0
Haiti,TFR,0.0,26.0,13.0
Honduras,TFN,0.0,0.0,0.0
India,TFN,38.0,0.0,19.0
Indonesia,VFN,37.0,32.0,34.5
Israel,TFR,0.0,0.0,0.0
Italy,TFN,0.0,535.0,267.5
Jamaica,TFR,594.0,667.0,630.5
Japan,VFN,35.0,44.0,39.5
Jordan,TFN,4.0,0.0,2.0
Kazakhstan,VFR,0.0,1.0,0.5
"Korea, Republic of",VFN,70.0,66.0,68.0
Kuwait,VFN,1.0,0.0,0.5
Lebanon,TFN,37.0,16.0,26.5
Malaysia,TFN,12.0,24.0,18.0
Mauritius,TFR,2.0,4.0,3.0
Mexico,TFR,908.0,0.0,454.0
Mongolia,TFN,0.0,1.0,0.5
New Zealand,VFR,17.0,14.0,15.5
Nicaragua,TFN,23.0,45.0,34.0
Panama,VFR,232.0,0.0,116.0
Paraguay,TFN,1.0,0.0,0.5
Russian Federation,VFN,0.0,0.0,0.0
Rwanda,VFN,0.0,0.0,0.0
Saint Kitts and Nevis,TFR,0.0,0.0,0.0
Saint Lucia,TFR,2461.0,0.0,1230.5
Saudi Arabia,TFN,0.0,1.0,0.5
Seychelles,TFR,1.0,4.0,2.5
South Africa,TFR,28.0,41.0,34.5
Sri Lanka,TFR,3.0,7.0,5.0
Suriname,TFR,0.0,0.0,0.0
"Tanzania, United Republic of",VFR,4.0,0.0,2.0
Thailand,TFR,0.0,0.0,0.0
Trinidad and Tobago,TFN,6711.0,7109.0,6910.0
Turkey,TFN,45.0,0.0,22.5
Turks and Caicos Islands,TFR,0.0,0.0,0.0
Uganda,TFR,0.0,0.0,0.0
Ukraine,TFR,19.0,0.0,9.5
United Arab Emirates,THSN,13.0,174.0,93.5
United States of America,TFR,8276.0,9401.0,8838.5
"Venezuela, Bolivarian Republic of",TFN,0.0,0.0,0.0
