Destination,SERIES,2018,2019,Average
American Samoa,TFN,0.0,0.0,0.0
Antigua and Barbuda,TFR,1.0,0.0,0.5
Armenia,TFR,0.0,0.0,0.0
Australia,VFR,8350.0,0.0,4175.0
Azerbaijan,VFR,0.0,0.0,0.0
Bahamas,TFR,3.0,2.0,2.5
Bangladesh,TFN,0.0,0.0,0.0
Barbados,TFR,7.0,0.0,3.5
Belarus,VFN,0.0,3.0,1.5
Belgium,TCER,25.0,0.0,12.5
Bhutan,TFN,0.0,1.0,0.5
Botswana,TFR,10.0,0.0,5.0
Bulgaria,TCER,17.0,16.0,16.5
Canada,TFR,55.0,0.0,27.5
Cayman Islands,TFR,2.0,0.0,1.0
Chile,TFN,4.0,1.0,2.5
China,VFN,1624.0,0.0,812.0
Colombia,TFR,1.0,0.0,0.5
Costa Rica,TFN,1.0,1.0,1.0
Ecuador,VFR,15.0,0.0,7.5
Egypt,VFN,32.0,0.0,16.0
El Salvador,TFN,9.0,26.0,17.5
Finland,TCER,12.0,25.0,18.5
French Polynesia,TFR,58.0,46.0,52.0
India,TFN,0.0,0.0,0.0
Indonesia,VFN,129.0,106.0,117.5
Israel,TFR,47.0,0.0,23.5
Italy,TFN,0.0,0.0,0.0
Japan,VFN,183.0,277.0,230.0
Jordan,TFN,17.0,0.0,8.5
Kazakhstan,VFR,4.0,0.0,2.0
"Korea, Republic of",VFN,233.0,312.0,272.5
Kuwait,VFN,0.0,0.0,0.0
Lebanon,TFN,25.0,13.0,19.0
Malaysia,TFN,62.0,106.0,84.0
Maldives,TFN,5.0,0.0,2.5
Mauritius,TFR,5.0,2.0,3.5
Mexico,TFR,73.0,0.0,36.5
Mongolia,TFN,2.0,0.0,1.0
Morocco,TFN,0.0,0.0,0.0
New Zealand,VFR,26300.0,28654.0,27477.0
Nicaragua,TFN,0.0,0.0,0.0
Northern Mariana Islands,VFN,0.0,0.0,0.0
Panama,VFR,3.0,0.0,1.5
Poland,TCER,0.0,0.0,0.0
Russian Federation,VFN,0.0,0.0,0.0
Rwanda,VFN,0.0,0.0,0.0
Seychelles,TFR,6.0,1.0,3.5
South Africa,TFR,26.0,20.0,23.0
Sri Lanka,TFR,4.0,7.0,5.5
Suriname,TFR,0.0,0.0,0.0
"Tanzania, United Republic of",VFR,227.0,0.0,113.5
Thailand,TFR,0.0,0.0,0.0
Tonga,TFR,278.0,0.0,139.0
Trinidad and Tobago,TFN,1.0,4.0,2.5
Turkey,TFN,59.0,0.0,29.5
Uganda,TFR,0.0,0.0,0.0
Ukraine,TFR,0.0,0.0,0.0
United Arab Emirates,THSN,68.0,520.0,294.0
Uzbekistan,VFR,0.0,0.0,0.0
