Destination,SERIES,2018,2019,Average
Albania,VFN,217.0,139.0,178.0
Antigua and Barbuda,TFR,4.0,0.0,2.0
Australia,VFR,30.0,0.0,15.0
Azerbaijan,VFR,15.0,15.0,15.0
Bahamas,TFR,35.0,34.0,34.5
Bangladesh,TFN,0.0,0.0,0.0
Barbados,TFR,0.0,0.0,0.0
Belarus,VFN,51.0,23.0,37.0
Belgium,TCER,1197.0,0.0,598.5
Bhutan,TFN,0.0,6.0,3.0
British Virgin Islands,TFR,0.0,0.0,0.0
Bulgaria,TCER,30.0,12.0,21.0
Canada,TFR,113.0,0.0,56.5
Cayman Islands,TFR,0.0,0.0,0.0
Chile,TFN,25.0,21.0,23.0
China,VFN,215.0,0.0,107.5
Colombia,TFR,13.0,0.0,6.5
Costa Rica,TFN,22.0,20.0,21.0
Cuba,VFR,0.0,0.0,0.0
Dominica,TFR,0.0,0.0,0.0
Ecuador,VFR,2.0,0.0,1.0
Egypt,VFN,436.0,0.0,218.0
Finland,TCER,61.0,52.0,56.5
Grenada,TFN,0.0,0.0,0.0
Guyana,TFR,0.0,0.0,0.0
India,TFN,51.0,0.0,25.5
Indonesia,VFN,57.0,40.0,48.5
Israel,TFR,59.0,0.0,29.5
Italy,TFN,0.0,0.0,0.0
Japan,VFN,76.0,100.0,88.0
Jordan,TFN,37.0,0.0,18.5
"Korea, Republic of",VFN,30.0,13.0,21.5
Kuwait,VFN,4.0,0.0,2.0
Latvia,TCER,30.0,232.0,131.0
Lebanon,TFN,17.0,56.0,36.5
Madagascar,TFN,0.0,0.0,0.0
Malaysia,TFN,44.0,27.0,35.5
Maldives,TFN,150.0,0.0,75.0
Malta,TFR,0.0,0.0,0.0
Mauritius,TFR,31.0,35.0,33.0
Mexico,TFR,58.0,0.0,29.0
Mongolia,TFN,2.0,0.0,1.0
Morocco,TFN,104.0,0.0,52.0
New Zealand,VFR,0.0,7.0,3.5
Nicaragua,TFN,0.0,0.0,0.0
Norway,TCER,353.0,427.0,390.0
Panama,VFR,9.0,0.0,4.5
Paraguay,TFN,1.0,0.0,0.5
Poland,TCER,222.0,0.0,111.0
Russian Federation,VFN,0.0,0.0,0.0
Rwanda,VFN,0.0,0.0,0.0
Saudi Arabia,TFN,1.0,1.0,1.0
Seychelles,TFR,17.0,52.0,34.5
South Africa,TFR,61.0,16.0,38.5
Sri Lanka,TFR,28.0,19.0,23.5
Suriname,TFR,0.0,0.0,0.0
"Tanzania, United Republic of",VFR,102.0,0.0,51.0
Thailand,TFR,0.0,0.0,0.0
Turkey,TFN,157.0,0.0,78.5
Uganda,TFR,0.0,0.0,0.0
Ukraine,TFR,50.0,0.0,25.0
United Arab Emirates,THSN,60.0,260.0,160.0
United States of America,TFR,712.0,669.0,690.5
Uzbekistan,VFR,2.0,0.0,1.0
