Destination,SERIES,2018,2019,Average
Angola,TFR,936.0,1069.0,1002.5
Armenia,TFR,1.0,0.0,0.5
Australia,VFR,0.0,0.0,0.0
Azerbaijan,VFR,2.0,0.0,1.0
Belarus,VFN,5.0,0.0,2.5
Belgium,TCER,299.0,0.0,149.5
Benin,TFR,3.0,0.0,1.5
Botswana,TFR,0.0,0.0,0.0
Canada,TFR,20.0,0.0,10.0
Cayman Islands,TFR,0.0,0.0,0.0
China,VFN,550.0,0.0,275.0
Colombia,TFR,1.0,0.0,0.5
"Congo, Democratic Republic of the",TFR,0.0,0.0,0.0
Costa Rica,TFN,0.0,0.0,0.0
Ecuador,VFR,2.0,0.0,1.0
Egypt,VFN,34.0,0.0,17.0
Finland,TCER,3.0,2.0,2.5
Guinea,TFR,0.0,0.0,0.0
Guinea-Bissau,TFN,0.0,0.0,0.0
Guyana,TFR,0.0,0.0,0.0
India,TFN,17.0,0.0,8.5
Indonesia,VFN,19.0,27.0,23.0
Italy,TFN,0.0,0.0,0.0
Japan,VFN,10.0,15.0,12.5
Jordan,TFN,1.0,0.0,0.5
Kazakhstan,VFR,2.0,0.0,1.0
"Korea, Republic of",VFN,11.0,23.0,17.0
Lebanon,TFN,1.0,7.0,4.0
Malaysia,TFN,66.0,46.0,56.0
Maldives,TFN,0.0,0.0,0.0
Mali,TFR,5.0,0.0,2.5
Malta,TFR,0.0,0.0,0.0
Mauritius,TFR,10.0,31.0,20.5
Mexico,TFR,33.0,0.0,16.5
Mongolia,TFN,0.0,0.0,0.0
Morocco,TFN,371.0,0.0,185.5
New Zealand,VFR,1.0,2.0,1.5
Nicaragua,TFN,0.0,0.0,0.0
Nigeria,VFN,0.0,0.0,0.0
Panama,VFR,4.0,0.0,2.0
Paraguay,TFN,0.0,0.0,0.0
Poland,TCER,0.0,0.0,0.0
Russian Federation,VFN,0.0,0.0,0.0
Rwanda,VFN,0.0,0.0,0.0
Seychelles,TFR,3.0,7.0,5.0
Sierra Leone,TFR,0.0,0.0,0.0
South Africa,TFR,113.0,103.0,108.0
Sri Lanka,TFR,1.0,0.0,0.5
Suriname,TFR,0.0,0.0,0.0
"Tanzania, United Republic of",VFR,7.0,0.0,3.5
Thailand,TFR,0.0,0.0,0.0
Togo,THSR,32.0,413.0,222.5
Turkey,TFN,72.0,0.0,36.0
Uganda,TFR,0.0,0.0,0.0
Ukraine,TFR,3.0,0.0,1.5
United Arab Emirates,THSN,57.0,229.0,143.0
United States of America,TFR,52.0,30.0,41.0
Uzbekistan,VFR,8.0,0.0,4.0
