Destination,SERIES,2018,2019,Average
Albania,VFN,2442.0,6170.0,4306.0
Angola,TFR,75.0,4.0,39.5
Antigua and Barbuda,TFR,21.0,0.0,10.5
Armenia,TFR,46.0,0.0,23.0
Australia,VFR,13760.0,0.0,6880.0
Austria,TCER,118674.0,132271.0,125472.5
Azerbaijan,VFR,72935.0,106994.0,89964.5
Bahamas,TFR,244.0,116.0,180.0
Bahrain,VFR,10737689.0,0.0,5368844.5
Bangladesh,TFN,0.0,0.0,0.0
Barbados,TFR,10.0,0.0,5.0
Belarus,VFN,1276.0,3775.0,2525.5
Belgium,TCER,14992.0,0.0,7496.0
Benin,TFR,19.0,0.0,9.5
Bhutan,TFN,29.0,16.0,22.5
Bosnia and Herzegovina,TCER,30930.0,0.0,15465.0
Botswana,TFR,50.0,0.0,25.0
Brazil,TFR,856.0,1378.0,1117.0
British Virgin Islands,TFR,0.0,0.0,0.0
Brunei Darussalam,TFN,275.0,220.0,247.5
Bulgaria,TCER,1397.0,1651.0,1524.0
Cambodia,TFR,321.0,0.0,160.5
Canada,TFR,22446.0,0.0,11223.0
Cayman Islands,TFR,127.0,0.0,63.5
Chile,TFN,57.0,113.0,85.0
China,VFN,32007.0,0.0,16003.5
Colombia,TFR,208.0,0.0,104.0
"Congo, Democratic Republic of the",TFR,0.0,0.0,0.0
Costa Rica,TFN,253.0,230.0,241.5
Cuba,VFR,0.0,0.0,0.0
Cyprus,TFR,4016.0,0.0,2008.0
Czech Republic,TCEN,26973.0,27682.0,27327.5
Dominica,TFR,8.0,0.0,4.0
Ecuador,VFR,227.0,0.0,113.5
Egypt,VFN,909092.0,0.0,454546.0
El Salvador,TFN,22.0,34.0,28.0
Eritrea,VFN,0.0,0.0,0.0
Ethiopia,TFR,21054.0,0.0,10527.0
Finland,TCER,2077.0,2490.0,2283.5
Grenada,TFN,1.0,4.0,2.5
Guinea,TFR,0.0,0.0,0.0
Guyana,TFR,0.0,0.0,0.0
Honduras,TFN,0.0,0.0,0.0
"Hong Kong, China",TFR,9707.0,7545.0,8626.0
India,TFN,47546.0,0.0,23773.0
Indonesia,VFN,165912.0,157512.0,161712.0
"Iran, Islamic Republic of",VFN,18753.0,0.0,9376.5
Iraq,VFN,0.0,0.0,0.0
Israel,TFR,0.0,0.0,0.0
Italy,TFN,71916.0,59671.0,65793.5
Jamaica,TFR,81.0,84.0,82.5
Japan,VFN,7403.0,11152.0,9277.5
Jordan,TFN,739563.0,0.0,369781.5
Kazakhstan,VFR,819.0,961.0,890.0
"Korea, Republic of",VFN,11553.0,14158.0,12855.5
Kuwait,VFN,3580402.0,0.0,1790201.0
Kyrgyzstan,VFR,9994.0,0.0,4997.0
Latvia,TCER,301.0,542.0,421.5
Lebanon,TFN,61547.0,88142.0,74844.5
Libya,VFN,0.0,0.0,0.0
Madagascar,TFN,63.0,0.0,31.5
Malaysia,TFN,112263.0,121444.0,116853.5
Maldives,TFN,23540.0,0.0,11770.0
Mali,TFR,733.0,0.0,366.5
Malta,TFR,0.0,0.0,0.0
Mauritius,TFR,16507.0,22788.0,19647.5
Mexico,TFR,29959.0,0.0,14979.5
Mongolia,TFN,101.0,91.0,96.0
Morocco,TFN,96141.0,0.0,48070.5
Nepal,TFN,0.0,0.0,0.0
New Zealand,VFR,3506.0,2913.0,3209.5
Nicaragua,TFN,27.0,28.0,27.5
Nigeria,VFN,0.0,0.0,0.0
Oman,VFR,123115.0,0.0,61557.5
Pakistan,TFN,0.0,0.0,0.0
Panama,VFR,200.0,0.0,100.0
Paraguay,TFN,5.0,0.0,2.5
Philippines,TFR,46967.0,43748.0,45357.5
Poland,TCER,6129.0,0.0,3064.5
Portugal,TCER,0.0,0.0,0.0
Qatar,VFN,45854.0,47082.0,46468.0
Russian Federation,VFN,14534.0,0.0,7267.0
Rwanda,VFN,0.0,0.0,0.0
San Marino,VFN,19.0,0.0,9.5
Seychelles,TFR,1720.0,1619.0,1669.5
Sierra Leone,TFR,88.0,0.0,44.0
Singapore,VFR,11929.0,15471.0,13700.0
South Africa,TFR,8149.0,10931.0,9540.0
Spain,TFR,74499.53524373904,89585.95584395915,82042.7455438491
Sri Lanka,TFR,34703.0,15707.0,25205.0
Sudan,TFN,0.0,0.0,0.0
Suriname,TFR,0.0,0.0,0.0
Syrian Arab Republic,VFN,5396.0,8016.0,6706.0
Tajikistan,VFR,299.0,0.0,149.5
"Tanzania, United Republic of",VFR,1585.0,0.0,792.5
Thailand,TFR,35090.0,0.0,17545.0
Togo,THSR,284.0,488.0,386.0
Trinidad and Tobago,TFN,10.0,14.0,12.0
Tunisia,TFN,9046.0,8763.0,8904.5
Turkey,TFN,747139.0,0.0,373569.5
Turkmenistan,TFN,0.0,0.0,0.0
Uganda,TFR,0.0,0.0,0.0
Ukraine,TFR,5334.0,0.0,2667.0
United Arab Emirates,THSN,2060562.0,2011738.0,2036150.0
United Kingdom,VFR,196381.0,220780.0,208580.5
United States of America,TFR,176158.0,159597.0,167877.5
Uzbekistan,VFR,821.0,0.0,410.5
"Venezuela, Bolivarian Republic of",TFN,0.0,0.0,0.0
Yemen,TFN,0.0,0.0,0.0
Zimbabwe,VFR,0.0,0.0,0.0
