Destination,SERIES,2018,2019,Average
Albania,VFN,244.0,41.0,142.5
Angola,TFR,357.0,130.0,243.5
Antigua and Barbuda,TFR,5.0,0.0,2.5
Argentina,TFR,1354.0,0.0,677.0
Armenia,TFR,83.0,0.0,41.5
Australia,VFR,180.0,0.0,90.0
Azerbaijan,VFR,26.0,48.0,37.0
Bahamas,TFR,21.0,26.0,23.5
Bangladesh,TFN,0.0,0.0,0.0
Barbados,TFR,11.0,0.0,5.5
Belarus,VFN,70.0,44.0,57.0
Belgium,TCER,1422.0,0.0,711.0
Benin,TFR,12020.0,0.0,6010.0
Bhutan,TFN,0.0,2.0,1.0
Botswana,TFR,67.0,0.0,33.5
British Virgin Islands,TFR,0.0,0.0,0.0
Bulgaria,TCER,89.0,50.0,69.5
Burkina Faso,THSR,6013.0,0.0,3006.5
Canada,TFR,2256.0,0.0,1128.0
Cayman Islands,TFR,0.0,0.0,0.0
Central African Republic,TFN,0.0,0.0,0.0
China,VFN,15819.0,0.0,7909.5
Colombia,TFR,43.0,0.0,21.5
Congo,THSR,729.0,0.0,364.5
"Congo, Democratic Republic of the",TFR,0.0,0.0,0.0
Costa Rica,TFN,29.0,23.0,26.0
Dominica,TFR,2.0,0.0,1.0
Ecuador,VFR,28.0,0.0,14.0
Egypt,VFN,1367.0,0.0,683.5
Finland,TCER,122.0,76.0,99.0
Grenada,TFN,0.0,0.0,0.0
Guinea,TFR,0.0,0.0,0.0
Guinea-Bissau,TFN,0.0,0.0,0.0
Guyana,TFR,0.0,0.0,0.0
Honduras,TFN,0.0,0.0,0.0
India,TFN,1726.0,0.0,863.0
Indonesia,VFN,1002.0,686.0,844.0
"Iran, Islamic Republic of",VFN,189.0,0.0,94.5
Israel,TFR,506.0,0.0,253.0
Italy,TFN,14589.0,5694.0,10141.5
Japan,VFN,660.0,941.0,800.5
Jordan,TFN,122.0,0.0,61.0
Kazakhstan,VFR,22.0,26.0,24.0
"Korea, Republic of",VFN,635.0,593.0,614.0
Kuwait,VFN,960.0,0.0,480.0
Latvia,TCER,14.0,17.0,15.5
Lebanon,TFN,1877.0,1805.0,1841.0
Libya,VFN,0.0,0.0,0.0
Madagascar,TFN,299.0,0.0,149.5
Malaysia,TFN,636.0,844.0,740.0
Maldives,TFN,49.0,0.0,24.5
Mali,TFR,15414.0,0.0,7707.0
Malta,TFR,0.0,0.0,0.0
Mauritius,TFR,275.0,260.0,267.5
Mexico,TFR,150.0,0.0,75.0
Mongolia,TFN,4.0,3.0,3.5
Morocco,TFN,58719.0,0.0,29359.5
New Zealand,VFR,29.0,23.0,26.0
Nicaragua,TFN,0.0,2.0,1.0
Nigeria,VFN,0.0,0.0,0.0
Pakistan,TFN,0.0,0.0,0.0
Panama,VFR,37.0,0.0,18.5
Paraguay,TFN,3.0,0.0,1.5
Poland,TCER,377.0,0.0,188.5
Russian Federation,VFN,0.0,0.0,0.0
Rwanda,VFN,0.0,0.0,0.0
San Marino,VFN,0.0,0.0,0.0
Sao Tome and Principe,TFN,0.0,0.0,0.0
Saudi Arabia,TFN,11966.0,3165.0,7565.5
Seychelles,TFR,43.0,71.0,57.0
Sierra Leone,TFR,456.0,0.0,228.0
South Africa,TFR,2360.0,2166.0,2263.0
Sri Lanka,TFR,40.0,34.0,37.0
Suriname,TFR,0.0,0.0,0.0
"Tanzania, United Republic of",VFR,326.0,0.0,163.0
Thailand,TFR,0.0,0.0,0.0
Togo,THSR,18109.0,25305.0,21707.0
Trinidad and Tobago,TFN,8.0,11.0,9.5
Turkey,TFN,7537.0,0.0,3768.5
Uganda,TFR,0.0,0.0,0.0
Ukraine,TFR,97.0,0.0,48.5
United Arab Emirates,THSN,861.0,6363.0,3612.0
United States of America,TFR,8107.0,8871.0,8489.0
Uzbekistan,VFR,6.0,0.0,3.0
"Venezuela, Bolivarian Republic of",TFN,0.0,0.0,0.0
