Destination,SERIES,2018,2019,Average
Albania,VFN,70878.0,68436.0,69657.0
Angola,TFR,364.0,202.0,283.0
Argentina,TFR,1421.0,0.0,710.5
Armenia,TFR,950.0,0.0,475.0
Australia,VFR,2900.0,0.0,1450.0
Azerbaijan,VFR,1137.0,1337.0,1237.0
Bahamas,TFR,203.0,142.0,172.5
Barbados,TFR,65.0,0.0,32.5
Belarus,VFN,12379.0,14554.0,13466.5
Belgium,TCER,5914.0,0.0,2957.0
Bhutan,TFN,15.0,14.0,14.5
Bosnia and Herzegovina,TCER,88797.0,0.0,44398.5
Botswana,TFR,95.0,0.0,47.5
Brazil,TFR,1811.0,2352.0,2081.5
Bulgaria,TCER,45353.0,50461.0,47907.0
Cambodia,TFR,1249.0,0.0,624.5
Canada,TFR,4765.0,0.0,2382.5
Cayman Islands,TFR,26.0,0.0,13.0
Chile,TFN,613.0,896.0,754.5
China,VFN,35384.0,0.0,17692.0
Colombia,TFR,509.0,0.0,254.5
"Congo, Democratic Republic of the",TFR,0.0,0.0,0.0
Costa Rica,TFN,372.0,406.0,389.0
Croatia,TCER,138349.0,151295.0,144822.0
Cuba,VFR,0.0,0.0,0.0
Cyprus,TFR,9711.0,0.0,4855.5
Dominica,TFR,10.0,0.0,5.0
Ecuador,VFR,194.0,0.0,97.0
Egypt,VFN,38750.0,0.0,19375.0
Finland,TCER,1295.0,1642.0,1468.5
Greece,TFR,922365.0,1027288.0,974826.5
Guinea,TFR,0.0,0.0,0.0
Guyana,TFR,7.0,12.0,9.5
Indonesia,VFN,3991.0,5600.0,4795.5
"Iran, Islamic Republic of",VFN,865.0,0.0,432.5
Israel,TFR,8099.0,0.0,4049.5
Italy,TFN,328849.0,299535.0,314192.0
Japan,VFN,3066.0,3824.0,3445.0
Jordan,TFN,1654.0,0.0,827.0
Kazakhstan,VFR,4376.0,3742.0,4059.0
"Korea, Republic of",VFN,3375.0,4390.0,3882.5
Kuwait,VFN,3087.0,0.0,1543.5
Latvia,TCER,1084.0,1041.0,1062.5
Lebanon,TFN,2643.0,2601.0,2622.0
Madagascar,TFN,14.0,0.0,7.0
Maldives,TFN,2451.0,0.0,1225.5
Mali,TFR,43.0,0.0,21.5
Mauritius,TFR,656.0,816.0,736.0
"Moldova, Republic of",TCEN,831.0,519.0,675.0
Mongolia,TFN,356.0,632.0,494.0
Montenegro,TCEN,464916.0,0.0,232458.0
Morocco,TFN,3536.0,0.0,1768.0
Nepal,TFN,0.0,0.0,0.0
New Zealand,VFR,233.0,270.0,251.5
Nicaragua,TFN,12.0,28.0,20.0
Nigeria,VFN,0.0,0.0,0.0
North Macedonia,TCEN,57460.0,59567.0,58513.5
Norway,TCER,2529.0,2020.0,2274.5
Oman,VFR,614.0,0.0,307.0
Pakistan,TFN,0.0,0.0,0.0
Paraguay,TFN,20.0,0.0,10.0
Philippines,TFR,0.0,0.0,0.0
Poland,TCER,11391.0,0.0,5695.5
Romania,TCER,25330.0,32188.0,28759.0
Russian Federation,VFN,58297.0,0.0,29148.5
Rwanda,VFN,0.0,0.0,0.0
San Marino,VFN,8740.0,0.0,4370.0
Saudi Arabia,TFN,0.0,1.0,0.5
Seychelles,TFR,773.0,958.0,865.5
Sierra Leone,TFR,89.0,0.0,44.5
Slovakia,TCEN,23043.0,20414.0,21728.5
Slovenia,TCEN,137516.0,144753.0,141134.5
South Africa,TFR,1552.0,1346.0,1449.0
Sri Lanka,TFR,1804.0,1498.0,1651.0
Suriname,TFR,0.0,0.0,0.0
Tajikistan,VFR,92.0,0.0,46.0
"Tanzania, United Republic of",VFR,2060.0,0.0,1030.0
Thailand,TFR,0.0,0.0,0.0
Trinidad and Tobago,TFN,61.0,61.0,61.0
Tunisia,TFN,7032.0,8268.0,7650.0
Turkey,TFN,223539.0,0.0,111769.5
Ukraine,TFR,38195.0,0.0,19097.5
United Arab Emirates,THSN,7272.0,19931.0,13601.5
United Kingdom,VFR,43522.0,36825.0,40173.5
United States of America,TFR,5381.0,29452.0,17416.5
Uzbekistan,VFR,588.0,0.0,294.0
