Destination,SERIES,2018,2019,Average
Albania,VFN,8.0,3.0,5.5
Angola,TFR,79.0,2.0,40.5
Australia,VFR,220.0,0.0,110.0
Azerbaijan,VFR,15.0,28.0,21.5
Bahamas,TFR,3.0,2.0,2.5
Barbados,TFR,11.0,0.0,5.5
Belarus,VFN,7.0,8.0,7.5
Belgium,TCER,169.0,0.0,84.5
Benin,TFR,19.0,0.0,9.5
Bhutan,TFN,0.0,0.0,0.0
Botswana,TFR,172.0,0.0,86.0
British Virgin Islands,TFR,0.0,0.0,0.0
Bulgaria,TCER,21.0,19.0,20.0
Canada,TFR,88.0,0.0,44.0
Cayman Islands,TFR,2.0,0.0,1.0
China,VFN,1835.0,0.0,917.5
Colombia,TFR,2.0,0.0,1.0
"Congo, Democratic Republic of the",TFR,0.0,0.0,0.0
Costa Rica,TFN,3.0,6.0,4.5
Dominica,TFR,1.0,0.0,0.5
Ecuador,VFR,2.0,0.0,1.0
Egypt,VFN,141.0,0.0,70.5
Finland,TCER,78.0,55.0,66.5
Guinea,TFR,0.0,0.0,0.0
Guyana,TFR,0.0,0.0,0.0
India,TFN,3693.0,0.0,1846.5
Indonesia,VFN,265.0,353.0,309.0
Israel,TFR,60.0,0.0,30.0
Italy,TFN,16.0,4688.0,2352.0
Japan,VFN,37.0,108.0,72.5
Jordan,TFN,112.0,0.0,56.0
Kazakhstan,VFR,1.0,0.0,0.5
"Korea, Republic of",VFN,67.0,118.0,92.5
Kuwait,VFN,34.0,0.0,17.0
Lebanon,TFN,51.0,54.0,52.5
Madagascar,TFN,421.0,0.0,210.5
Malaysia,TFN,1004.0,1215.0,1109.5
Maldives,TFN,76.0,0.0,38.0
Mali,TFR,2.0,0.0,1.0
Malta,TFR,0.0,0.0,0.0
Mauritius,TFR,5370.0,6838.0,6104.0
Mexico,TFR,71.0,0.0,35.5
Mongolia,TFN,8.0,5.0,6.5
Morocco,TFN,504.0,0.0,252.0
New Zealand,VFR,76.0,58.0,67.0
Nicaragua,TFN,0.0,1.0,0.5
Pakistan,TFN,0.0,0.0,0.0
Panama,VFR,0.0,0.0,0.0
Paraguay,TFN,0.0,0.0,0.0
Poland,TCER,26.0,0.0,13.0
Reunion,TFR,0.0,0.0,0.0
Russian Federation,VFN,0.0,0.0,0.0
Rwanda,VFN,0.0,0.0,0.0
Saudi Arabia,TFN,27.0,98.0,62.5
Sierra Leone,TFR,0.0,0.0,0.0
South Africa,TFR,6091.0,5511.0,5801.0
Sri Lanka,TFR,416.0,0.0,208.0
Suriname,TFR,0.0,0.0,0.0
"Tanzania, United Republic of",VFR,1044.0,0.0,522.0
Thailand,TFR,0.0,0.0,0.0
Togo,THSR,168.0,0.0,84.0
Trinidad and Tobago,TFN,8.0,5.0,6.5
Turkey,TFN,459.0,0.0,229.5
Uganda,TFR,0.0,0.0,0.0
Ukraine,TFR,16.0,0.0,8.0
United Arab Emirates,THSN,3563.0,11196.0,7379.5
United States of America,TFR,394.0,394.0,394.0
Uzbekistan,VFR,0.0,0.0,0.0
Zimbabwe,VFR,1700.0,0.0,850.0
