Destination,SERIES,2018,2019,Average
Angola,TFR,72.0,97.0,84.5
Australia,VFR,140.0,0.0,70.0
Azerbaijan,VFR,5.0,25.0,15.0
Bahamas,TFR,8.0,13.0,10.5
Bangladesh,TFN,0.0,0.0,0.0
Barbados,TFR,4.0,0.0,2.0
Belarus,VFN,14.0,54.0,34.0
Belgium,TCER,1252.0,0.0,626.0
Benin,TFR,447.0,0.0,223.5
Bhutan,TFN,0.0,2.0,1.0
Botswana,TFR,150.0,0.0,75.0
Bulgaria,TCER,90.0,72.0,81.0
Canada,TFR,126.0,0.0,63.0
Cayman Islands,TFR,1.0,0.0,0.5
China,VFN,4276.0,0.0,2138.0
Colombia,TFR,7.0,0.0,3.5
"Congo, Democratic Republic of the",TFR,0.0,0.0,0.0
Costa Rica,TFN,9.0,7.0,8.0
Dominica,TFR,0.0,0.0,0.0
Ecuador,VFR,26.0,0.0,13.0
Egypt,VFN,356.0,0.0,178.0
El Salvador,TFN,0.0,2.0,1.0
Finland,TCER,397.0,339.0,368.0
Ghana,TFN,0.0,0.0,0.0
Guinea,TFR,0.0,0.0,0.0
Guinea-Bissau,TFN,0.0,0.0,0.0
India,TFN,619.0,0.0,309.5
Indonesia,VFN,431.0,312.0,371.5
Israel,TFR,79.0,0.0,39.5
Italy,TFN,161.0,1.0,81.0
Japan,VFN,81.0,123.0,102.0
Jordan,TFN,14.0,0.0,7.0
Kazakhstan,VFR,35.0,14.0,24.5
"Korea, Republic of",VFN,71.0,74.0,72.5
Kuwait,VFN,842.0,0.0,421.0
Latvia,TCER,228.0,267.0,247.5
Lebanon,TFN,1039.0,2416.0,1727.5
Libya,VFN,0.0,0.0,0.0
Madagascar,TFN,6.0,0.0,3.0
Malaysia,TFN,478.0,534.0,506.0
Maldives,TFN,5.0,0.0,2.5
Mali,TFR,207.0,0.0,103.5
Malta,TFR,0.0,0.0,0.0
Mauritius,TFR,53.0,53.0,53.0
Mexico,TFR,164.0,0.0,82.0
Mongolia,TFN,3.0,0.0,1.5
Morocco,TFN,384.0,0.0,192.0
New Zealand,VFR,2.0,17.0,9.5
Nicaragua,TFN,1.0,0.0,0.5
Nigeria,VFN,0.0,0.0,0.0
Pakistan,TFN,0.0,0.0,0.0
Panama,VFR,100.0,0.0,50.0
Paraguay,TFN,0.0,0.0,0.0
Poland,TCER,540.0,0.0,270.0
Russian Federation,VFN,0.0,0.0,0.0
Rwanda,VFN,0.0,0.0,0.0
San Marino,VFN,0.0,0.0,0.0
Saudi Arabia,TFN,192.0,134.0,163.0
Seychelles,TFR,13.0,9.0,11.0
South Africa,TFR,659.0,800.0,729.5
Sri Lanka,TFR,19.0,21.0,20.0
Suriname,TFR,0.0,0.0,0.0
"Tanzania, United Republic of",VFR,227.0,0.0,113.5
Thailand,TFR,0.0,0.0,0.0
Togo,THSR,1070.0,1613.0,1341.5
Trinidad and Tobago,TFN,17.0,24.0,20.5
Turkey,TFN,519.0,0.0,259.5
Uganda,TFR,0.0,0.0,0.0
Ukraine,TFR,95.0,0.0,47.5
United Arab Emirates,THSN,1067.0,7088.0,4077.5
United States of America,TFR,2481.0,2750.0,2615.5
Uzbekistan,VFR,1.0,0.0,0.5
