Destination,SERIES,2018,2019,Average
Albania,VFN,2095.0,1408.0,1751.5
American Samoa,TFN,0.0,0.0,0.0
Angola,TFR,232.0,178.0,205.0
Antigua and Barbuda,TFR,55.0,0.0,27.5
Argentina,TFR,3121.0,0.0,1560.5
Armenia,TFR,826.0,0.0,413.0
Australia,VFR,447790.0,0.0,223895.0
Azerbaijan,VFR,1032.0,1554.0,1293.0
Bahamas,TFR,311.0,398.0,354.5
Bangladesh,TFN,0.0,0.0,0.0
Barbados,TFR,87.0,0.0,43.5
Belarus,VFN,266.0,470.0,368.0
Belgium,TCER,10428.0,0.0,5214.0
Benin,TFR,33.0,0.0,16.5
Bhutan,TFN,3886.0,4744.0,4315.0
Botswana,TFR,903.0,0.0,451.5
Brazil,TFR,6485.0,4264.0,5374.5
British Virgin Islands,TFR,0.0,0.0,0.0
Brunei Darussalam,TFN,14091.0,14789.0,14440.0
Bulgaria,TCER,1965.0,1625.0,1795.0
Cambodia,TFR,86251.0,0.0,43125.5
Canada,TFR,36340.0,0.0,18170.0
Cayman Islands,TFR,110.0,0.0,55.0
Chile,TFN,2004.0,2189.0,2096.5
China,VFN,978028.0,0.0,489014.0
Colombia,TFR,934.0,0.0,467.0
"Congo, Democratic Republic of the",TFR,0.0,0.0,0.0
Cook Islands,TFR,83.0,97.0,90.0
Costa Rica,TFN,505.0,537.0,521.0
Cuba,VFR,0.0,0.0,0.0
Dominica,TFR,8.0,0.0,4.0
Ecuador,VFR,604.0,0.0,302.0
Egypt,VFN,5219.0,0.0,2609.5
El Salvador,TFN,59.0,59.0,59.0
Eritrea,VFN,0.0,0.0,0.0
Finland,TCER,33934.0,30457.0,32195.5
French Polynesia,TFR,335.0,404.0,369.5
Grenada,TFN,55.0,40.0,47.5
Guam,TFR,1109.0,1548.0,1328.5
Guinea,TFR,0.0,0.0,0.0
Guyana,TFR,0.0,0.0,0.0
Honduras,TFN,0.0,0.0,0.0
"Hong Kong, China",TFR,481413.0,325341.0,403377.0
Iceland,TFN,10572.0,10637.0,10604.5
India,TFN,183581.0,0.0,91790.5
Indonesia,VFN,1768744.0,1934445.0,1851594.5
"Iran, Islamic Republic of",VFN,1053.0,0.0,526.5
Iraq,VFN,0.0,0.0,0.0
Israel,TFR,14036.0,0.0,7018.0
Italy,TFN,44269.0,22297.0,33283.0
Jamaica,TFR,203.0,193.0,198.0
Japan,VFN,437280.0,492252.0,464766.0
Jordan,TFN,6089.0,0.0,3044.5
Kazakhstan,VFR,1698.0,1872.0,1785.0
"Korea, Republic of",VFN,231897.0,246142.0,239019.5
Kuwait,VFN,1255.0,0.0,627.5
Lao People's Democratic Republic,VFN,7692.0,11730.0,9711.0
Latvia,TCER,1270.0,1295.0,1282.5
Lebanon,TFN,637.0,645.0,641.0
Libya,VFN,0.0,0.0,0.0
"Macao, China",THSR,71215.0,66497.0,68856.0
Madagascar,TFN,149.0,0.0,74.5
Malaysia,TFN,10615986.0,10163882.0,10389934.0
Maldives,TFN,13877.0,0.0,6938.5
Mali,TFR,14.0,0.0,7.0
Mauritius,TFR,2809.0,2794.0,2801.5
Mexico,TFR,3938.0,0.0,1969.0
Mongolia,TFN,2649.0,3010.0,2829.5
Morocco,TFN,4989.0,0.0,2494.5
Myanmar,TFN,58657.0,57890.0,58273.5
Nepal,TFN,9179.0,8028.0,8603.5
New Zealand,VFR,61464.0,64574.0,63019.0
Nicaragua,TFN,85.0,63.0,74.0
Nigeria,VFN,0.0,0.0,0.0
Northern Mariana Islands,VFN,0.0,0.0,0.0
Norway,TCER,19852.0,21218.0,20535.0
Oman,VFR,1775.0,0.0,887.5
Pakistan,TFN,0.0,0.0,0.0
Palau,TFN,188.0,0.0,94.0
Panama,VFR,595.0,0.0,297.5
Papua New Guinea,VFR,1449.0,1517.0,1483.0
Paraguay,TFN,62.0,0.0,31.0
Peru,TFR,2608.0,0.0,1304.0
Philippines,TFR,171796.0,158595.0,165195.5
Poland,TCER,6985.0,0.0,3492.5
Portugal,TCER,0.0,0.0,0.0
Reunion,TFR,0.0,0.0,0.0
Russian Federation,VFN,0.0,0.0,0.0
Rwanda,VFN,0.0,0.0,0.0
San Marino,VFN,436.0,0.0,218.0
Saudi Arabia,TFN,23797.0,25669.0,24733.0
Seychelles,TFR,424.0,383.0,403.5
Sierra Leone,TFR,12.0,0.0,6.0
South Africa,TFR,9093.0,10052.0,9572.5
Sri Lanka,TFR,19861.0,13871.0,16866.0
Suriname,TFR,0.0,0.0,0.0
Taiwan Province of China,TCER,413911.0,447127.0,430519.0
Tajikistan,VFR,210.0,0.0,105.0
"Tanzania, United Republic of",VFR,1626.0,0.0,813.0
Thailand,TFR,1168112.0,0.0,584056.0
Timor-Leste,TFR,1373.0,1147.0,1260.0
Togo,THSR,0.0,165.0,82.5
Trinidad and Tobago,TFN,155.0,164.0,159.5
Turkey,TFN,27966.0,0.0,13983.0
Turkmenistan,TFN,0.0,0.0,0.0
Uganda,TFR,0.0,0.0,0.0
Ukraine,TFR,845.0,0.0,422.5
United Arab Emirates,THSN,10895.0,53781.0,32338.0
United Kingdom,VFR,259412.0,233285.0,246348.5
United States of America,TFR,166348.0,185894.0,176121.0
Uzbekistan,VFR,1782.0,0.0,891.0
"Venezuela, Bolivarian Republic of",TFN,0.0,0.0,0.0
Viet Nam,VFR,286246.0,308969.0,297607.5
Yemen,TFN,0.0,0.0,0.0
Zimbabwe,VFR,6296.0,0.0,3148.0
