Destination,SERIES,2018,2019,Average
Antigua and Barbuda,TFR,790.0,0.0,395.0
Australia,VFR,0.0,0.0,0.0
Bahamas,TFR,60.0,83.0,71.5
Barbados,TFR,89.0,0.0,44.5
Belgium,TCER,25.0,0.0,12.5
Bonaire,TFR,0.0,0.0,0.0
Botswana,TFR,0.0,0.0,0.0
British Virgin Islands,TFR,0.0,0.0,0.0
Canada,TFR,611.0,0.0,305.5
Cayman Islands,TFR,14.0,0.0,7.0
Dominica,TFR,1608.0,0.0,804.0
Dominican Republic,TFR,3686.0,2308.0,2997.0
Ecuador,VFR,4.0,0.0,2.0
Grenada,TFN,47.0,32.0,39.5
Guyana,TFR,779.0,731.0,755.0
Jamaica,TFR,1431.0,1491.0,1461.0
Mexico,TFR,8.0,0.0,4.0
New Zealand,VFR,2.0,16.0,9.0
Saint Kitts and Nevis,TFR,0.0,0.0,0.0
Saint Lucia,TFR,433.0,0.0,216.5
Seychelles,TFR,0.0,0.0,0.0
South Africa,TFR,0.0,0.0,0.0
Suriname,TFR,0.0,0.0,0.0
Turks and Caicos Islands,TFR,0.0,0.0,0.0
Uganda,TFR,0.0,0.0,0.0
United Arab Emirates,THSN,2.0,0.0,1.0
United States of America,TFR,3045.0,0.0,1522.5
