Destination,SERIES,2018,2019,Average
Albania,VFN,11668.0,10463.0,11065.5
Angola,TFR,79.0,34.0,56.5
Argentina,TFR,2223.0,0.0,1111.5
Armenia,TFR,1726.0,0.0,863.0
Australia,VFR,4560.0,0.0,2280.0
Austria,TCER,237556.0,252736.0,245146.0
Azerbaijan,VFR,1454.0,1978.0,1716.0
Bahamas,TFR,459.0,459.0,459.0
Bangladesh,TFN,0.0,0.0,0.0
Barbados,TFR,283.0,0.0,141.5
Belarus,VFN,6680.0,6564.0,6622.0
Belgium,TCER,18475.0,0.0,9237.5
Bhutan,TFN,83.0,81.0,82.0
Bosnia and Herzegovina,TCER,4085.0,0.0,2042.5
Botswana,TFR,435.0,0.0,217.5
Brazil,TFR,2554.0,2952.0,2753.0
Brunei Darussalam,TFN,0.0,0.0,0.0
Bulgaria,TCER,41760.0,41461.0,41610.5
Cambodia,TFR,4120.0,0.0,2060.0
Canada,TFR,7894.0,0.0,3947.0
Cayman Islands,TFR,75.0,0.0,37.5
Chile,TFN,1433.0,1682.0,1557.5
China,VFN,14743.0,0.0,7371.5
Colombia,TFR,1265.0,0.0,632.5
"Congo, Democratic Republic of the",TFR,0.0,0.0,0.0
Costa Rica,TFN,1323.0,1296.0,1309.5
Croatia,TCER,430882.0,439538.0,435210.0
Cuba,VFR,0.0,0.0,0.0
Cyprus,TFR,28044.0,0.0,14022.0
Czech Republic,TCEN,730954.0,749631.0,740292.5
Ecuador,VFR,1070.0,0.0,535.0
Egypt,VFN,76219.0,0.0,38109.5
El Salvador,TFN,234.0,6472.0,3353.0
Estonia,TCER,2939.0,0.0,1469.5
Finland,TCER,4978.0,5419.0,5198.5
Georgia,THSR,1188.0,0.0,594.0
Germany,TCER,147400.0,160694.0,154047.0
Greece,TFR,0.0,0.0,0.0
Grenada,TFN,65.0,41.0,53.0
Guinea,TFR,0.0,0.0,0.0
Guyana,TFR,35.0,21.0,28.0
Honduras,TFN,0.0,0.0,0.0
Hungary,TFN,1710173.0,1358611.0,1534392.0
India,TFN,5597.0,0.0,2798.5
Indonesia,VFN,9058.0,9359.0,9208.5
Israel,TFR,20102.0,0.0,10051.0
Italy,TFN,435431.0,463086.0,449258.5
Japan,VFN,4862.0,5836.0,5349.0
Jordan,TFN,4598.0,0.0,2299.0
Kazakhstan,VFR,1942.0,2058.0,2000.0
"Korea, Republic of",VFN,3463.0,3508.0,3485.5
Kuwait,VFN,1535.0,0.0,767.5
Latvia,TCER,3867.0,3681.0,3774.0
Lebanon,TFN,1587.0,1938.0,1762.5
Libya,VFN,0.0,0.0,0.0
Liechtenstein,TCER,385.0,296.0,340.5
Luxembourg,TCER,1448.0,0.0,724.0
Madagascar,TFN,423.0,0.0,211.5
Malaysia,TFN,6047.0,5957.0,6002.0
Maldives,TFN,6584.0,0.0,3292.0
Mali,TFR,36.0,0.0,18.0
Malta,TFR,13612.0,13898.0,13755.0
Mauritius,TFR,4237.0,4234.0,4235.5
Mexico,TFR,5891.0,0.0,2945.5
"Moldova, Republic of",TCEN,549.0,507.0,528.0
Mongolia,TFN,395.0,402.0,398.5
Montenegro,TCEN,9347.0,0.0,4673.5
Morocco,TFN,12606.0,0.0,6303.0
Nepal,TFN,0.0,0.0,0.0
New Zealand,VFR,1392.0,1226.0,1309.0
Nicaragua,TFN,400.0,285.0,342.5
Nigeria,VFN,0.0,0.0,0.0
North Macedonia,TCEN,3793.0,3230.0,3511.5
Norway,TCER,13073.0,14703.0,13888.0
Oman,VFR,38677.0,0.0,19338.5
Pakistan,TFN,0.0,0.0,0.0
Panama,VFR,969.0,0.0,484.5
Paraguay,TFN,93.0,0.0,46.5
Peru,TFR,1777.0,0.0,888.5
Poland,TCER,95559.0,0.0,47779.5
Romania,TCER,18004.0,18140.0,18072.0
Russian Federation,VFN,24043.0,0.0,12021.5
Rwanda,VFN,0.0,0.0,0.0
San Marino,VFN,3293.0,0.0,1646.5
Saudi Arabia,TFN,755.0,1618.0,1186.5
Serbia,TCEN,14347.0,15475.0,14911.0
Seychelles,TFR,1924.0,2065.0,1994.5
Sierra Leone,TFR,0.0,0.0,0.0
Slovenia,TCEN,58886.0,64765.0,61825.5
South Africa,TFR,2791.0,2852.0,2821.5
Sri Lanka,TFR,5289.0,4944.0,5116.5
Suriname,TFR,0.0,0.0,0.0
Sweden,TCER,21594.0,0.0,10797.0
Switzerland,TCER,21428.0,22013.0,21720.5
Tajikistan,VFR,124.0,0.0,62.0
"Tanzania, United Republic of",VFR,4639.0,0.0,2319.5
Thailand,TFR,0.0,0.0,0.0
Togo,THSR,238.0,68.0,153.0
Trinidad and Tobago,TFN,68.0,89.0,78.5
Tunisia,TFN,17611.0,19738.0,18674.5
Turkey,TFN,156725.0,0.0,78362.5
Turkmenistan,TFN,0.0,0.0,0.0
Uganda,TFR,0.0,0.0,0.0
Ukraine,TFR,313891.0,0.0,156945.5
United Arab Emirates,THSN,9844.0,27164.0,18504.0
United Kingdom,VFR,119709.0,112570.0,116139.5
United States of America,TFR,49791.0,53447.0,51619.0
Uzbekistan,VFR,617.0,0.0,308.5
