Destination,SERIES,2018,2019,Average
Albania,VFN,16795.0,18185.0,17490.0
Angola,TFR,40.0,15.0,27.5
Argentina,TFR,1942.0,0.0,971.0
Armenia,TFR,918.0,0.0,459.0
Australia,VFR,3410.0,0.0,1705.0
Austria,TCER,172827.0,179621.0,176224.0
Azerbaijan,VFR,586.0,770.0,678.0
Bahamas,TFR,200.0,178.0,189.0
Bangladesh,TFN,0.0,0.0,0.0
Barbados,TFR,142.0,0.0,71.0
Belarus,VFN,1796.0,1964.0,1880.0
Belgium,TCER,13978.0,0.0,6989.0
Benin,TFR,42.0,0.0,21.0
Bhutan,TFN,27.0,101.0,64.0
Bosnia and Herzegovina,TCER,65002.0,0.0,32501.0
Botswana,TFR,307.0,0.0,153.5
Brazil,TFR,2041.0,2140.0,2090.5
Bulgaria,TCER,13579.0,11984.0,12781.5
Cambodia,TFR,1565.0,0.0,782.5
Canada,TFR,4621.0,0.0,2310.5
Cayman Islands,TFR,26.0,0.0,13.0
Chile,TFN,1067.0,1089.0,1078.0
China,VFN,7972.0,0.0,3986.0
Colombia,TFR,833.0,0.0,416.5
"Congo, Democratic Republic of the",TFR,0.0,0.0,0.0
Cook Islands,TFR,62.0,68.0,65.0
Costa Rica,TFN,803.0,838.0,820.5
Croatia,TCER,1364252.0,1426246.0,1395249.0
Cuba,VFR,0.0,0.0,0.0
Cyprus,TFR,0.0,0.0,0.0
Czech Republic,TCEN,40720.0,43423.0,42071.5
Dominica,TFR,12.0,0.0,6.0
Ecuador,VFR,290.0,0.0,145.0
Egypt,VFN,18537.0,0.0,9268.5
El Salvador,TFN,33.0,55.0,44.0
Estonia,TCER,2573.0,0.0,1286.5
Finland,TCER,4028.0,4316.0,4172.0
Germany,TCER,118873.0,127225.0,123049.0
Greece,TFR,0.0,0.0,0.0
Guinea,TFR,0.0,0.0,0.0
Guyana,TFR,8.0,7.0,7.5
Honduras,TFN,0.0,0.0,0.0
Hungary,TFN,13758.0,12963.0,13360.5
India,TFN,20.0,0.0,10.0
Indonesia,VFN,4472.0,4747.0,4609.5
"Iran, Islamic Republic of",VFN,1036.0,0.0,518.0
Iraq,VFN,0.0,0.0,0.0
Israel,TFR,3402.0,0.0,1701.0
Italy,TFN,120046.0,125106.0,122576.0
Japan,VFN,3187.0,3347.0,3267.0
Jordan,TFN,785.0,0.0,392.5
Kazakhstan,VFR,856.0,837.0,846.5
"Korea, Republic of",VFN,1941.0,1478.0,1709.5
Kuwait,VFN,419.0,0.0,209.5
Latvia,TCER,3032.0,3177.0,3104.5
Lebanon,TFN,638.0,736.0,687.0
Libya,VFN,0.0,0.0,0.0
Liechtenstein,TCER,187.0,257.0,222.0
Luxembourg,TCER,1124.0,0.0,562.0
Madagascar,TFN,423.0,0.0,211.5
Malaysia,TFN,2529.0,2329.0,2429.0
Maldives,TFN,3167.0,0.0,1583.5
Mali,TFR,39.0,0.0,19.5
Malta,TFR,8958.0,9759.0,9358.5
Mauritius,TFR,1741.0,2211.0,1976.0
Mexico,TFR,2610.0,0.0,1305.0
"Moldova, Republic of",TCEN,689.0,595.0,642.0
Mongolia,TFN,133.0,162.0,147.5
Montenegro,TCEN,21928.0,0.0,10964.0
Morocco,TFN,6757.0,0.0,3378.5
Nepal,TFN,0.0,0.0,0.0
New Zealand,VFR,954.0,894.0,924.0
Nicaragua,TFN,218.0,180.0,199.0
North Macedonia,TCEN,16890.0,17954.0,17422.0
Norway,TCER,8540.0,7570.0,8055.0
Pakistan,TFN,0.0,0.0,0.0
Panama,VFR,505.0,0.0,252.5
Paraguay,TFN,52.0,0.0,26.0
Peru,TFR,1157.0,0.0,578.5
Poland,TCER,17079.0,0.0,8539.5
Romania,TCER,13034.0,13431.0,13232.5
Russian Federation,VFN,0.0,0.0,0.0
Rwanda,VFN,0.0,0.0,0.0
San Marino,VFN,9493.0,0.0,4746.5
Saudi Arabia,TFN,471.0,1003.0,737.0
Serbia,TCEN,86897.0,89930.0,88413.5
Seychelles,TFR,1097.0,1727.0,1412.0
Sierra Leone,TFR,0.0,0.0,0.0
Slovakia,TCEN,18162.0,22403.0,20282.5
South Africa,TFR,1260.0,1381.0,1320.5
Sri Lanka,TFR,3902.0,2926.0,3414.0
Suriname,TFR,0.0,0.0,0.0
Sweden,TCER,4988.0,0.0,2494.0
Switzerland,TCER,15762.0,15811.0,15786.5
Tajikistan,VFR,0.0,0.0,0.0
"Tanzania, United Republic of",VFR,1590.0,0.0,795.0
Thailand,TFR,0.0,0.0,0.0
Togo,THSR,52.0,60.0,56.0
Trinidad and Tobago,TFN,35.0,50.0,42.5
Tunisia,TFN,6305.0,4314.0,5309.5
Turkey,TFN,40263.0,0.0,20131.5
Turkmenistan,TFN,0.0,0.0,0.0
Uganda,TFR,0.0,0.0,0.0
Ukraine,TFR,6547.0,0.0,3273.5
United Arab Emirates,THSN,2577.0,6482.0,4529.5
United Kingdom,VFR,33888.0,51395.0,42641.5
United States of America,TFR,25335.0,28108.0,26721.5
Uzbekistan,VFR,434.0,0.0,217.0
"Venezuela, Bolivarian Republic of",TFN,0.0,0.0,0.0
