Destination,SERIES,2018,2019,Average
American Samoa,TFN,0.0,0.0,0.0
Angola,TFR,0.0,0.0,0.0
Antigua and Barbuda,TFR,0.0,0.0,0.0
Australia,VFR,7180.0,0.0,3590.0
Azerbaijan,VFR,2.0,3.0,2.5
Bahamas,TFR,0.0,2.0,1.0
Barbados,TFR,1.0,0.0,0.5
Belarus,VFN,0.0,65.0,32.5
Belgium,TCER,123.0,0.0,61.5
Bhutan,TFN,0.0,2.0,1.0
Botswana,TFR,145.0,0.0,72.5
Bulgaria,TCER,15.0,13.0,14.0
Canada,TFR,71.0,0.0,35.5
Cayman Islands,TFR,0.0,0.0,0.0
China,VFN,744.0,0.0,372.0
Colombia,TFR,1.0,0.0,0.5
Costa Rica,TFN,0.0,2.0,1.0
Cuba,VFR,0.0,0.0,0.0
Dominica,TFR,0.0,0.0,0.0
Ecuador,VFR,18.0,0.0,9.0
Finland,TCER,37.0,27.0,32.0
India,TFN,0.0,0.0,0.0
Indonesia,VFN,192.0,224.0,208.0
Israel,TFR,39.0,0.0,19.5
Japan,VFN,290.0,247.0,268.5
Jordan,TFN,6.0,0.0,3.0
Kiribati,TFN,0.0,0.0,0.0
"Korea, Republic of",VFN,178.0,145.0,161.5
Lebanon,TFN,0.0,0.0,0.0
Malaysia,TFN,340.0,249.0,294.5
Maldives,TFN,1.0,0.0,0.5
Mauritius,TFR,4.0,10.0,7.0
Mexico,TFR,82.0,0.0,41.0
Mongolia,TFN,10.0,6.0,8.0
New Zealand,VFR,1663.0,1620.0,1641.5
Northern Mariana Islands,VFN,0.0,0.0,0.0
Palau,TFN,11.0,0.0,5.5
Paraguay,TFN,0.0,0.0,0.0
Poland,TCER,0.0,0.0,0.0
Russian Federation,VFN,0.0,0.0,0.0
Rwanda,VFN,0.0,0.0,0.0
Seychelles,TFR,0.0,0.0,0.0
South Africa,TFR,9.0,9.0,9.0
Sri Lanka,TFR,13.0,5.0,9.0
Suriname,TFR,0.0,0.0,0.0
"Tanzania, United Republic of",VFR,33.0,0.0,16.5
Thailand,TFR,0.0,0.0,0.0
Trinidad and Tobago,TFN,3.0,3.0,3.0
Turkey,TFN,6.0,0.0,3.0
Uganda,TFR,0.0,0.0,0.0
Ukraine,TFR,0.0,0.0,0.0
United Arab Emirates,THSN,78.0,627.0,352.5
United States of America,TFR,196.0,204.0,200.0
Vanuatu,TFR,0.0,0.0,0.0
