Destination,SERIES,2018,2019,Average
Albania,VFN,0.0,0.0,0.0
Angola,TFR,80.0,48.0,64.0
Antigua and Barbuda,TFR,1.0,0.0,0.5
Australia,VFR,180.0,0.0,90.0
Azerbaijan,VFR,231.0,253.0,242.0
Bahamas,TFR,0.0,0.0,0.0
Bangladesh,TFN,0.0,0.0,0.0
Barbados,TFR,0.0,0.0,0.0
Belarus,VFN,6.0,16.0,11.0
Belgium,TCER,282.0,0.0,141.0
Benin,TFR,87.0,0.0,43.5
Bhutan,TFN,0.0,0.0,0.0
Botswana,TFR,763.0,0.0,381.5
Bulgaria,TCER,11.0,18.0,14.5
Canada,TFR,186.0,0.0,93.0
Cayman Islands,TFR,1.0,0.0,0.5
Chile,TFN,2.0,1.0,1.5
China,VFN,1137.0,0.0,568.5
Colombia,TFR,7.0,0.0,3.5
"Congo, Democratic Republic of the",TFR,0.0,0.0,0.0
Costa Rica,TFN,22.0,7.0,14.5
Ecuador,VFR,57.0,0.0,28.5
Egypt,VFN,2998.0,0.0,1499.0
Eritrea,VFN,0.0,0.0,0.0
Ethiopia,TFR,5618.0,0.0,2809.0
Finland,TCER,145.0,110.0,127.5
Guinea,TFR,0.0,0.0,0.0
India,TFN,5619.0,0.0,2809.5
Indonesia,VFN,59.0,44.0,51.5
"Iran, Islamic Republic of",VFN,88.0,0.0,44.0
Israel,TFR,0.0,0.0,0.0
Italy,TFN,170.0,0.0,85.0
Japan,VFN,50.0,86.0,68.0
Jordan,TFN,5.0,0.0,2.5
Kazakhstan,VFR,35.0,84.0,59.5
"Korea, Republic of",VFN,45.0,54.0,49.5
Kuwait,VFN,1907.0,0.0,953.5
Lebanon,TFN,436.0,348.0,392.0
Libya,VFN,0.0,0.0,0.0
Madagascar,TFN,10.0,0.0,5.0
Malaysia,TFN,3472.0,3048.0,3260.0
Maldives,TFN,37.0,0.0,18.5
Mali,TFR,7.0,0.0,3.5
Malta,TFR,0.0,0.0,0.0
Mauritius,TFR,15.0,31.0,23.0
Mexico,TFR,33.0,0.0,16.5
Mongolia,TFN,5.0,6.0,5.5
Morocco,TFN,300.0,0.0,150.0
New Zealand,VFR,28.0,70.0,49.0
Nicaragua,TFN,7.0,12.0,9.5
Nigeria,VFN,0.0,0.0,0.0
Pakistan,TFN,0.0,0.0,0.0
Panama,VFR,6.0,0.0,3.0
Paraguay,TFN,0.0,0.0,0.0
Poland,TCER,25.0,0.0,12.5
Russian Federation,VFN,0.0,0.0,0.0
Rwanda,VFN,0.0,0.0,0.0
San Marino,VFN,0.0,0.0,0.0
Saudi Arabia,TFN,10891.0,5816.0,8353.5
Seychelles,TFR,34.0,77.0,55.5
Sierra Leone,TFR,0.0,0.0,0.0
South Africa,TFR,1536.0,1822.0,1679.0
Sri Lanka,TFR,92.0,82.0,87.0
Suriname,TFR,0.0,0.0,0.0
"Tanzania, United Republic of",VFR,643.0,0.0,321.5
Thailand,TFR,0.0,0.0,0.0
Trinidad and Tobago,TFN,0.0,0.0,0.0
Turkey,TFN,11422.0,0.0,5711.0
Uganda,TFR,0.0,0.0,0.0
Ukraine,TFR,70.0,0.0,35.0
United Arab Emirates,THSN,7744.0,19886.0,13815.0
United States of America,TFR,142.0,172.0,157.0
Uzbekistan,VFR,5.0,0.0,2.5
Yemen,TFN,0.0,0.0,0.0
