Destination,SERIES,2018,2019,Average
Albania,VFN,1117.0,1657.0,1387.0
American Samoa,TFN,0.0,0.0,0.0
Angola,TFR,8710.0,5401.0,7055.5
Antigua and Barbuda,TFR,363.0,0.0,181.5
Argentina,TFR,7585.0,0.0,3792.5
Armenia,TFR,612.0,0.0,306.0
Australia,VFR,59050.0,0.0,29525.0
Austria,TCER,25660.0,24334.0,24997.0
Azerbaijan,VFR,1172.0,1322.0,1247.0
Bahamas,TFR,2041.0,2296.0,2168.5
Bangladesh,TFN,0.0,0.0,0.0
Barbados,TFR,602.0,0.0,301.0
Belarus,VFN,368.0,423.0,395.5
Belgium,TCER,11530.0,0.0,5765.0
Benin,TFR,983.0,0.0,491.5
Bhutan,TFN,98.0,102.0,100.0
Bosnia and Herzegovina,TCER,767.0,0.0,383.5
Botswana,TFR,596304.0,0.0,298152.0
Brazil,TFR,21284.0,24869.0,23076.5
British Virgin Islands,TFR,0.0,0.0,0.0
Bulgaria,TCER,1829.0,2090.0,1959.5
Cabo Verde,THSR,841.0,820.0,830.5
Cambodia,TFR,6599.0,0.0,3299.5
Canada,TFR,21453.0,0.0,10726.5
Cayman Islands,TFR,634.0,0.0,317.0
Central African Republic,TFN,0.0,0.0,0.0
Chile,TFN,3446.0,3607.0,3526.5
China,VFN,83621.0,0.0,41810.5
Colombia,TFR,1105.0,0.0,552.5
Comoros,TFN,0.0,0.0,0.0
"Congo, Democratic Republic of the",TFR,0.0,0.0,0.0
Costa Rica,TFN,1573.0,1697.0,1635.0
Croatia,TCER,22319.0,22060.0,22189.5
Cyprus,TFR,6645.0,0.0,3322.5
Czech Republic,TCEN,13747.0,12648.0,13197.5
Dominica,TFR,52.0,0.0,26.0
Ecuador,VFR,691.0,0.0,345.5
Egypt,VFN,22011.0,0.0,11005.5
El Salvador,TFN,64.0,48.0,56.0
Eritrea,VFN,0.0,0.0,0.0
Estonia,TCER,661.0,0.0,330.5
Eswatini,THSR,136825.0,0.0,68412.5
Ethiopia,TFR,17145.0,0.0,8572.5
Finland,TCER,3333.0,4256.0,3794.5
Germany,TCER,80119.0,76657.0,78388.0
Ghana,TFN,0.0,0.0,0.0
Greece,TFR,0.0,0.0,0.0
Grenada,TFN,203.0,245.0,224.0
Guinea,TFR,0.0,0.0,0.0
Guinea-Bissau,TFN,0.0,0.0,0.0
Guyana,TFR,0.0,0.0,0.0
Honduras,TFN,0.0,0.0,0.0
"Hong Kong, China",TFR,37146.0,32057.0,34601.5
India,TFN,58613.0,0.0,29306.5
Indonesia,VFN,41962.0,47657.0,44809.5
Iraq,VFN,0.0,0.0,0.0
Israel,TFR,27354.0,0.0,13677.0
Italy,TFN,33298.0,17763.0,25530.5
Japan,VFN,9793.0,19543.0,14668.0
Jordan,TFN,10844.0,0.0,5422.0
Kazakhstan,VFR,822.0,881.0,851.5
"Korea, Republic of",VFN,11795.0,13144.0,12469.5
Kuwait,VFN,5478.0,0.0,2739.0
Latvia,TCER,428.0,550.0,489.0
Lebanon,TFN,3260.0,2255.0,2757.5
Lesotho,VFR,1056433.0,1009982.0,1033207.5
Libya,VFN,0.0,0.0,0.0
Liechtenstein,TCER,113.0,126.0,119.5
Luxembourg,TCER,1023.0,0.0,511.5
Madagascar,TFN,2513.0,0.0,1256.5
Malaysia,TFN,21977.0,22674.0,22325.5
Maldives,TFN,7751.0,0.0,3875.5
Mali,TFR,2412.0,0.0,1206.0
Malta,TFR,0.0,0.0,0.0
Mauritius,TFR,128097.0,118556.0,123326.5
Mexico,TFR,5050.0,0.0,2525.0
Monaco,THSN,0.0,0.0,0.0
Mongolia,TFN,481.0,495.0,488.0
Montenegro,TCEN,947.0,0.0,473.5
Morocco,TFN,6648.0,0.0,3324.0
Mozambique,VFR,1871147.0,1043339.0,1457243.0
Namibia,TFN,299319.0,276188.0,287753.5
Nepal,TFN,0.0,0.0,0.0
New Zealand,VFR,22117.0,26296.0,24206.5
Nicaragua,TFN,258.0,294.0,276.0
Nigeria,VFN,0.0,0.0,0.0
North Macedonia,TCEN,369.0,288.0,328.5
Northern Mariana Islands,VFN,0.0,0.0,0.0
Norway,TCER,6886.0,7009.0,6947.5
Pakistan,TFN,0.0,0.0,0.0
Panama,VFR,1824.0,0.0,912.0
Paraguay,TFN,263.0,0.0,131.5
Peru,TFR,3008.0,0.0,1504.0
Philippines,TFR,7543.0,8553.0,8048.0
Poland,TCER,4296.0,0.0,2148.0
Portugal,TCER,27130.0,31889.0,29509.5
Reunion,TFR,0.0,0.0,0.0
Romania,TCER,2517.0,2653.0,2585.0
Russian Federation,VFN,15414.0,0.0,7707.0
Rwanda,VFN,0.0,0.0,0.0
San Marino,VFN,25.0,0.0,12.5
Sao Tome and Principe,TFN,0.0,0.0,0.0
Saudi Arabia,TFN,38509.0,39921.0,39215.0
Serbia,TCEN,1826.0,1504.0,1665.0
Seychelles,TFR,12399.0,11909.0,12154.0
Sierra Leone,TFR,2014.0,0.0,1007.0
Singapore,VFR,38411.0,42737.0,40574.0
Slovakia,TCEN,1579.0,1570.0,1574.5
Slovenia,TCEN,4530.0,4496.0,4513.0
Sri Lanka,TFR,7416.0,7132.0,7274.0
Suriname,TFR,0.0,0.0,0.0
Sweden,TCER,6627.0,0.0,3313.5
Switzerland,TCER,22911.0,23461.0,23186.0
Taiwan Province of China,TCER,3828.0,3990.0,3909.0
Tajikistan,VFR,79.0,0.0,39.5
"Tanzania, United Republic of",VFR,54107.0,0.0,27053.5
Thailand,TFR,97071.0,0.0,48535.5
Togo,THSR,4234.0,10320.0,7277.0
Tonga,TFR,0.0,0.0,0.0
Trinidad and Tobago,TFN,480.0,447.0,463.5
Turkey,TFN,53158.0,0.0,26579.0
Uganda,TFR,0.0,0.0,0.0
Ukraine,TFR,1326.0,0.0,663.0
United Arab Emirates,THSN,156984.0,165326.0,161155.0
United Kingdom,VFR,264986.0,217117.0,241051.5
United States of America,TFR,134042.0,130313.0,132177.5
Uzbekistan,VFR,191.0,0.0,95.5
"Venezuela, Bolivarian Republic of",TFN,0.0,0.0,0.0
Viet Nam,VFR,0.0,0.0,0.0
Yemen,TFN,0.0,0.0,0.0
