Destination,SERIES,2018,2019,Average
Armenia,TFR,3.0,0.0,1.5
Australia,VFR,40.0,0.0,20.0
Belarus,VFN,0.0,12.0,6.0
Belgium,TCER,21.0,0.0,10.5
Bulgaria,TCER,2.0,0.0,1.0
China,VFN,2168.0,0.0,1084.0
Colombia,TFR,0.0,0.0,0.0
Ecuador,VFR,3.0,0.0,1.5
Indonesia,VFN,24.0,30.0,27.0
Italy,TFN,326.0,33.0,179.5
Japan,VFN,112.0,147.0,129.5
"Korea, Republic of",VFN,50.0,56.0,53.0
Kuwait,VFN,66.0,0.0,33.0
Maldives,TFN,9.0,0.0,4.5
Mali,TFR,8.0,0.0,4.0
Mexico,TFR,46.0,0.0,23.0
Mongolia,TFN,2.0,1.0,1.5
New Zealand,VFR,8.0,57.0,32.5
Nigeria,VFN,0.0,0.0,0.0
Seychelles,TFR,33.0,85.0,59.0
South Africa,TFR,868.0,1026.0,947.0
Sri Lanka,TFR,17.0,15.0,16.0
"Tanzania, United Republic of",VFR,1610.0,0.0,805.0
Trinidad and Tobago,TFN,0.0,0.0,0.0
Turkey,TFN,0.0,0.0,0.0
Uganda,TFR,0.0,0.0,0.0
Ukraine,TFR,11.0,0.0,5.5
United Arab Emirates,THSN,473.0,2205.0,1339.0
United States of America,TFR,411.0,0.0,205.5
