Destination,SERIES,2018,2019,Average
Albania,VFN,24675.0,28750.0,26712.5
Algeria,VFN,53589.0,35828.0,44708.5
American Samoa,TFN,0.0,0.0,0.0
Andorra,TFR,2165663.0,0.0,1082831.5
Angola,TFR,3352.0,2631.0,2991.5
Antigua and Barbuda,TFR,704.0,0.0,352.0
Argentina,TFR,199064.0,0.0,99532.0
Armenia,TFR,6922.0,0.0,3461.0
Aruba,TFR,1865.0,0.0,932.5
Australia,VFR,47010.0,0.0,23505.0
Austria,TCER,390079.0,443451.0,416765.0
Azerbaijan,VFR,3806.0,4725.0,4265.5
Bahamas,TFR,4267.0,4663.0,4465.0
Bangladesh,TFN,0.0,0.0,0.0
Barbados,TFR,1323.0,0.0,661.5
Belarus,VFN,5688.0,6989.0,6338.5
Belgium,TCER,395448.0,0.0,197724.0
Belize,TFN,2441.0,0.0,1220.5
Benin,TFR,1990.0,0.0,995.0
Bhutan,TFN,1397.0,1659.0,1528.0
"Bolivia, Plurinational State of",TFN,41322.0,0.0,20661.0
Bonaire,TFR,0.0,0.0,0.0
Bosnia and Herzegovina,TCER,14292.0,0.0,7146.0
Botswana,TFR,6479.0,0.0,3239.5
Brazil,TFR,147159.0,145325.0,146242.0
British Virgin Islands,TFR,0.0,0.0,0.0
Brunei Darussalam,TFN,369.0,615.0,492.0
Bulgaria,TCER,59870.0,67660.0,63765.0
Burkina Faso,THSR,1887.0,0.0,943.5
Cabo Verde,THSR,13916.0,18301.0,16108.5
Cambodia,TFR,46835.0,0.0,23417.5
Canada,TFR,90056.0,0.0,45028.0
Cayman Islands,TFR,594.0,0.0,297.0
Chile,TFN,81281.0,86681.0,83981.0
China,VFN,167988.0,0.0,83994.0
Colombia,TFR,128240.0,0.0,64120.0
"Congo, Democratic Republic of the",TFR,0.0,0.0,0.0
Cook Islands,TFR,491.0,479.0,485.0
Costa Rica,TFN,68634.0,69745.0,69189.5
Croatia,TCER,285501.0,308704.0,297102.5
Cuba,VFR,136613.0,0.0,68306.5
Curaçao,TFR,1055.0,0.0,527.5
Cyprus,TFR,9466.0,0.0,4733.0
Czech Republic,TCEN,266517.0,261910.0,264213.5
Denmark,TCER,260193.0,258389.0,259291.0
Dominica,TFR,222.0,0.0,111.0
Dominican Republic,TFR,159210.0,165717.0,162463.5
Ecuador,VFR,143961.0,0.0,71980.5
Egypt,VFN,66164.0,0.0,33082.0
El Salvador,TFN,13229.0,15134.0,14181.5
Estonia,TCER,39881.0,0.0,19940.5
Fiji,TFR,1561.0,1549.0,1555.0
Finland,TCER,72689.0,74347.0,73518.0
France,TFR,6734267.0,0.0,3367133.5
French Polynesia,TFR,2530.0,2775.0,2652.5
Gambia,TFN,7588.0,0.0,3794.0
Georgia,THSR,14553.0,0.0,7276.5
Germany,TCER,1305625.0,1388498.0,1347061.5
Greece,TFR,0.0,0.0,0.0
Grenada,TFN,309.0,284.0,296.5
Guadeloupe,TFR,0.0,0.0,0.0
Guinea,TFR,0.0,0.0,0.0
Guinea-Bissau,TFN,0.0,0.0,0.0
Guyana,TFR,184.0,225.0,204.5
Honduras,TFN,0.0,0.0,0.0
"Hong Kong, China",TFR,45668.0,41050.0,43359.0
Iceland,TFN,65589.0,59141.0,62365.0
India,TFN,84356.0,0.0,42178.0
Indonesia,VFN,85560.0,83373.0,84466.5
"Iran, Islamic Republic of",VFN,8535.0,0.0,4267.5
Iraq,VFN,0.0,0.0,0.0
Ireland,TFR,404000.0,0.0,202000.0
Israel,TFR,77722.0,0.0,38861.0
Italy,TFN,3021409.0,3226858.0,3124133.5
Jamaica,TFR,6722.0,4987.0,5854.5
Japan,VFN,118901.0,130243.0,124572.0
Jordan,TFN,22886.0,0.0,11443.0
Kazakhstan,VFR,4468.0,4832.0,4650.0
Kenya,VFR,0.0,0.0,0.0
"Korea, Republic of",VFN,27314.0,30656.0,28985.0
Kuwait,VFN,10858.0,0.0,5429.0
Kyrgyzstan,VFR,2416.0,0.0,1208.0
Lao People's Democratic Republic,VFN,5309.0,6157.0,5733.0
Latvia,TCER,39801.0,40610.0,40205.5
Lebanon,TFN,18847.0,20383.0,19615.0
Libya,VFN,0.0,0.0,0.0
Liechtenstein,TCER,773.0,826.0,799.5
Lithuania,TFR,43000.0,0.0,21500.0
Luxembourg,TCER,22865.0,0.0,11432.5
Madagascar,TFN,3653.0,0.0,1826.5
Malaysia,TFN,42267.0,43616.0,42941.5
Maldives,TFN,31780.0,0.0,15890.0
Mali,TFR,5224.0,0.0,2612.0
Malta,TFR,99046.0,116296.0,107671.0
Martinique,TFR,0.0,3496.0,1748.0
Mauritius,TFR,15063.0,14307.0,14685.0
Mexico,TFR,287972.0,0.0,143986.0
"Moldova, Republic of",TCEN,1411.0,1641.0,1526.0
Monaco,THSN,4634.0,5073.0,4853.5
Mongolia,TFN,1969.0,2080.0,2024.5
Montenegro,TCEN,8714.0,0.0,4357.0
Montserrat,TFR,0.0,0.0,0.0
Morocco,TFN,814069.0,0.0,407034.5
Myanmar,TFN,11315.0,13689.0,12502.0
Namibia,TFN,9272.0,7195.0,8233.5
Nepal,TFN,20210.0,19057.0,19633.5
Netherlands,TCER,495000.0,0.0,247500.0
New Zealand,VFR,14332.0,14172.0,14252.0
Nicaragua,TFN,7743.0,7058.0,7400.5
Nigeria,VFN,0.0,0.0,0.0
North Macedonia,TCEN,6303.0,10184.0,8243.5
Northern Mariana Islands,VFN,0.0,0.0,0.0
Norway,TCER,192426.0,188713.0,190569.5
Oman,VFR,9482.0,0.0,4741.0
Pakistan,TFN,0.0,0.0,0.0
Palau,TFN,219.0,0.0,109.5
Panama,VFR,71637.0,0.0,35818.5
Paraguay,TFN,15259.0,0.0,7629.5
Peru,TFR,147830.0,0.0,73915.0
Philippines,TFR,44133.0,49748.0,46940.5
Poland,TCER,212901.0,0.0,106450.5
Portugal,TCER,2238267.0,2454770.0,2346518.5
Reunion,TFR,0.0,0.0,0.0
Romania,TCER,125139.0,122704.0,123921.5
Russian Federation,VFN,116264.0,0.0,58132.0
Rwanda,VFN,0.0,0.0,0.0
Saint Kitts and Nevis,TFR,0.0,0.0,0.0
Saint Lucia,TFR,449.0,0.0,224.5
