Destination,SERIES,2018,2019,Average
Albania,VFN,377.0,310.0,343.5
American Samoa,TFN,0.0,0.0,0.0
Angola,TFR,81.0,67.0,74.0
Antigua and Barbuda,TFR,35.0,0.0,17.5
Armenia,TFR,61.0,0.0,30.5
Australia,VFR,42040.0,0.0,21020.0
Azerbaijan,VFR,1669.0,2818.0,2243.5
Bahamas,TFR,81.0,52.0,66.5
Bangladesh,TFN,0.0,0.0,0.0
Barbados,TFR,70.0,0.0,35.0
Belarus,VFN,1357.0,1857.0,1607.0
Belgium,TCER,976.0,0.0,488.0
Benin,TFR,25.0,0.0,12.5
Bhutan,TFN,63.0,316.0,189.5
Botswana,TFR,329.0,0.0,164.5
British Virgin Islands,TFR,0.0,0.0,0.0
Brunei Darussalam,TFN,285.0,278.0,281.5
Bulgaria,TCER,186.0,157.0,171.5
Cambodia,TFR,3898.0,0.0,1949.0
Canada,TFR,5925.0,0.0,2962.5
Cayman Islands,TFR,10.0,0.0,5.0
Chile,TFN,67.0,45.0,56.0
China,VFN,63043.0,0.0,31521.5
Colombia,TFR,107.0,0.0,53.5
"Congo, Democratic Republic of the",TFR,0.0,0.0,0.0
Costa Rica,TFN,65.0,123.0,94.0
Cuba,VFR,0.0,0.0,0.0
Dominica,TFR,0.0,0.0,0.0
Ecuador,VFR,375.0,0.0,187.5
Egypt,VFN,3630.0,0.0,1815.0
El Salvador,TFN,24.0,22.0,23.0
Finland,TCER,448.0,512.0,480.0
Guinea,TFR,0.0,0.0,0.0
Guyana,TFR,0.0,0.0,0.0
Honduras,TFN,0.0,0.0,0.0
India,TFN,353684.0,0.0,176842.0
Indonesia,VFN,32508.0,28907.0,30707.5
"Iran, Islamic Republic of",VFN,1298.0,0.0,649.0
Iraq,VFN,0.0,0.0,0.0
Israel,TFR,3822.0,0.0,1911.0
Italy,TFN,10897.0,11162.0,11029.5
Japan,VFN,27789.0,28380.0,28084.5
Jordan,TFN,2644.0,0.0,1322.0
Kazakhstan,VFR,187.0,181.0,184.0
"Korea, Republic of",VFN,17901.0,18338.0,18119.5
Kuwait,VFN,87879.0,0.0,43939.5
Lao People's Democratic Republic,VFN,0.0,0.0,0.0
Latvia,TCER,357.0,440.0,398.5
Lebanon,TFN,4578.0,4147.0,4362.5
Libya,VFN,0.0,0.0,0.0
Madagascar,TFN,1094.0,0.0,547.0
Malaysia,TFN,28376.0,26058.0,27217.0
Maldives,TFN,12792.0,0.0,6396.0
Mali,TFR,81.0,0.0,40.5
Mauritius,TFR,535.0,511.0,523.0
Mexico,TFR,300.0,0.0,150.0
Mongolia,TFN,142.0,176.0,159.0
Morocco,TFN,937.0,0.0,468.5
Nepal,TFN,70610.0,55869.0,63239.5
New Zealand,VFR,3726.0,3611.0,3668.5
Nicaragua,TFN,11.0,4.0,7.5
Nigeria,VFN,0.0,0.0,0.0
Northern Mariana Islands,VFN,0.0,0.0,0.0
Pakistan,TFN,0.0,0.0,0.0
Panama,VFR,112.0,0.0,56.0
Paraguay,TFN,7.0,0.0,3.5
Philippines,TFR,6446.0,6412.0,6429.0
Poland,TCER,433.0,0.0,216.5
Russian Federation,VFN,0.0,0.0,0.0
Rwanda,VFN,0.0,0.0,0.0
San Marino,VFN,78.0,0.0,39.0
Saudi Arabia,TFN,46162.0,41455.0,43808.5
Seychelles,TFR,863.0,770.0,816.5
Sierra Leone,TFR,95.0,0.0,47.5
Singapore,VFR,113802.0,98740.0,106271.0
South Africa,TFR,2359.0,2675.0,2517.0
Suriname,TFR,0.0,0.0,0.0
Tajikistan,VFR,0.0,0.0,0.0
"Tanzania, United Republic of",VFR,594.0,0.0,297.0
Thailand,TFR,62697.0,0.0,31348.5
Trinidad and Tobago,TFN,71.0,43.0,57.0
Turkey,TFN,4521.0,0.0,2260.5
Uganda,TFR,0.0,0.0,0.0
Ukraine,TFR,425.0,0.0,212.5
United Arab Emirates,THSN,30531.0,53310.0,41920.5
United States of America,TFR,20885.0,20187.0,20536.0
Uzbekistan,VFR,117.0,0.0,58.5
Viet Nam,VFR,0.0,0.0,0.0
Yemen,TFN,0.0,0.0,0.0
Zambia,TFR,0.0,0.0,0.0
