Destination,SERIES,2018,2019,Average
Albania,VFN,174.0,175.0,174.5
Angola,TFR,289.0,19.0,154.0
Antigua and Barbuda,TFR,2.0,0.0,1.0
Australia,VFR,20.0,0.0,10.0
Azerbaijan,VFR,1711.0,1383.0,1547.0
Bahamas,TFR,11.0,10.0,10.5
Bangladesh,TFN,0.0,0.0,0.0
Barbados,TFR,4.0,0.0,2.0
Belarus,VFN,266.0,189.0,227.5
Belgium,TCER,315.0,0.0,157.5
Benin,TFR,28.0,0.0,14.0
Bhutan,TFN,0.0,0.0,0.0
Botswana,TFR,0.0,0.0,0.0
Bulgaria,TCER,32.0,21.0,26.5
Cambodia,TFR,193.0,0.0,96.5
China,VFN,7373.0,0.0,3686.5
Colombia,TFR,58.0,0.0,29.0
Costa Rica,TFN,54.0,47.0,50.5
Cuba,VFR,0.0,0.0,0.0
Dominica,TFR,3.0,0.0,1.5
Ecuador,VFR,122.0,0.0,61.0
Egypt,VFN,136010.0,0.0,68005.0
Finland,TCER,48.0,38.0,43.0
Guinea,TFR,0.0,0.0,0.0
Guinea-Bissau,TFN,0.0,0.0,0.0
Guyana,TFR,0.0,0.0,0.0
Honduras,TFN,0.0,0.0,0.0
India,TFN,1626.0,0.0,813.0
Indonesia,VFN,2604.0,3082.0,2843.0
"Iran, Islamic Republic of",VFN,439.0,0.0,219.5
Iraq,VFN,0.0,0.0,0.0
Italy,TFN,2646.0,5517.0,4081.5
Japan,VFN,328.0,373.0,350.5
Jordan,TFN,444091.0,0.0,222045.5
Kazakhstan,VFR,124.0,162.0,143.0
"Korea, Republic of",VFN,329.0,388.0,358.5
Kuwait,VFN,8317.0,0.0,4158.5
Lebanon,TFN,0.0,0.0,0.0
Libya,VFN,0.0,0.0,0.0
Madagascar,TFN,2.0,0.0,1.0
Malaysia,TFN,6329.0,6256.0,6292.5
Maldives,TFN,413.0,0.0,206.5
Mali,TFR,21.0,0.0,10.5
Mauritius,TFR,14.0,15.0,14.5
Mexico,TFR,444.0,0.0,222.0
Mongolia,TFN,9.0,15.0,12.0
Morocco,TFN,1584.0,0.0,792.0
New Zealand,VFR,60.0,56.0,58.0
Nicaragua,TFN,17.0,57.0,37.0
Nigeria,VFN,0.0,0.0,0.0
Oman,VFR,68.0,0.0,34.0
Pakistan,TFN,0.0,0.0,0.0
Panama,VFR,78.0,0.0,39.0
Paraguay,TFN,2.0,0.0,1.0
Poland,TCER,149.0,0.0,74.5
Russian Federation,VFN,0.0,0.0,0.0
Rwanda,VFN,0.0,0.0,0.0
San Marino,VFN,0.0,0.0,0.0
Saudi Arabia,TFN,11526.0,3347.0,7436.5
Seychelles,TFR,21.0,22.0,21.5
Sierra Leone,TFR,49.0,0.0,24.5
South Africa,TFR,403.0,386.0,394.5
Sri Lanka,TFR,1078.0,871.0,974.5
Suriname,TFR,0.0,0.0,0.0
Syrian Arab Republic,VFN,683.0,854.0,768.5
"Tanzania, United Republic of",VFR,90.0,0.0,45.0
Thailand,TFR,0.0,0.0,0.0
Trinidad and Tobago,TFN,0.0,0.0,0.0
Tunisia,TFN,1850.0,2069.0,1959.5
Turkey,TFN,56357.0,0.0,28178.5
Uganda,TFR,0.0,0.0,0.0
Ukraine,TFR,1573.0,0.0,786.5
United Arab Emirates,THSN,49549.0,165720.0,107634.5
United States of America,TFR,6219.0,5998.0,6108.5
Uzbekistan,VFR,75.0,0.0,37.5
"Venezuela, Bolivarian Republic of",TFN,0.0,0.0,0.0
Yemen,TFN,0.0,0.0,0.0
