Destination,SERIES,2018,2019,Average
Albania,VFN,111.0,142.0,126.5
Angola,TFR,52.0,56.0,54.0
Antigua and Barbuda,TFR,0.0,0.0,0.0
Armenia,TFR,30.0,0.0,15.0
Australia,VFR,530.0,0.0,265.0
Azerbaijan,VFR,1062.0,1248.0,1155.0
Bahamas,TFR,4.0,7.0,5.5
Bangladesh,TFN,0.0,0.0,0.0
Barbados,TFR,2.0,0.0,1.0
Belarus,VFN,309.0,273.0,291.0
Belgium,TCER,248.0,0.0,124.0
Benin,TFR,447.0,0.0,223.5
Bhutan,TFN,0.0,5.0,2.5
Botswana,TFR,111.0,0.0,55.5
Bulgaria,TCER,75.0,57.0,66.0
Cambodia,TFR,224.0,0.0,112.0
Canada,TFR,677.0,0.0,338.5
Cayman Islands,TFR,0.0,0.0,0.0
Central African Republic,TFN,0.0,0.0,0.0
China,VFN,20580.0,0.0,10290.0
Colombia,TFR,22.0,0.0,11.0
"Congo, Democratic Republic of the",TFR,0.0,0.0,0.0
Costa Rica,TFN,10.0,20.0,15.0
Ecuador,VFR,22.0,0.0,11.0
Egypt,VFN,459607.0,0.0,229803.5
Eritrea,VFN,0.0,0.0,0.0
Ethiopia,TFR,21106.0,0.0,10553.0
Finland,TCER,93.0,107.0,100.0
Grenada,TFN,30.0,34.0,32.0
Guinea,TFR,0.0,0.0,0.0
Honduras,TFN,0.0,0.0,0.0
India,TFN,34712.0,0.0,17356.0
Indonesia,VFN,2578.0,2391.0,2484.5
"Iran, Islamic Republic of",VFN,253.0,0.0,126.5
Iraq,VFN,0.0,0.0,0.0
Israel,TFR,177.0,0.0,88.5
Italy,TFN,4680.0,646.0,2663.0
Japan,VFN,631.0,594.0,612.5
Jordan,TFN,11740.0,0.0,5870.0
Kazakhstan,VFR,67.0,54.0,60.5
"Korea, Republic of",VFN,962.0,1012.0,987.0
Kuwait,VFN,20098.0,0.0,10049.0
Lebanon,TFN,3611.0,3293.0,3452.0
Libya,VFN,0.0,0.0,0.0
Madagascar,TFN,24.0,0.0,12.0
Malaysia,TFN,18292.0,17869.0,18080.5
Maldives,TFN,560.0,0.0,280.0
Mali,TFR,234.0,0.0,117.0
Malta,TFR,0.0,0.0,0.0
Mauritius,TFR,91.0,97.0,94.0
Mexico,TFR,192.0,0.0,96.0
Mongolia,TFN,45.0,75.0,60.0
Morocco,TFN,2738.0,0.0,1369.0
New Zealand,VFR,87.0,142.0,114.5
Nicaragua,TFN,0.0,1.0,0.5
Nigeria,VFN,0.0,0.0,0.0
Oman,VFR,274.0,0.0,137.0
Pakistan,TFN,0.0,0.0,0.0
Panama,VFR,2.0,0.0,1.0
Paraguay,TFN,11.0,0.0,5.5
Poland,TCER,140.0,0.0,70.0
Russian Federation,VFN,0.0,0.0,0.0
Rwanda,VFN,0.0,0.0,0.0
San Marino,VFN,0.0,0.0,0.0
Saudi Arabia,TFN,263596.0,266265.0,264930.5
Seychelles,TFR,197.0,126.0,161.5
Sierra Leone,TFR,65.0,0.0,32.5
South Africa,TFR,2206.0,1800.0,2003.0
Sri Lanka,TFR,858.0,584.0,721.0
Suriname,TFR,0.0,0.0,0.0
Syrian Arab Republic,VFN,4703.0,3891.0,4297.0
"Tanzania, United Republic of",VFR,2479.0,0.0,1239.5
Thailand,TFR,0.0,0.0,0.0
Togo,THSR,200.0,608.0,404.0
Trinidad and Tobago,TFN,2.0,6.0,4.0
Tunisia,TFN,1362.0,1136.0,1249.0
Turkey,TFN,15658.0,0.0,7829.0
Uganda,TFR,0.0,0.0,0.0
Ukraine,TFR,804.0,0.0,402.0
United Arab Emirates,THSN,157853.0,177504.0,167678.5
United States of America,TFR,3163.0,2651.0,2907.0
Uzbekistan,VFR,46.0,0.0,23.0
"Venezuela, Bolivarian Republic of",TFN,0.0,0.0,0.0
Yemen,TFN,0.0,0.0,0.0
