Destination,SERIES,2018,2019,Average
Albania,VFN,3.0,3.0,3.0
Antigua and Barbuda,TFR,109.0,0.0,54.5
Aruba,TFR,5740.0,0.0,2870.0
Australia,VFR,90.0,0.0,45.0
Azerbaijan,VFR,2.0,9.0,5.5
Bahamas,TFR,102.0,68.0,85.0
Bangladesh,TFN,0.0,0.0,0.0
Barbados,TFR,572.0,0.0,286.0
Belarus,VFN,13.0,35.0,24.0
Belgium,TCER,527.0,0.0,263.5
Bhutan,TFN,0.0,3.0,1.5
Bonaire,TFR,0.0,0.0,0.0
Botswana,TFR,0.0,0.0,0.0
Brazil,TFR,5836.0,8776.0,7306.0
British Virgin Islands,TFR,0.0,0.0,0.0
Bulgaria,TCER,142.0,94.0,118.0
Canada,TFR,482.0,0.0,241.0
Cayman Islands,TFR,14.0,0.0,7.0
Chile,TFN,96.0,85.0,90.5
China,VFN,4046.0,0.0,2023.0
Colombia,TFR,604.0,0.0,302.0
"Congo, Democratic Republic of the",TFR,0.0,0.0,0.0
Costa Rica,TFN,98.0,89.0,93.5
Cuba,VFR,0.0,0.0,0.0
Curaçao,TFR,8459.0,0.0,4229.5
Dominica,TFR,13.0,0.0,6.5
Ecuador,VFR,96.0,0.0,48.0
Egypt,VFN,46.0,0.0,23.0
El Salvador,TFN,56.0,83.0,69.5
Finland,TCER,93.0,107.0,100.0
Grenada,TFN,88.0,99.0,93.5
Guinea,TFR,0.0,0.0,0.0
Guyana,TFR,18460.0,13554.0,16007.0
Haiti,TFR,0.0,24.0,12.0
Honduras,TFN,0.0,0.0,0.0
India,TFN,524.0,0.0,262.0
Indonesia,VFN,341.0,353.0,347.0
Israel,TFR,78.0,0.0,39.0
Italy,TFN,0.0,0.0,0.0
Jamaica,TFR,414.0,506.0,460.0
Japan,VFN,147.0,188.0,167.5
Jordan,TFN,6.0,0.0,3.0
Kazakhstan,VFR,9.0,10.0,9.5
"Korea, Republic of",VFN,64.0,80.0,72.0
Kuwait,VFN,21.0,0.0,10.5
Latvia,TCER,80.0,39.0,59.5
Lebanon,TFN,49.0,49.0,49.0
Malaysia,TFN,200.0,238.0,219.0
Maldives,TFN,2.0,0.0,1.0
Mauritius,TFR,18.0,31.0,24.5
Mexico,TFR,356.0,0.0,178.0
Mongolia,TFN,0.0,1.0,0.5
Morocco,TFN,73.0,0.0,36.5
Nepal,TFN,0.0,0.0,0.0
New Zealand,VFR,3.0,14.0,8.5
Nicaragua,TFN,7.0,56.0,31.5
Pakistan,TFN,0.0,0.0,0.0
Panama,VFR,272.0,0.0,136.0
Paraguay,TFN,6.0,0.0,3.0
Poland,TCER,74.0,0.0,37.0
Russian Federation,VFN,0.0,0.0,0.0
Rwanda,VFN,0.0,0.0,0.0
Saint Kitts and Nevis,TFR,0.0,0.0,0.0
Saint Lucia,TFR,139.0,0.0,69.5
Saudi Arabia,TFN,14.0,31.0,22.5
Seychelles,TFR,1.0,0.0,0.5
Sierra Leone,TFR,0.0,0.0,0.0
South Africa,TFR,57.0,36.0,46.5
Sri Lanka,TFR,28.0,20.0,24.0
"Tanzania, United Republic of",VFR,21.0,0.0,10.5
Thailand,TFR,0.0,0.0,0.0
Trinidad and Tobago,TFN,2024.0,2183.0,2103.5
Turkey,TFN,733.0,0.0,366.5
Uganda,TFR,0.0,0.0,0.0
Ukraine,TFR,5.0,0.0,2.5
United Arab Emirates,THSN,952.0,2894.0,1923.0
United States of America,TFR,12871.0,14338.0,13604.5
"Venezuela, Bolivarian Republic of",TFN,0.0,0.0,0.0
