Destination,SERIES,2018,2019,Average
Albania,VFN,36576.0,43514.0,40045.0
Algeria,VFN,2456.0,1384.0,1920.0
American Samoa,TFN,0.0,0.0,0.0
Angola,TFR,263.0,288.0,275.5
Antigua and Barbuda,TFR,583.0,0.0,291.5
Argentina,TFR,13155.0,0.0,6577.5
Armenia,TFR,4782.0,0.0,2391.0
Aruba,TFR,5781.0,0.0,2890.5
Australia,VFR,45690.0,0.0,22845.0
Austria,TCER,250849.0,264846.0,257847.5
Azerbaijan,VFR,3040.0,3457.0,3248.5
Bahamas,TFR,2230.0,1675.0,1952.5
Bangladesh,TFN,0.0,0.0,0.0
Barbados,TFR,1827.0,0.0,913.5
Belarus,VFN,6380.0,6972.0,6676.0
Belgium,TCER,75399.0,0.0,37699.5
Belize,TFN,1351.0,0.0,675.5
Benin,TFR,950.0,0.0,475.0
Bermuda,TFR,300.0,0.0,150.0
Bhutan,TFN,334.0,430.0,382.0
"Bolivia, Plurinational State of",TFN,4244.0,0.0,2122.0
Bonaire,TFR,0.0,0.0,0.0
Bosnia and Herzegovina,TCER,12550.0,0.0,6275.0
Botswana,TFR,2296.0,0.0,1148.0
Brazil,TFR,26498.0,26769.0,26633.5
British Virgin Islands,TFR,0.0,0.0,0.0
Brunei Darussalam,TFN,276.0,346.0,311.0
Bulgaria,TCER,37767.0,26166.0,31966.5
Cambodia,TFR,15140.0,0.0,7570.0
Cameroon,THSN,6285.0,0.0,3142.5
Canada,TFR,48315.0,0.0,24157.5
Cayman Islands,TFR,370.0,0.0,185.0
Chile,TFN,12552.0,11742.0,12147.0
China,VFN,109991.0,0.0,54995.5
Colombia,TFR,8511.0,0.0,4255.5
"Congo, Democratic Republic of the",TFR,0.0,0.0,0.0
Cook Islands,TFR,566.0,464.0,515.0
Costa Rica,TFN,11117.0,10979.0,11048.0
Croatia,TCER,297081.0,289699.0,293390.0
Cuba,VFR,0.0,0.0,0.0
Curaçao,TFR,1872.0,0.0,936.0
Cyprus,TFR,153769.0,0.0,76884.5
Czech Republic,TCEN,143843.0,152337.0,148090.0
Denmark,TCER,1571598.0,1527771.0,1549684.5
Dominica,TFR,193.0,0.0,96.5
Dominican Republic,TFR,11861.0,9532.0,10696.5
Ecuador,VFR,3895.0,0.0,1947.5
Egypt,VFN,70861.0,0.0,35430.5
El Salvador,TFN,1201.0,1138.0,1169.5
Estonia,TCER,71107.0,0.0,35553.5
Ethiopia,TFR,13978.0,0.0,6989.0
Fiji,TFR,1513.0,1470.0,1491.5
Finland,TCER,323195.0,319823.0,321509.0
France,TFR,699695.0,0.0,349847.5
French Polynesia,TFR,489.0,480.0,484.5
Gambia,TFN,17571.0,0.0,8785.5
Georgia,THSR,10293.0,0.0,5146.5
Germany,TCER,959671.0,982237.0,970954.0
Greece,TFR,508794.0,412439.0,460616.5
Grenada,TFN,535.0,430.0,482.5
Guadeloupe,TFR,0.0,0.0,0.0
Guinea,TFR,0.0,0.0,0.0
Guinea-Bissau,TFN,0.0,0.0,0.0
Guyana,TFR,124.0,127.0,125.5
Honduras,TFN,0.0,0.0,0.0
"Hong Kong, China",TFR,45592.0,31118.0,38355.0
Iceland,TFN,49316.0,39853.0,44584.5
India,TFN,46743.0,0.0,23371.5
Indonesia,VFN,50381.0,56402.0,53391.5
"Iran, Islamic Republic of",VFN,8855.0,0.0,4427.5
Iraq,VFN,0.0,0.0,0.0
Ireland,TFR,75000.0,0.0,37500.0
Israel,TFR,33367.0,0.0,16683.5
Italy,TFN,489840.0,501584.0,495712.0
Jamaica,TFR,4968.0,3918.0,4443.0
Japan,VFN,53822.0,53836.0,53829.0
Jordan,TFN,11717.0,0.0,5858.5
Kazakhstan,VFR,2347.0,2775.0,2561.0
Kenya,VFR,0.0,0.0,0.0
"Korea, Republic of",VFN,19503.0,19709.0,19606.0
Kuwait,VFN,4541.0,0.0,2270.5
Kyrgyzstan,VFR,1395.0,0.0,697.5
Lao People's Democratic Republic,VFN,4802.0,3475.0,4138.5
Latvia,TCER,79668.0,77079.0,78373.5
Lebanon,TFN,44032.0,47153.0,45592.5
Lesotho,VFR,236.0,255.0,245.5
Libya,VFN,0.0,0.0,0.0
Liechtenstein,TCER,920.0,1141.0,1030.5
Lithuania,TFR,68400.0,0.0,34200.0
Luxembourg,TCER,7043.0,0.0,3521.5
Madagascar,TFN,355.0,0.0,177.5
Malaysia,TFN,32665.0,29592.0,31128.5
Maldives,TFN,14988.0,0.0,7494.0
Mali,TFR,405.0,0.0,202.5
Malta,TFR,54902.0,53612.0,54257.0
Mauritius,TFR,15539.0,13215.0,14377.0
Mexico,TFR,34263.0,0.0,17131.5
"Moldova, Republic of",TCEN,1318.0,1743.0,1530.5
Monaco,THSN,2782.0,2757.0,2769.5
Mongolia,TFN,1154.0,1439.0,1296.5
Montenegro,TCEN,29243.0,0.0,14621.5
Montserrat,TFR,0.0,0.0,0.0
Morocco,TFN,53064.0,0.0,26532.0
Myanmar,TFN,3196.0,2895.0,3045.5
Nepal,TFN,4243.0,3911.0,4077.0
Netherlands,TCER,162000.0,0.0,81000.0
New Zealand,VFR,15919.0,14533.0,15226.0
Nicaragua,TFN,1916.0,1296.0,1606.0
Nigeria,VFN,0.0,0.0,0.0
North Macedonia,TCEN,11530.0,11188.0,11359.0
Northern Mariana Islands,VFN,0.0,0.0,0.0
Norway,TCER,633201.0,605581.0,619391.0
Oman,VFR,4297.0,0.0,2148.5
Pakistan,TFN,0.0,0.0,0.0
Palau,TFN,79.0,0.0,39.5
Panama,VFR,3808.0,0.0,1904.0
Paraguay,TFN,600.0,0.0,300.0
Peru,TFR,11624.0,0.0,5812.0
Philippines,TFR,28085.0,27892.0,27988.5
Poland,TCER,200548.0,0.0,100274.0
Portugal,TCER,197005.0,189702.0,193353.5
Romania,TCER,23623.0,24828.0,24225.5
Russian Federation,VFN,50870.0,0.0,25435.0
Rwanda,VFN,0.0,0.0,0.0
Saint Kitts and Nevis,TFR,0.0,0.0,0.0
Saint Lucia,TFR,704.0,0.0,352.0
Saint Vincent and the Grenadines,TFR,0.0,0.0,0.0
San Marino,VFN,4617.0,0.0,2308.5
Sao Tome and Principe,TFN,0.0,0.0,0.0
Saudi Arabia,TFN,5328.0,7528.0,6428.0
Senegal,THSN,0.0,0.0,0.0
Serbia,TCEN,22790.0,23475.0,23132.5
Seychelles,TFR,3918.0,3617.0,3767.5
Sierra Leone,TFR,254.0,0.0,127.0
Singapore,VFR,53422.0,50147.0,51784.5
Sint Maarten (Dutch part),TFN,158.0,0.0,79.0
Slovakia,TCEN,13642.0,18586.0,16114.0
Slovenia,TCEN,34709.0,36871.0,35790.0
South Africa,TFR,48740.0,41787.0,45263.5
Spain,TFR,2048958.881826863,2086452.4000618905,2067705.6409443766
Sri Lanka,TFR,28267.0,22464.0,25365.5
Suriname,TFR,0.0,0.0,0.0
Switzerland,TCER,94675.0,91843.0,93259.0
Syrian Arab Republic,VFN,4927.0,7769.0,6348.0
Taiwan Province of China,TCER,8431.0,8778.0,8604.5
Tajikistan,VFR,360.0,0.0,180.0
"Tanzania, United Republic of",VFR,16037.0,0.0,8018.5
Thailand,TFR,304206.0,0.0,152103.0
Togo,THSR,528.0,398.0,463.0
Tonga,TFR,0.0,0.0,0.0
Trinidad and Tobago,TFN,1139.0,989.0,1064.0
Tunisia,TFN,7912.0,12524.0,10218.0
Turkey,TFN,380386.0,0.0,190193.0
Turkmenistan,TFN,0.0,0.0,0.0
Turks and Caicos Islands,TFR,0.0,0.0,0.0
Uganda,TFR,0.0,0.0,0.0
Ukraine,TFR,30038.0,0.0,15019.0
United Arab Emirates,THSN,39163.0,115555.0,77359.0
United Kingdom,VFR,745030.0,789408.0,767219.0
United States of America,TFR,506323.0,451612.0,478967.5
United States Virgin Islands,THSN,56.0,38.0,47.0
Uruguay,VFN,3442.0,0.0,1721.0
Uzbekistan,VFR,1041.0,0.0,520.5
"Venezuela, Bolivarian Republic of",TFN,0.0,0.0,0.0
Viet Nam,VFR,49723.0,50704.0,50213.5
Yemen,TFN,0.0,0.0,0.0
Zambia,TFR,2670.0,0.0,1335.0
