Destination,SERIES,2018,2019,Average
Albania,VFN,54869.0,64870.0,59869.5
Algeria,VFN,4468.0,2979.0,3723.5
American Samoa,TFN,0.0,0.0,0.0
Angola,TFR,594.0,633.0,613.5
Anguilla,TFR,78.0,197.0,137.5
Antigua and Barbuda,TFR,1019.0,0.0,509.5
Argentina,TFR,37346.0,0.0,18673.0
Armenia,TFR,4428.0,0.0,2214.0
Aruba,TFR,2120.0,0.0,1060.0
Australia,VFR,57940.0,0.0,28970.0
Austria,TCER,1445342.0,1450905.0,1448123.5
Azerbaijan,VFR,2516.0,3208.0,2862.0
Bahamas,TFR,6090.0,5832.0,5961.0
Bangladesh,TFN,0.0,0.0,0.0
Barbados,TFR,1966.0,0.0,983.0
Belarus,VFN,4570.0,5814.0,5192.0
Belgium,TCER,124417.0,0.0,62208.5
Belize,TFN,2231.0,0.0,1115.5
Benin,TFR,8466.0,0.0,4233.0
Bermuda,TFR,935.0,0.0,467.5
Bhutan,TFN,1379.0,1447.0,1413.0
"Bolivia, Plurinational State of",TFN,9266.0,0.0,4633.0
Bonaire,TFR,0.0,0.0,0.0
Bosnia and Herzegovina,TCER,10983.0,0.0,5491.5
Botswana,TFR,9087.0,0.0,4543.5
Brazil,TFR,70040.0,63826.0,66933.0
British Virgin Islands,TFR,0.0,0.0,0.0
Brunei Darussalam,TFN,1682.0,610.0,1146.0
Bulgaria,TCER,20307.0,20633.0,20470.0
Burkina Faso,THSR,1466.0,0.0,733.0
Cabo Verde,THSR,10292.0,13516.0,11904.0
Cambodia,TFR,20082.0,0.0,10041.0
Cameroon,THSN,8263.0,0.0,4131.5
Canada,TFR,123702.0,0.0,61851.0
Cayman Islands,TFR,629.0,0.0,314.5
Central African Republic,TFN,0.0,0.0,0.0
Chile,TFN,21475.0,21136.0,21305.5
China,VFN,73931.0,0.0,36965.5
Colombia,TFR,20409.0,0.0,10204.5
Congo,THSR,325.0,0.0,162.5
"Congo, Democratic Republic of the",TFR,0.0,0.0,0.0
Cook Islands,TFR,922.0,859.0,890.5
Costa Rica,TFN,28884.0,27841.0,28362.5
Croatia,TCER,264865.0,268206.0,266535.5
Cuba,VFR,31231.0,0.0,15615.5
Curaçao,TFR,2373.0,0.0,1186.5
Cyprus,TFR,74216.0,0.0,37108.0
Czech Republic,TCEN,107408.0,98587.0,102997.5
Denmark,TCER,179236.0,181536.0,180386.0
Dominica,TFR,339.0,0.0,169.5
Dominican Republic,TFR,37173.0,33988.0,35580.5
Ecuador,VFR,13377.0,0.0,6688.5
Egypt,VFN,110405.0,0.0,55202.5
El Salvador,TFN,1163.0,4280.0,2721.5
Eritrea,VFN,0.0,0.0,0.0
Estonia,TCER,15274.0,0.0,7637.0
Ethiopia,TFR,10939.0,0.0,5469.5
Fiji,TFR,2583.0,2253.0,2418.0
Finland,TCER,71245.0,70647.0,70946.0
France,TFR,6771926.0,0.0,3385963.0
French Polynesia,TFR,3406.0,3524.0,3465.0
Gambia,TFN,0.0,0.0,0.0
Georgia,THSR,5566.0,0.0,2783.0
