Destination,SERIES,2018,2019,Average
Albania,VFN,986.0,1034.0,1010.0
Algeria,VFN,0.0,0.0,0.0
Angola,TFR,135.0,205.0,170.0
Antigua and Barbuda,TFR,31.0,0.0,15.5
Armenia,TFR,3298.0,0.0,1649.0
Australia,VFR,230.0,0.0,115.0
Azerbaijan,VFR,4795.0,4386.0,4590.5
Bahamas,TFR,1.0,1.0,1.0
Bangladesh,TFN,0.0,0.0,0.0
Barbados,TFR,3.0,0.0,1.5
Belarus,VFN,1355.0,1403.0,1379.0
Belgium,TCER,927.0,0.0,463.5
Benin,TFR,11.0,0.0,5.5
Bhutan,TFN,3.0,2.0,2.5
Botswana,TFR,0.0,0.0,0.0
Brazil,TFR,1143.0,1130.0,1136.5
Bulgaria,TCER,2204.0,2189.0,2196.5
Cambodia,TFR,480.0,0.0,240.0
Canada,TFR,1290.0,0.0,645.0
Cayman Islands,TFR,1.0,0.0,0.5
Chile,TFN,145.0,42.0,93.5
China,VFN,11414.0,0.0,5707.0
Colombia,TFR,70.0,0.0,35.0
"Congo, Democratic Republic of the",TFR,0.0,0.0,0.0
Costa Rica,TFN,45.0,22.0,33.5
Cuba,VFR,0.0,0.0,0.0
Cyprus,TFR,0.0,0.0,0.0
Dominica,TFR,9.0,0.0,4.5
Ecuador,VFR,65.0,0.0,32.5
Egypt,VFN,65803.0,0.0,32901.5
Finland,TCER,119.0,235.0,177.0
Grenada,TFN,0.0,21.0,10.5
Guinea,TFR,0.0,0.0,0.0
Guyana,TFR,0.0,0.0,0.0
Honduras,TFN,0.0,0.0,0.0
India,TFN,5139.0,0.0,2569.5
Indonesia,VFN,1941.0,2322.0,2131.5
"Iran, Islamic Republic of",VFN,12716.0,0.0,6358.0
Iraq,VFN,0.0,0.0,0.0
Israel,TFR,94.0,0.0,47.0
Italy,TFN,5883.0,10219.0,8051.0
Japan,VFN,814.0,987.0,900.5
Jordan,TFN,82376.0,0.0,41188.0
Kazakhstan,VFR,295.0,301.0,298.0
"Korea, Republic of",VFN,1553.0,1795.0,1674.0
Kuwait,VFN,202077.0,0.0,101038.5
Latvia,TCER,143.0,114.0,128.5
Libya,VFN,0.0,0.0,0.0
Madagascar,TFN,20.0,0.0,10.0
Malaysia,TFN,12821.0,13646.0,13233.5
Maldives,TFN,1094.0,0.0,547.0
Mali,TFR,62.0,0.0,31.0
Malta,TFR,0.0,0.0,0.0
Mauritius,TFR,41.0,52.0,46.5
Mexico,TFR,210.0,0.0,105.0
Mongolia,TFN,94.0,116.0,105.0
Morocco,TFN,389.0,0.0,194.5
Nepal,TFN,0.0,0.0,0.0
New Zealand,VFR,50.0,25.0,37.5
Nicaragua,TFN,1.0,0.0,0.5
Nigeria,VFN,0.0,0.0,0.0
Oman,VFR,479.0,0.0,239.5
Pakistan,TFN,0.0,0.0,0.0
Panama,VFR,33.0,0.0,16.5
Paraguay,TFN,20.0,0.0,10.0
Poland,TCER,651.0,0.0,325.5
Portugal,TCER,0.0,0.0,0.0
Russian Federation,VFN,0.0,0.0,0.0
Rwanda,VFN,0.0,0.0,0.0
San Marino,VFN,0.0,0.0,0.0
Saudi Arabia,TFN,27532.0,11449.0,19490.5
Seychelles,TFR,38.0,31.0,34.5
Sierra Leone,TFR,164.0,0.0,82.0
South Africa,TFR,643.0,717.0,680.0
Sri Lanka,TFR,209.0,152.0,180.5
Suriname,TFR,0.0,0.0,0.0
Tajikistan,VFR,23.0,0.0,11.5
"Tanzania, United Republic of",VFR,732.0,0.0,366.0
Thailand,TFR,0.0,0.0,0.0
Trinidad and Tobago,TFN,44.0,46.0,45.0
Tunisia,TFN,1987.0,2454.0,2220.5
Turkey,TFN,475243.0,0.0,237621.5
Turkmenistan,TFN,0.0,0.0,0.0
Uganda,TFR,0.0,0.0,0.0
Ukraine,TFR,4260.0,0.0,2130.0
United Arab Emirates,THSN,245017.0,274424.0,259720.5
United States of America,TFR,2644.0,2245.0,2444.5
Uzbekistan,VFR,291.0,0.0,145.5
"Venezuela, Bolivarian Republic of",TFN,0.0,0.0,0.0
Yemen,TFN,0.0,0.0,0.0
