Destination,SERIES,2018,2019,Average
American Samoa,TFN,0.0,0.0,0.0
Angola,TFR,84.0,58.0,71.0
Antigua and Barbuda,TFR,26.0,0.0,13.0
Armenia,TFR,445.0,0.0,222.5
Australia,VFR,202790.0,0.0,101395.0
Austria,TCER,186024.0,186525.0,186274.5
Azerbaijan,VFR,15.0,35.0,25.0
Bahamas,TFR,107.0,104.0,105.5
Bangladesh,TFN,0.0,0.0,0.0
Barbados,TFR,25.0,0.0,12.5
Belarus,VFN,739.0,607.0,673.0
Belgium,TCER,20900.0,0.0,10450.0
Bhutan,TFN,1496.0,1539.0,1517.5
Botswana,TFR,426.0,0.0,213.0
Brazil,TFR,6096.0,4721.0,5408.5
British Virgin Islands,TFR,0.0,0.0,0.0
Brunei Darussalam,TFN,1869.0,5455.0,3662.0
Bulgaria,TCER,4020.0,4346.0,4183.0
Cambodia,TFR,134637.0,0.0,67318.5
Canada,TFR,129178.0,0.0,64589.0
Cayman Islands,TFR,29.0,0.0,14.5
Chile,TFN,4092.0,4440.0,4266.0
China,VFN,6136081.0,0.0,3068040.5
Colombia,TFR,2035.0,0.0,1017.5
"Congo, Democratic Republic of the",TFR,0.0,0.0,0.0
Costa Rica,TFN,2433.0,2188.0,2310.5
Cuba,VFR,0.0,0.0,0.0
Czech Republic,TCEN,181967.0,191336.0,186651.5
Dominica,TFR,61.0,0.0,30.5
Dominican Republic,TFR,402.0,334.0,368.0
Ecuador,VFR,931.0,0.0,465.5
Egypt,VFN,18866.0,0.0,9433.0
El Salvador,TFN,0.0,0.0,0.0
Fiji,TFR,0.0,0.0,0.0
Finland,TCER,18033.0,18084.0,18058.5
French Polynesia,TFR,519.0,571.0,545.0
Gambia,TFN,0.0,0.0,0.0
Germany,TCER,222965.0,240692.0,231828.5
Grenada,TFN,47.0,107.0,77.0
Guam,TFR,27882.0,28226.0,28054.0
Guinea,TFR,0.0,0.0,0.0
Guyana,TFR,0.0,0.0,0.0
Honduras,TFN,0.0,0.0,0.0
"Hong Kong, China",TFR,806523.0,597115.0,701819.0
Iceland,TFN,28473.0,24933.0,26703.0
India,TFN,49457.0,0.0,24728.5
Indonesia,VFN,208317.0,207490.0,207903.5
"Iran, Islamic Republic of",VFN,1599.0,0.0,799.5
Israel,TFR,12522.0,0.0,6261.0
Italy,TFN,11950.0,8732.0,10341.0
Jamaica,TFR,76.0,125.0,100.5
Japan,VFN,4757258.0,4890602.0,4823930.0
Jordan,TFN,3809.0,0.0,1904.5
Kazakhstan,VFR,911.0,1110.0,1010.5
Kiribati,TFN,88.0,0.0,44.0
"Korea, Republic of",VFN,1115333.0,1260493.0,1187913.0
Kuwait,VFN,327.0,0.0,163.5
Lao People's Democratic Republic,VFN,4823.0,6956.0,5889.5
Latvia,TCER,2894.0,4673.0,3783.5
Lebanon,TFN,306.0,406.0,356.0
Lesotho,VFR,1142.0,3856.0,2499.0
Libya,VFN,0.0,0.0,0.0
Liechtenstein,TCER,103.0,164.0,133.5
"Macao, China",THSR,473343.0,455195.0,464269.0
Madagascar,TFN,145.0,0.0,72.5
Malaysia,TFN,383922.0,382916.0,383419.0
Maldives,TFN,12439.0,0.0,6219.5
Mali,TFR,6.0,0.0,3.0
Marshall Islands,TFR,0.0,0.0,0.0
Mauritius,TFR,1767.0,1872.0,1819.5
Mexico,TFR,7172.0,0.0,3586.0
Mongolia,TFN,5233.0,5930.0,5581.5
Morocco,TFN,7503.0,0.0,3751.5
Myanmar,TFN,35685.0,39374.0,37529.5
Nepal,TFN,11092.0,12816.0,11954.0
New Zealand,VFR,44659.0,53453.0,49056.0
Nicaragua,TFN,869.0,829.0,849.0
Nigeria,VFN,0.0,0.0,0.0
Northern Mariana Islands,VFN,853.0,0.0,426.5
Norway,TCER,30542.0,26962.0,28752.0
Pakistan,TFN,0.0,0.0,0.0
Palau,TFN,11386.0,0.0,5693.0
Panama,VFR,1576.0,0.0,788.0
Paraguay,TFN,696.0,0.0,348.0
Peru,TFR,8385.0,0.0,4192.5
Philippines,TFR,242411.0,327273.0,284842.0
Poland,TCER,9611.0,0.0,4805.5
Portugal,TCER,0.0,0.0,0.0
Russian Federation,VFN,12553.0,0.0,6276.5
Rwanda,VFN,0.0,0.0,0.0
San Marino,VFN,380.0,0.0,190.0
Sao Tome and Principe,TFN,0.0,0.0,0.0
Saudi Arabia,TFN,0.0,0.0,0.0
Seychelles,TFR,241.0,226.0,233.5
Singapore,VFR,422938.0,425629.0,424283.5
South Africa,TFR,5556.0,6924.0,6240.0
Spain,TFR,73036.50153058,101262.48094673184,87149.49123865593
Sri Lanka,TFR,8187.0,7127.0,7657.0
Suriname,TFR,0.0,0.0,0.0
Tajikistan,VFR,0.0,0.0,0.0
"Tanzania, United Republic of",VFR,1289.0,0.0,644.5
Thailand,TFR,674172.0,0.0,337086.0
Togo,THSR,0.0,53.0,26.5
Trinidad and Tobago,TFN,67.0,35.0,51.0
Turkey,TFN,97942.0,0.0,48971.0
Turkmenistan,TFN,0.0,0.0,0.0
Tuvalu,TFN,0.0,0.0,0.0
Uganda,TFR,0.0,0.0,0.0
Ukraine,TFR,1138.0,0.0,569.0
United Arab Emirates,THSN,3879.0,12604.0,8241.5
United Kingdom,VFR,141846.0,126987.0,134416.5
United States of America,TFR,478001.0,499520.0,488760.5
United States Virgin Islands,THSN,0.0,0.0,0.0
Uzbekistan,VFR,1338.0,0.0,669.0
"Venezuela, Bolivarian Republic of",TFN,0.0,0.0,0.0
Viet Nam,VFR,714112.0,926744.0,820428.0
Yemen,TFN,0.0,0.0,0.0
