Destination,SERIES,2018,2019,Average
Albania,VFN,41.0,3581.0,1811.0
Angola,TFR,0.0,0.0,0.0
Australia,VFR,10.0,0.0,5.0
Azerbaijan,VFR,2245.0,3450.0,2847.5
Bahamas,TFR,10.0,1.0,5.5
Bangladesh,TFN,0.0,0.0,0.0
Barbados,TFR,1.0,0.0,0.5
Belarus,VFN,5723.0,6127.0,5925.0
Belgium,TCER,169.0,0.0,84.5
Bhutan,TFN,3.0,3.0,3.0
Botswana,TFR,0.0,0.0,0.0
Bulgaria,TCER,118.0,203.0,160.5
Canada,TFR,116.0,0.0,58.0
Chile,TFN,0.0,0.0,0.0
China,VFN,26141.0,0.0,13070.5
Colombia,TFR,4.0,0.0,2.0
"Congo, Democratic Republic of the",TFR,0.0,0.0,0.0
Costa Rica,TFN,4.0,4.0,4.0
Ecuador,VFR,6.0,0.0,3.0
Egypt,VFN,1260.0,0.0,630.0
Finland,TCER,76.0,32.0,54.0
Georgia,THSR,231.0,0.0,115.5
Guinea,TFR,0.0,0.0,0.0
Guyana,TFR,2.0,1.0,1.5
India,TFN,4793.0,0.0,2396.5
Indonesia,VFN,525.0,448.0,486.5
"Iran, Islamic Republic of",VFN,4519.0,0.0,2259.5
Iraq,VFN,0.0,0.0,0.0
Israel,TFR,343.0,0.0,171.5
Italy,TFN,90.0,3467.0,1778.5
Japan,VFN,538.0,518.0,528.0
Jordan,TFN,248.0,0.0,124.0
Kazakhstan,VFR,443266.0,557754.0,500510.0
"Korea, Republic of",VFN,2863.0,4489.0,3676.0
Kuwait,VFN,326.0,0.0,163.0
Kyrgyzstan,VFR,176207.0,0.0,88103.5
Latvia,TCER,378.0,286.0,332.0
Lebanon,TFN,167.0,105.0,136.0
Libya,VFN,0.0,0.0,0.0
Malaysia,TFN,1183.0,1184.0,1183.5
Maldives,TFN,83.0,0.0,41.5
Mali,TFR,1.0,0.0,0.5
Malta,TFR,0.0,0.0,0.0
Mauritius,TFR,8.0,6.0,7.0
Mexico,TFR,61.0,0.0,30.5
"Moldova, Republic of",TCEN,187.0,147.0,167.0
Mongolia,TFN,59.0,138.0,98.5
Morocco,TFN,0.0,0.0,0.0
New Zealand,VFR,27.0,15.0,21.0
Nicaragua,TFN,0.0,2.0,1.0
Pakistan,TFN,0.0,0.0,0.0
Panama,VFR,0.0,0.0,0.0
Poland,TCER,249.0,0.0,124.5
Russian Federation,VFN,260165.0,0.0,130082.5
Rwanda,VFN,0.0,0.0,0.0
Saudi Arabia,TFN,8136.0,12035.0,10085.5
Seychelles,TFR,0.0,0.0,0.0
Sierra Leone,TFR,5.0,0.0,2.5
South Africa,TFR,28.0,22.0,25.0
Sri Lanka,TFR,102.0,79.0,90.5
Suriname,TFR,0.0,0.0,0.0
"Tanzania, United Republic of",VFR,95.0,0.0,47.5
Thailand,TFR,0.0,0.0,0.0
Trinidad and Tobago,TFN,0.0,2.0,1.0
Turkey,TFN,40879.0,0.0,20439.5
Turkmenistan,TFN,0.0,0.0,0.0
Uganda,TFR,0.0,0.0,0.0
Ukraine,TFR,6237.0,0.0,3118.5
United Arab Emirates,THSN,4995.0,9655.0,7325.0
United States of America,TFR,1518.0,1533.0,1525.5
Uzbekistan,VFR,1095505.0,0.0,547752.5
